"","Date","Value","Index"
"1",1870-01-01,25.58,"ENSO"
"150",1870-02-01,25.57,"ENSO"
"299",1870-03-01,26.43,"ENSO"
"448",1870-04-01,26.96,"ENSO"
"597",1870-05-01,26.59,"ENSO"
"746",1870-06-01,26.61,"ENSO"
"895",1870-07-01,26.19,"ENSO"
"1044",1870-08-01,25.99,"ENSO"
"1193",1870-09-01,26.22,"ENSO"
"1342",1870-10-01,25.82,"ENSO"
"1491",1870-11-01,25.86,"ENSO"
"1640",1870-12-01,25.79,"ENSO"
"2",1871-01-01,26.33,"ENSO"
"151",1871-02-01,26.18,"ENSO"
"300",1871-03-01,26.83,"ENSO"
"449",1871-04-01,27.27,"ENSO"
"598",1871-05-01,27.16,"ENSO"
"747",1871-06-01,27.16,"ENSO"
"896",1871-07-01,26.62,"ENSO"
"1045",1871-08-01,26.54,"ENSO"
"1194",1871-09-01,26.51,"ENSO"
"1343",1871-10-01,26.4,"ENSO"
"1492",1871-11-01,26.35,"ENSO"
"1641",1871-12-01,26.01,"ENSO"
"3",1872-01-01,25.86,"ENSO"
"152",1872-02-01,26.14,"ENSO"
"301",1872-03-01,26.76,"ENSO"
"450",1872-04-01,27,"ENSO"
"599",1872-05-01,27.25,"ENSO"
"748",1872-06-01,27.16,"ENSO"
"897",1872-07-01,26.91,"ENSO"
"1046",1872-08-01,26.02,"ENSO"
"1195",1872-09-01,25.73,"ENSO"
"1344",1872-10-01,25.79,"ENSO"
"1493",1872-11-01,25.86,"ENSO"
"1642",1872-12-01,25.71,"ENSO"
"4",1873-01-01,25.79,"ENSO"
"153",1873-02-01,25.75,"ENSO"
"302",1873-03-01,25.95,"ENSO"
"451",1873-04-01,27.1,"ENSO"
"600",1873-05-01,27.33,"ENSO"
"749",1873-06-01,27.21,"ENSO"
"898",1873-07-01,26.65,"ENSO"
"1047",1873-08-01,26.48,"ENSO"
"1196",1873-09-01,26.41,"ENSO"
"1345",1873-10-01,25.96,"ENSO"
"1494",1873-11-01,25.88,"ENSO"
"1643",1873-12-01,25.89,"ENSO"
"5",1874-01-01,25.64,"ENSO"
"154",1874-02-01,25.7,"ENSO"
"303",1874-03-01,25.85,"ENSO"
"452",1874-04-01,26.83,"ENSO"
"601",1874-05-01,27,"ENSO"
"750",1874-06-01,26.96,"ENSO"
"899",1874-07-01,26.22,"ENSO"
"1048",1874-08-01,25.82,"ENSO"
"1197",1874-09-01,25.62,"ENSO"
"1346",1874-10-01,25.49,"ENSO"
"1495",1874-11-01,25.33,"ENSO"
"1644",1874-12-01,25.45,"ENSO"
"6",1875-01-01,25.87,"ENSO"
"155",1875-02-01,26.39,"ENSO"
"304",1875-03-01,26.66,"ENSO"
"453",1875-04-01,26.9,"ENSO"
"602",1875-05-01,26.77,"ENSO"
"751",1875-06-01,26.92,"ENSO"
"900",1875-07-01,26.37,"ENSO"
"1049",1875-08-01,26.06,"ENSO"
"1198",1875-09-01,25.84,"ENSO"
"1347",1875-10-01,25.9,"ENSO"
"1496",1875-11-01,26.01,"ENSO"
"1645",1875-12-01,25.83,"ENSO"
"7",1876-01-01,25.63,"ENSO"
"156",1876-02-01,25.56,"ENSO"
"305",1876-03-01,26.13,"ENSO"
"454",1876-04-01,26.59,"ENSO"
"603",1876-05-01,26.78,"ENSO"
"752",1876-06-01,27.25,"ENSO"
"901",1876-07-01,26.88,"ENSO"
"1050",1876-08-01,26.71,"ENSO"
"1199",1876-09-01,26.73,"ENSO"
"1348",1876-10-01,26.85,"ENSO"
"1497",1876-11-01,26.8,"ENSO"
"1646",1876-12-01,26.81,"ENSO"
"8",1877-01-01,26.93,"ENSO"
"157",1877-02-01,27.22,"ENSO"
"306",1877-03-01,27.78,"ENSO"
"455",1877-04-01,28.27,"ENSO"
"604",1877-05-01,28.62,"ENSO"
"753",1877-06-01,28.67,"ENSO"
"902",1877-07-01,28.64,"ENSO"
"1051",1877-08-01,28.42,"ENSO"
"1200",1877-09-01,28.5,"ENSO"
"1349",1877-10-01,28.68,"ENSO"
"1498",1877-11-01,28.74,"ENSO"
"1647",1877-12-01,29.07,"ENSO"
"9",1878-01-01,28.99,"ENSO"
"158",1878-02-01,29.19,"ENSO"
"307",1878-03-01,28.57,"ENSO"
"456",1878-04-01,28.69,"ENSO"
"605",1878-05-01,28.69,"ENSO"
"754",1878-06-01,28.61,"ENSO"
"903",1878-07-01,27.48,"ENSO"
"1052",1878-08-01,26.76,"ENSO"
"1201",1878-09-01,26.43,"ENSO"
"1350",1878-10-01,26.2,"ENSO"
"1499",1878-11-01,25.95,"ENSO"
"1648",1878-12-01,25.83,"ENSO"
"10",1879-01-01,26.03,"ENSO"
"159",1879-02-01,26.58,"ENSO"
"308",1879-03-01,27.02,"ENSO"
"457",1879-04-01,27.4,"ENSO"
"606",1879-05-01,27.03,"ENSO"
"755",1879-06-01,27.02,"ENSO"
"904",1879-07-01,26.46,"ENSO"
"1053",1879-08-01,26.18,"ENSO"
"1202",1879-09-01,25.93,"ENSO"
"1351",1879-10-01,25.8,"ENSO"
"1500",1879-11-01,25.52,"ENSO"
"1649",1879-12-01,25.56,"ENSO"
"11",1880-01-01,25.58,"ENSO"
"160",1880-02-01,26.03,"ENSO"
"309",1880-03-01,26.63,"ENSO"
"458",1880-04-01,27.2,"ENSO"
"607",1880-05-01,27.15,"ENSO"
"756",1880-06-01,27.08,"ENSO"
"905",1880-07-01,26.7,"ENSO"
"1054",1880-08-01,26.63,"ENSO"
"1203",1880-09-01,26.72,"ENSO"
"1352",1880-10-01,26.9,"ENSO"
"1501",1880-11-01,26.9,"ENSO"
"1650",1880-12-01,26.77,"ENSO"
"12",1881-01-01,26.87,"ENSO"
"161",1881-02-01,26.99,"ENSO"
"310",1881-03-01,27.58,"ENSO"
"459",1881-04-01,28.18,"ENSO"
"608",1881-05-01,28.03,"ENSO"
"757",1881-06-01,27.92,"ENSO"
"906",1881-07-01,26.96,"ENSO"
"1055",1881-08-01,26.71,"ENSO"
"1204",1881-09-01,26.42,"ENSO"
"1353",1881-10-01,26.31,"ENSO"
"1502",1881-11-01,26.06,"ENSO"
"1651",1881-12-01,26.22,"ENSO"
"13",1882-01-01,26.13,"ENSO"
"162",1882-02-01,26.21,"ENSO"
"311",1882-03-01,26.73,"ENSO"
"460",1882-04-01,27.87,"ENSO"
"609",1882-05-01,27.88,"ENSO"
"758",1882-06-01,27.29,"ENSO"
"907",1882-07-01,26.65,"ENSO"
"1056",1882-08-01,26.55,"ENSO"
"1205",1882-09-01,26.24,"ENSO"
"1354",1882-10-01,26.08,"ENSO"
"1503",1882-11-01,25.74,"ENSO"
"1652",1882-12-01,25.83,"ENSO"
"14",1883-01-01,26.12,"ENSO"
"163",1883-02-01,26.27,"ENSO"
"312",1883-03-01,26.86,"ENSO"
"461",1883-04-01,27.54,"ENSO"
"610",1883-05-01,27.49,"ENSO"
"759",1883-06-01,27.48,"ENSO"
"908",1883-07-01,27.21,"ENSO"
"1057",1883-08-01,26.85,"ENSO"
"1206",1883-09-01,26.58,"ENSO"
"1355",1883-10-01,26.32,"ENSO"
"1504",1883-11-01,26.43,"ENSO"
"1653",1883-12-01,26.44,"ENSO"
"15",1884-01-01,26.47,"ENSO"
"164",1884-02-01,26.75,"ENSO"
