"","Date","Value","Index"
"1",1865-01-01,-0.6,"NAO"
"155",1865-02-01,-1.2,"NAO"
"309",1865-03-01,0.2,"NAO"
"463",1865-04-01,-0.2,"NAO"
"617",1865-05-01,-0.4,"NAO"
"771",1865-06-01,0,"NAO"
"925",1865-07-01,0.5,"NAO"
"1079",1865-08-01,1.5,"NAO"
"1233",1865-09-01,1.8,"NAO"
"1387",1865-10-01,-2,"NAO"
"1541",1865-11-01,-0.9,"NAO"
"1695",1865-12-01,0.8,"NAO"
"2",1866-01-01,0.5,"NAO"
"156",1866-02-01,0.8,"NAO"
"310",1866-03-01,-0.6,"NAO"
"464",1866-04-01,-2.3,"NAO"
"618",1866-05-01,-2,"NAO"
"772",1866-06-01,0.9,"NAO"
"926",1866-07-01,-0.5,"NAO"
"1080",1866-08-01,-0.2,"NAO"
"1234",1866-09-01,2.4,"NAO"
"1388",1866-10-01,-0.3,"NAO"
"1542",1866-11-01,-0.5,"NAO"
"1696",1866-12-01,0.2,"NAO"
"3",1867-01-01,-3.5,"NAO"
"157",1867-02-01,1.1,"NAO"
"311",1867-03-01,-4.3,"NAO"
"465",1867-04-01,1.8,"NAO"
"619",1867-05-01,-4.2,"NAO"
"773",1867-06-01,0.1,"NAO"
"927",1867-07-01,-2,"NAO"
"1081",1867-08-01,1.9,"NAO"
"1235",1867-09-01,1.4,"NAO"
"1389",1867-10-01,2.2,"NAO"
"1543",1867-11-01,-3.5,"NAO"
"1697",1867-12-01,-0.1,"NAO"
"4",1868-01-01,0.7,"NAO"
"158",1868-02-01,3,"NAO"
"312",1868-03-01,3.6,"NAO"
"466",1868-04-01,1.7,"NAO"
"620",1868-05-01,2.3,"NAO"
"774",1868-06-01,3.1,"NAO"
"928",1868-07-01,0.4,"NAO"
"1082",1868-08-01,1.5,"NAO"
"1236",1868-09-01,-2.8,"NAO"
"1390",1868-10-01,3.5,"NAO"
"1544",1868-11-01,-1.8,"NAO"
"1698",1868-12-01,-0.1,"NAO"
"5",1869-01-01,1,"NAO"
"159",1869-02-01,2.5,"NAO"
"313",1869-03-01,0.2,"NAO"
"467",1869-04-01,-0.2,"NAO"
"621",1869-05-01,-2.7,"NAO"
"775",1869-06-01,-1.9,"NAO"
"929",1869-07-01,-0.3,"NAO"
"1083",1869-08-01,-1,"NAO"
"1237",1869-09-01,-0.4,"NAO"
"1391",1869-10-01,-1.4,"NAO"
"1545",1869-11-01,1.4,"NAO"
"1699",1869-12-01,0,"NAO"
"6",1870-01-01,0.4,"NAO"
"160",1870-02-01,-2.8,"NAO"
"314",1870-03-01,-2,"NAO"
"468",1870-04-01,1.1,"NAO"
"622",1870-05-01,1.5,"NAO"
"776",1870-06-01,0.3,"NAO"
"930",1870-07-01,0.5,"NAO"
"1084",1870-08-01,-3.6,"NAO"
"1238",1870-09-01,0.2,"NAO"
"1392",1870-10-01,0.9,"NAO"
"1546",1870-11-01,-2.1,"NAO"
"1700",1870-12-01,-3,"NAO"
"7",1871-01-01,2,"NAO"
"161",1871-02-01,-0.3,"NAO"
"315",1871-03-01,0.9,"NAO"
"469",1871-04-01,-2.6,"NAO"
"623",1871-05-01,-1.5,"NAO"
"777",1871-06-01,-0.9,"NAO"
"931",1871-07-01,0.8,"NAO"
"1085",1871-08-01,0,"NAO"
"1239",1871-09-01,-2.2,"NAO"
"1393",1871-10-01,0.2,"NAO"
"1547",1871-11-01,-3.1,"NAO"
"1701",1871-12-01,1.1,"NAO"
"8",1872-01-01,1,"NAO"
"162",1872-02-01,-0.7,"NAO"
"316",1872-03-01,-1.1,"NAO"
"470",1872-04-01,-0.5,"NAO"
"624",1872-05-01,1,"NAO"
"778",1872-06-01,0.2,"NAO"
"932",1872-07-01,-2.3,"NAO"
"1086",1872-08-01,-2.4,"NAO"
"1240",1872-09-01,-1.8,"NAO"
"1394",1872-10-01,1.6,"NAO"
"1548",1872-11-01,0.4,"NAO"
"1702",1872-12-01,-0.5,"NAO"
"9",1873-01-01,1.3,"NAO"
"163",1873-02-01,-0.6,"NAO"
"317",1873-03-01,1.2,"NAO"
"471",1873-04-01,-3.3,"NAO"
"625",1873-05-01,-0.9,"NAO"
"779",1873-06-01,1.9,"NAO"
"933",1873-07-01,-0.1,"NAO"
"1087",1873-08-01,3.1,"NAO"
"1241",1873-09-01,-2.2,"NAO"
"1395",1873-10-01,1.7,"NAO"
"1549",1873-11-01,-1.9,"NAO"
"1703",1873-12-01,0.6,"NAO"
"10",1874-01-01,1.5,"NAO"
"164",1874-02-01,0.9,"NAO"
"318",1874-03-01,0.9,"NAO"
"472",1874-04-01,2,"NAO"
"626",1874-05-01,-1.3,"NAO"
"780",1874-06-01,0.1,"NAO"
"934",1874-07-01,0.6,"NAO"
"1088",1874-08-01,0.9,"NAO"
"1242",1874-09-01,1.4,"NAO"
"1396",1874-10-01,1.8,"NAO"
"1550",1874-11-01,-0.2,"NAO"
"1704",1874-12-01,0.1,"NAO"
"11",1875-01-01,-0.7,"NAO"
"165",1875-02-01,-1,"NAO"
"319",1875-03-01,-0.8,"NAO"
"473",1875-04-01,-1.8,"NAO"
"627",1875-05-01,2.4,"NAO"
"781",1875-06-01,3.2,"NAO"
"935",1875-07-01,-1.1,"NAO"
"1089",1875-08-01,-1.6,"NAO"
"1243",1875-09-01,-1.5,"NAO"
"1397",1875-10-01,0.1,"NAO"
"1551",1875-11-01,-3.1,"NAO"
"1705",1875-12-01,-0.6,"NAO"
"12",1876-01-01,0.8,"NAO"
"166",1876-02-01,-0.7,"NAO"
"320",1876-03-01,0.5,"NAO"
"474",1876-04-01,-0.6,"NAO"
"628",1876-05-01,0.8,"NAO"
"782",1876-06-01,3.3,"NAO"
"936",1876-07-01,1.7,"NAO"
"1090",1876-08-01,0.3,"NAO"
"1244",1876-09-01,-3.7,"NAO"
"1398",1876-10-01,-1.9,"NAO"
"1552",1876-11-01,-4.4,"NAO"
"1706",1876-12-01,-2.1,"NAO"
"13",1877-01-01,0.9,"NAO"
"167",1877-02-01,1.1,"NAO"
"321",1877-03-01,0.1,"NAO"
"475",1877-04-01,-3.1,"NAO"
"629",1877-05-01,-2.8,"NAO"
"783",1877-06-01,-0.1,"NAO"
"937",1877-07-01,1.3,"NAO"
"1091",1877-08-01,-5.5,"NAO"
"1245",1877-09-01,-3.2,"NAO"
"1399",1877-10-01,0,"NAO"
"1553",1877-11-01,2.2,"NAO"
"1707",1877-12-01,2.5,"NAO"
"14",1878-01-01,0.5,"NAO"
"168",1878-02-01,-0.2,"NAO"
"322",1878-03-01,0.2,"NAO"
"476",1878-04-01,-2.7,"NAO"
"630",1878-05-01,-0.8,"NAO"
"784",1878-06-01,-1.2,"NAO"
"938",1878-07-01,0.4,"NAO"
"1092",1878-08-01,-3.5,"NAO"
"1246",1878-09-01,1,"NAO"
"1400",1878-10-01,-1.4,"NAO"
"1554",1878-11-01,-3.1,"NAO"
"1708",1878-12-01,-5.5,"NAO"
"15",1879-01-01,-0.9,"NAO"
"169",1879-02-01,0.9,"NAO"
"323",1879-03-01,1.2,"NAO"
"477",1879-04-01,-0.2,"NAO"
"631",1879-05-01,1.6,"NAO"
"785",1879-06-01,-1.4,"NAO"
"939",1879-07-01,-0.4,"NAO"
"1093",1879-08-01,-0.7,"NAO"
"1247",1879-09-01,2.9,"NAO"
"1401",1879-10-01,-0.3,"NAO"
"1555",1879-11-01,-3.9,"NAO"
"1709",1879-12-01,-1.2,"NAO"
"16",1880-01-01,-0.8,"NAO"
"170",1880-02-01,1,"NAO"
"324",1880-03-01,0.5,"NAO"
"478",1880-04-01,1.3,"NAO"
"632",1880-05-01,-0.6,"NAO"
