"","Date","Value","Index"
"1",1899-01-01,1009.94,"NPI"
"2",1899-02-01,1009.32,"NPI"
"3",1899-03-01,1009.78,"NPI"
"4",1899-04-01,1014.77,"NPI"
"5",1899-05-01,1014.55,"NPI"
"6",1899-06-01,1016.84,"NPI"
"7",1899-07-01,1017.79,"NPI"
"8",1899-08-01,1018,"NPI"
"9",1899-09-01,1013.85,"NPI"
"10",1899-10-01,1014.54,"NPI"
"11",1899-11-01,1002.74,"NPI"
"12",1899-12-01,1007.37,"NPI"
"13",1900-01-01,1006.55,"NPI"
"14",1900-02-01,1006.33,"NPI"
"15",1900-03-01,1005.12,"NPI"
"16",1900-04-01,1013.07,"NPI"
"17",1900-05-01,1012.47,"NPI"
"18",1900-06-01,1012.52,"NPI"
"19",1900-07-01,1015.89,"NPI"
"20",1900-08-01,1016.46,"NPI"
"21",1900-09-01,1014.93,"NPI"
"22",1900-10-01,1013.85,"NPI"
"23",1900-11-01,1012.12,"NPI"
"24",1900-12-01,1004.3,"NPI"
"25",1901-01-01,1008.91,"NPI"
"26",1901-02-01,1012.12,"NPI"
"27",1901-03-01,1012.53,"NPI"
"28",1901-04-01,1021.25,"NPI"
"29",1901-05-01,1016.54,"NPI"
"30",1901-06-01,1014.46,"NPI"
"31",1901-07-01,1016.52,"NPI"
"32",1901-08-01,1016.67,"NPI"
"33",1901-09-01,1013.49,"NPI"
"34",1901-10-01,1011.77,"NPI"
"35",1901-11-01,1010.29,"NPI"
"36",1901-12-01,1009.09,"NPI"
"37",1902-01-01,1006.04,"NPI"
"38",1902-02-01,1005.07,"NPI"
"39",1902-03-01,1016.9,"NPI"
"40",1902-04-01,1015.07,"NPI"
"41",1902-05-01,1015.47,"NPI"
"42",1902-06-01,1013.89,"NPI"
"43",1902-07-01,1016.82,"NPI"
"44",1902-08-01,1015.77,"NPI"
"45",1902-09-01,1015.33,"NPI"
"46",1902-10-01,1013.1,"NPI"
"47",1902-11-01,1012.14,"NPI"
"48",1902-12-01,1015.58,"NPI"
"49",1903-01-01,1010.16,"NPI"
"50",1903-02-01,1011.61,"NPI"
"51",1903-03-01,1018.05,"NPI"
"52",1903-04-01,1019.06,"NPI"
"53",1903-05-01,1015.04,"NPI"
"54",1903-06-01,1012.91,"NPI"
"55",1903-07-01,1018.3,"NPI"
"56",1903-08-01,1016.39,"NPI"
"57",1903-09-01,1015.78,"NPI"
"58",1903-10-01,1014.1,"NPI"
"59",1903-11-01,1010.62,"NPI"
"60",1903-12-01,1009.16,"NPI"
"61",1904-01-01,1011.89,"NPI"
"62",1904-02-01,1016.92,"NPI"
"63",1904-03-01,1016.95,"NPI"
"64",1904-04-01,1015.71,"NPI"
"65",1904-05-01,1014.72,"NPI"
"66",1904-06-01,1017.42,"NPI"
"67",1904-07-01,1016.72,"NPI"
"68",1904-08-01,1018.97,"NPI"
"69",1904-09-01,1016.21,"NPI"
"70",1904-10-01,1014.45,"NPI"
"71",1904-11-01,1009.51,"NPI"
"72",1904-12-01,1009.58,"NPI"
"73",1905-01-01,1008.95,"NPI"
"74",1905-02-01,1005.8,"NPI"
"75",1905-03-01,1008.58,"NPI"
"76",1905-04-01,1011.08,"NPI"
"77",1905-05-01,1016.09,"NPI"
"78",1905-06-01,1016.65,"NPI"
"79",1905-07-01,1017.87,"NPI"
"80",1905-08-01,1015.35,"NPI"
"81",1905-09-01,1015.71,"NPI"
"82",1905-10-01,1015.1,"NPI"
"83",1905-11-01,1009.13,"NPI"
"84",1905-12-01,1007.62,"NPI"
"85",1906-01-01,1013.69,"NPI"
"86",1906-02-01,1008.5,"NPI"
"87",1906-03-01,1012.52,"NPI"
"88",1906-04-01,1013.04,"NPI"
"89",1906-05-01,1016.04,"NPI"
"90",1906-06-01,1013.99,"NPI"
"91",1906-07-01,1017.32,"NPI"
"92",1906-08-01,1013.11,"NPI"
"93",1906-09-01,1014.6,"NPI"
"94",1906-10-01,1010.59,"NPI"
"95",1906-11-01,1011.79,"NPI"
"96",1906-12-01,1014.44,"NPI"
"97",1907-01-01,1014.62,"NPI"
"98",1907-02-01,1010.34,"NPI"
"99",1907-03-01,1019.52,"NPI"
"100",1907-04-01,1015.73,"NPI"
"101",1907-05-01,1014.25,"NPI"
"102",1907-06-01,1015.05,"NPI"
"103",1907-07-01,1017.1,"NPI"
"104",1907-08-01,1017.85,"NPI"
"105",1907-09-01,1016.85,"NPI"
"106",1907-10-01,1013.96,"NPI"
"107",1907-11-01,1012.34,"NPI"
"108",1907-12-01,1007.07,"NPI"
"109",1908-01-01,1008.57,"NPI"
"110",1908-02-01,1011.72,"NPI"
"111",1908-03-01,1019.41,"NPI"
"112",1908-04-01,1015.93,"NPI"
"113",1908-05-01,1015.19,"NPI"
"114",1908-06-01,1016.37,"NPI"
"115",1908-07-01,1016.26,"NPI"
"116",1908-08-01,1017.35,"NPI"
"117",1908-09-01,1015.61,"NPI"
"118",1908-10-01,1011.76,"NPI"
"119",1908-11-01,1006.5,"NPI"
"120",1908-12-01,1007.41,"NPI"
"121",1909-01-01,1014.26,"NPI"
"122",1909-02-01,1010,"NPI"
"123",1909-03-01,1014.81,"NPI"
"124",1909-04-01,1018.53,"NPI"
"125",1909-05-01,1015.15,"NPI"
"126",1909-06-01,1015.72,"NPI"
"127",1909-07-01,1017.3,"NPI"
"128",1909-08-01,1016.26,"NPI"
"129",1909-09-01,1014.87,"NPI"
"130",1909-10-01,1011.63,"NPI"
"131",1909-11-01,1014.64,"NPI"
"132",1909-12-01,1012.98,"NPI"
"133",1910-01-01,1015.62,"NPI"
"134",1910-02-01,1007.92,"NPI"
"135",1910-03-01,1008.26,"NPI"
"136",1910-04-01,1014.18,"NPI"
"137",1910-05-01,1013.07,"NPI"
"138",1910-06-01,1016.19,"NPI"
"139",1910-07-01,1017.95,"NPI"
"140",1910-08-01,1018.61,"NPI"
"141",1910-09-01,1015.23,"NPI"
"142",1910-10-01,1012.85,"NPI"
"143",1910-11-01,1011.02,"NPI"
"144",1910-12-01,1008.62,"NPI"
"145",1911-01-01,1018.42,"NPI"
"146",1911-02-01,1010.93,"NPI"
"147",1911-03-01,1014.92,"NPI"
"148",1911-04-01,1016.89,"NPI"
"149",1911-05-01,1014.8,"NPI"
"150",1911-06-01,1014.02,"NPI"
"151",1911-07-01,1018.19,"NPI"
