"","Date","Value","Index"
"1",1900-01-01,0.04,"PDO"
"120",1900-02-01,1.32,"PDO"
"239",1900-03-01,0.49,"PDO"
"358",1900-04-01,0.35,"PDO"
"477",1900-05-01,0.77,"PDO"
"596",1900-06-01,0.65,"PDO"
"715",1900-07-01,0.95,"PDO"
"834",1900-08-01,0.14,"PDO"
"953",1900-09-01,-0.24,"PDO"
"1072",1900-10-01,0.23,"PDO"
"1191",1900-11-01,-0.44,"PDO"
"1310",1900-12-01,1.19,"PDO"
"2",1901-01-01,0.79,"PDO"
"121",1901-02-01,-0.12,"PDO"
"240",1901-03-01,0.35,"PDO"
"359",1901-04-01,0.61,"PDO"
"478",1901-05-01,-0.42,"PDO"
"597",1901-06-01,-0.05,"PDO"
"716",1901-07-01,-0.6,"PDO"
"835",1901-08-01,-1.2,"PDO"
"954",1901-09-01,-0.33,"PDO"
"1073",1901-10-01,0.16,"PDO"
"1192",1901-11-01,-0.6,"PDO"
"1311",1901-12-01,-0.14,"PDO"
"3",1902-01-01,0.82,"PDO"
"122",1902-02-01,1.58,"PDO"
"241",1902-03-01,0.48,"PDO"
"360",1902-04-01,1.37,"PDO"
"479",1902-05-01,1.09,"PDO"
"598",1902-06-01,0.52,"PDO"
"717",1902-07-01,1.58,"PDO"
"836",1902-08-01,1.57,"PDO"
"955",1902-09-01,0.44,"PDO"
"1074",1902-10-01,0.7,"PDO"
"1193",1902-11-01,0.16,"PDO"
"1312",1902-12-01,-1.1,"PDO"
"4",1903-01-01,0.86,"PDO"
"123",1903-02-01,-0.24,"PDO"
"242",1903-03-01,-0.22,"PDO"
"361",1903-04-01,-0.5,"PDO"
"480",1903-05-01,0.43,"PDO"
"599",1903-06-01,0.23,"PDO"
"718",1903-07-01,0.4,"PDO"
"837",1903-08-01,1.01,"PDO"
"956",1903-09-01,-0.24,"PDO"
"1075",1903-10-01,0.18,"PDO"
"1194",1903-11-01,0.08,"PDO"
"1313",1903-12-01,-0.03,"PDO"
"5",1904-01-01,0.63,"PDO"
"124",1904-02-01,-0.91,"PDO"
"243",1904-03-01,-0.71,"PDO"
"362",1904-04-01,-0.07,"PDO"
"481",1904-05-01,-0.22,"PDO"
"600",1904-06-01,-1.53,"PDO"
"719",1904-07-01,-1.58,"PDO"
"838",1904-08-01,-0.64,"PDO"
"957",1904-09-01,0.06,"PDO"
"1076",1904-10-01,0.43,"PDO"
"1195",1904-11-01,1.45,"PDO"
"1314",1904-12-01,0.06,"PDO"
"6",1905-01-01,0.73,"PDO"
"125",1905-02-01,0.91,"PDO"
"244",1905-03-01,1.31,"PDO"
"363",1905-04-01,1.59,"PDO"
"482",1905-05-01,-0.07,"PDO"
"601",1905-06-01,0.69,"PDO"
"720",1905-07-01,0.85,"PDO"
"839",1905-08-01,1.26,"PDO"
"958",1905-09-01,-0.03,"PDO"
"1077",1905-10-01,-0.15,"PDO"
"1196",1905-11-01,1.11,"PDO"
"1315",1905-12-01,-0.5,"PDO"
"7",1906-01-01,0.92,"PDO"
"126",1906-02-01,1.18,"PDO"
"245",1906-03-01,0.83,"PDO"
"364",1906-04-01,0.74,"PDO"
"483",1906-05-01,0.44,"PDO"
"602",1906-06-01,1.24,"PDO"
"721",1906-07-01,0.09,"PDO"
"840",1906-08-01,-0.53,"PDO"
"959",1906-09-01,-0.31,"PDO"
"1078",1906-10-01,0.08,"PDO"
"1197",1906-11-01,1.69,"PDO"
"1316",1906-12-01,-0.54,"PDO"
"8",1907-01-01,-0.3,"PDO"
"127",1907-02-01,-0.32,"PDO"
"246",1907-03-01,-0.19,"PDO"
"365",1907-04-01,-0.16,"PDO"
"484",1907-05-01,0.16,"PDO"
"603",1907-06-01,0.57,"PDO"
"722",1907-07-01,0.63,"PDO"
"841",1907-08-01,-0.96,"PDO"
"960",1907-09-01,-0.23,"PDO"
"1079",1907-10-01,0.84,"PDO"
"1198",1907-11-01,0.66,"PDO"
"1317",1907-12-01,0.72,"PDO"
"9",1908-01-01,1.36,"PDO"
"128",1908-02-01,1.02,"PDO"
"247",1908-03-01,0.67,"PDO"
"366",1908-04-01,0.23,"PDO"
"485",1908-05-01,0.23,"PDO"
"604",1908-06-01,0.41,"PDO"
"723",1908-07-01,0.6,"PDO"
"842",1908-08-01,-1.04,"PDO"
"961",1908-09-01,-0.16,"PDO"
"1080",1908-10-01,-0.41,"PDO"
"1199",1908-11-01,0.47,"PDO"
"1318",1908-12-01,1.16,"PDO"
"10",1909-01-01,0.23,"PDO"
"129",1909-02-01,1.01,"PDO"
