year,idx,precipitation,maxtemp,mintemp,windspeed
1949,1,58.60,6.90,-6.48,2.18
1949,2,133.90,8.18,-2.62,1.53
1949,3,326.45,10.40,1.17,2.16
1949,4,1.58,21.76,4.58,1.79
1949,5,57.03,21.77,6.74,2.15
1949,6,1.40,29.07,10.42,2.13
1949,7,0.18,31.56,11.52,2.11
1949,8,0.12,29.06,9.37,1.98
1949,9,0.40,28.70,9.87,1.32
1949,10,4.20,22.44,4.39,1.50
1949,11,78.20,19.69,3.93,1.43
1949,12,94.17,9.70,-2.24,1.76
1950,1,386.18,5.07,-3.60,2.27
1950,2,244.68,12.99,-0.25,1.58
1950,3,148.82,12.72,0.85,1.60
1950,4,100.88,19.55,3.87,1.97
1950,5,47.08,23.72,6.30,2.05
1950,6,6.80,26.57,9.14,2.34
1950,7,0.00,33.02,13.54,2.07
1950,8,5.15,32.19,12.55,1.86
1950,9,22.15,26.82,10.21,1.58
1950,10,242.03,19.66,7.11,1.51
1950,11,313.53,16.23,4.76,2.09
1950,12,325.70,10.58,2.28,1.91
1951,1,267.90,7.50,-0.51,1.91
1951,2,217.70,10.18,0.07,1.46
1951,3,62.37,15.37,0.27,2.24
1951,4,60.25,19.57,4.35,1.91
1951,5,69.70,22.15,7.10,2.26
1951,6,0.00,28.78,10.63,2.27
1951,7,0.00,31.54,11.90,2.02
1951,8,0.00,30.58,11.79,1.90
1951,9,0.73,29.67,10.97,1.42
1951,10,126.05,20.11,5.13,1.61
1951,11,280.30,13.35,2.42,1.84
1951,12,443.48,8.00,-0.84,2.51
1952,1,439.40,5.68,-1.60,2.69
1952,2,194.52,10.72,-0.27,1.71
1952,3,222.10,10.96,-0.93,2.56
1952,4,65.18,18.06,4.12,1.77
1952,5,32.10,23.28,6.71,2.07
1952,6,53.20,22.84,7.78,2.53
1952,7,2.55,32.40,14.28,1.88
1952,8,0.03,31.36,11.83,1.97
1952,9,0.68,29.25,11.07,1.39
1952,10,13.90,25.40,7.77,0.89
1952,11,68.75,14.62,0.28,2.06
1952,12,515.60,8.04,0.41,2.51
1953,1,333.95,11.86,2.03,2.06
1953,2,14.95,14.76,-0.85,1.80
1953,3,183.60,14.13,0.58,1.94
1953,4,181.90,17.35,2.94,2.14
1953,5,65.30,18.11,4.07,2.43
1953,6,46.87,23.23,8.11,2.52
1953,7,0.00,32.10,12.53,2.14
1953,8,9.60,28.13,10.77,2.01
1953,9,0.00,30.11,11.26,1.35
1953,10,95.10,22.07,5.44,1.77
1953,11,193.95,14.46,3.98,1.83
1953,12,63.92,12.97,-0.19,1.71
1954,1,330.35,8.86,-0.25,2.11
1954,2,213.90,14.69,1.08,2.33
1954,3,214.25,12.05,0.65,2.23
1954,4,224.43,19.60,5.78,1.89
1954,5,1.43,23.80,7.18,2.20
1954,6,57.45,25.36,8.47,2.60
1954,7,0.28,31.90,12.68,2.16
1954,8,3.33,27.96,10.10,2.13
1954,9,0.83,27.38,7.91,1.61
1954,10,18.33,22.00,5.12,1.55
1954,11,182.05,14.71,2.72,1.77
1954,12,261.02,8.95,-0.70,2.51
1955,1,159.40,7.93,-2.81,2.14
1955,2,69.35,12.07,-2.05,2.10
1955,3,26.42,15.55,0.32,2.00
1955,4,193.25,13.09,0.92,2.55
1955,5,6.32,22.78,6.32,2.20
1955,6,9.25,26.94,9.45,2.47
1955,7,0.12,29.41,10.96,2.37
1955,8,0.00,32.84,11.40,1.81
1955,9,7.10,28.70,9.43,1.37
1955,10,41.03,24.03,6.59,1.40
1955,11,166.97,13.78,1.02,1.57
1955,12,773.20,8.67,1.57,2.60
1956,1,454.97,7.75,1.20,1.96
1956,2,331.30,9.48,-2.42,2.50
1956,3,4.88,15.51,0.20,1.82
1956,4,59.97,17.64,3.13,2.06
1956,5,72.58,21.23,6.64,2.13
1956,6,9.05,27.63,9.96,2.42
1956,7,0.00,31.68,12.92,2.31
1956,8,0.00,29.68,10.88,2.23
1956,9,20.23,28.11,9.71,1.59
1956,10,138.90,19.79,5.35,1.44
1956,11,4.20,18.83,1.15,2.30
1956,12,16.98,13.91,-1.29,2.57
1957,1,190.68,8.35,-2.71,2.10
1957,2,275.33,12.58,2.37,1.85
1957,3,169.30,13.11,2.65,2.04
1957,4,91.75,18.21,3.81,2.22
1957,5,181.95,19.76,6.90,2.55
1957,6,3.80,29.55,11.83,2.59
1957,7,0.00,31.63,12.78,2.23
1957,8,0.00,30.19,10.21,2.11
1957,9,70.98,28.16,10.67,1.56
1957,10,166.40,17.44,6.17,1.50
1957,11,100.45,13.62,1.14,1.76
1957,12,227.70,10.60,0.58,2.24
1958,1,311.90,10.86,0.51,2.67
1958,2,461.92,11.36,3.73,2.72
1958,3,335.98,10.19,0.54,2.21
1958,4,199.47,17.61,3.38,2.51
1958,5,46.08,23.62,7.75,2.03
1958,6,92.15,25.45,10.17,2.46
1958,7,4.47,30.89,13.16,2.70
1958,8,2.38,33.65,14.84,2.24
1958,9,9.07,29.78,11.39,1.71
1958,10,39.65,25.79,8.25,1.54
1958,11,42.10,16.52,2.55,1.73
1958,12,98.62,16.03,2.88,1.82
1959,1,358.83,10.84,1.10,2.20
1959,2,283.67,10.68,0.05,2.48
1959,3,65.15,17.41,2.53,1.97
1959,4,38.58,21.89,5.21,1.76
1959,5,15.88,21.00,5.19,2.73
1959,6,2.22,29.74,10.23,2.68
1959,7,0.00,34.35,13.93,2.33
1959,8,10.55,31.18,11.81,2.33
1959,9,59.75,26.17,9.35,2.03
1959,10,0.28,24.59,8.04,1.95
1959,11,0.00,20.09,1.63,1.82
1959,12,79.58,13.70,-1.02,2.65
1960,1,335.87,7.98,-1.18,2.21
1960,2,231.48,11.34,-0.38,2.42
1960,3,246.75,15.45,3.60,2.05
1960,4,101.23,17.35,3.97,2.22
1960,5,63.00,20.53,5.39,2.52
1960,6,0.00,31.03,12.50,2.45
1960,7,2.58,33.85,13.43,2.43
1960,8,0.00,31.82,10.55,2.16
1960,9,5.72,30.18,8.95,1.44
1960,10,36.42,21.98,4.65,1.77
1960,11,312.10,12.94,1.04,2.34
1960,12,127.90,11.64,-1.42,2.57
1961,1,180.48,12.10,-1.65,2.25
1961,2,153.60,12.46,0.62,1.57
1961,3,204.22,12.37,0.94,2.28
1961,4,73.55,18.81,3.35,2.23
1961,5,43.08,19.83,4.17,2.86
1961,6,13.02,30.50,11.48,2.52
1961,7,0.00,33.78,12.70,2.46
1961,8,0.48,31.77,12.77,2.12
1961,9,8.63,27.46,7.88,1.70
1961,10,20.08,22.45,4.54,2.16
1961,11,200.90,14.66,0.41,2.34
1961,12,208.85,10.06,-1.57,2.00
1962,1,127.78,12.71,-2.26,3.33
1962,2,414.68,9.55,-0.41,2.63
1962,3,133.12,12.15,-0.91,2.06
1962,4,39.85,22.06,3.77,2.11
1962,5,22.18,20.51,4.68,2.72
1962,6,19.52,29.05,9.26,2.57
1962,7,0.00,32.40,11.70,2.44
1962,8,6.43,30.83,11.56,2.08
1962,9,5.40,29.19,9.63,1.42
1962,10,524.50,20.95,6.75,2.48
1962,11,115.72,15.62,3.44,1.38
1962,12,224.00,12.95,1.27,2.29
1963,1,227.60,11.33,-2.65,2.37
1963,2,88.88,15.35,4.61,1.79
1963,3,190.55,12.68,0.35,2.30
1963,4,317.97,12.18,1.98,2.43
1963,5,72.17,20.82,7.77,2.35
1963,6,9.57,26.56,9.56,2.57
1963,7,0.00,29.63,11.07,2.25
1963,8,0.00,30.49,11.58,2.09
1963,9,2.05,29.10,11.50,1.42
1963,10,115.38,21.15,7.62,1.35
1963,11,251.93,12.44,2.38,2.19
1963,12,25.27,11.25,-0.06,2.08
1964,1,238.30,8.97,-1.19,2.45
1964,2,15.00,15.63,-1.17,2.46
1964,3,87.00,14.33,0.19,2.25
1964,4,23.55,18.87,2.38,2.35
1964,5,36.75,21.07,5.24,2.33
1964,6,66.97,25.58,9.76,2.69
1964,7,0.00,31.77,12.73,2.41
1964,8,44.00,31.97,12.56,2.07
1964,9,2.95,27.96,8.52,1.87
1964,10,98.53,25.39,7.54,1.30
1964,11,360.80,11.70,0.59,2.52
1964,12,565.35,9.40,1.42,3.31
1965,1,378.75,10.06,0.11,2.74
