Eureka, California, Average Temperature, February-January
Units: Degrees Fahrenheit
Missing: -99
Date,Value
194301,52.7
194401,53.3
194501,52.0
194601,51.7
194701,51.6
194801,53.5
194901,50.3
195001,51.5
195101,52.4
195201,51.1
195301,51.5
195401,52.0
195501,51.8
195601,50.4
195701,50.9
195801,53.7
195901,54.2
196001,52.3
196101,52.1
196201,51.7
196301,51.9
196401,53.5
196501,51.2
196601,51.5
196701,52.0
196801,51.8
196901,52.4
197001,52.7
197101,51.7
197201,50.6
197301,52.1
197401,52.0
197501,51.7
197601,50.9
197701,51.5
197801,52.5
197901,52.3
198001,53.7
198101,53.3
198201,53.2
198301,53.7
198401,55.5
198501,53.6
198601,52.8
198701,54.2
198801,55.0
198901,53.4
199001,53.8
199101,53.1
199201,53.2
199301,54.9
199401,54.3
199501,53.5
199601,54.3
199701,53.4
199801,54.6
199901,52.9
200001,51.8
200101,53.2
200201,52.6
200301,53.1
200401,53.7
200501,53.9
200601,53.5
200701,52.0
200801,52.5
200901,51.5
201001,52.9
201101,52.4
201201,51.5
201301,51.4
201401,51.8
201501,55.1
201601,54.4
201701,53.6
201801,53.6
201901,52.5
