Date,Value
189501,14.84
189502,3.21
189503,6.63
189504,6.30
189505,8.52
189506,1.15
189507,1.15
189508,0.09
189509,2.64
189510,0.23
189511,8.43
189512,17.54
189601,12.54
189602,10.49
189603,5.72
189604,9.20
189605,6.96
189606,3.34
189607,0.01
189608,1.81
189609,2.62
189610,6.44
189611,16.56
189612,19.13
189701,9.84
189702,12.89
189703,11.89
189704,3.14
189705,2.38
189706,4.49
189707,1.66
189708,0.87
189709,3.43
189710,3.07
189711,15.35
189712,16.05
189801,7.51
189802,14.61
189803,4.21
189804,4.03
189805,3.30
189806,2.66
189807,0.75
189808,0.30
189809,5.19
189810,4.05
189811,10.93
189812,11.20
189901,18.84
189902,12.52
189903,4.21
189904,8.84
189905,5.57
189906,2.60
189907,0.52
189908,4.84
189909,2.10
189910,10.28
189911,17.78
189912,13.30
190001,10.35
190002,10.73
190003,9.28
190004,3.45
190005,5.68
190006,6.60
190007,0.95
190008,1.87
190009,2.77
190010,8.50
190011,9.14
190012,16.24
190101,10.83
190102,9.49
190103,8.59
190104,7.84
190105,3.24
190106,3.14
190107,1.12
190108,0.06
190109,4.71
190110,4.38
190111,14.55
190112,9.91
190201,7.23
190202,16.33
190203,10.41
190204,5.33
190205,4.09
190206,2.80
190207,2.89
190208,0.45
190209,2.28
190210,3.49
190211,15.87
190212,15.29
190301,14.34
190302,3.17
190303,9.48
190304,6.16
190305,5.44
190306,3.73
190307,0.98
190308,0.96
190309,1.81
190310,7.25
190311,12.46
190312,8.85
190401,13.30
190402,13.80
190403,13.82
190404,5.22
190405,1.32
190406,2.20
190407,1.99
190408,0.09
190409,0.92
190410,3.57
190411,17.43
190412,15.03
190501,9.22
190502,6.88
190503,10.89
190504,1.53
190505,6.37
190506,2.52
190507,0.34
190508,1.22
190509,7.38
190510,8.60
190511,5.54
190512,12.15
190601,8.91
190602,9.78
190603,3.07
190604,2.94
190605,3.26
190606,4.98
190607,0.22
190608,0.28
190609,8.66
190610,8.67
190611,16.98
190612,14.98
190701,13.54
190702,13.65
190703,7.83
190704,4.37
190705,2.52
190706,2.69
190707,0.74
190708,0.81
190709,2.92
190710,1.08
190711,10.88
190712,12.92
190801,8.60
190802,6.80
190803,6.91
190804,3.89
190805,4.36
190806,2.72
190807,0.36
190808,1.22
190809,0.03
190810,4.93
190811,6.07
190812,10.73
190901,12.88
190902,16.84
190903,4.20
190904,0.22
190905,4.92
190906,1.10
190907,2.41
190908,0.68
190909,0.00
190910,6.99
190911,13.97
190912,5.24
191001,12.41
191002,12.72
191003,8.34
191004,5.04
191005,2.87
191006,2.77
191007,0.04
191008,0.58
191009,3.40
191010,8.96
191011,15.85
191012,10.91
191101,10.69
191102,4.33
191103,2.89
191104,3.22
191105,6.89
191106,1.25
191107,0.40
191108,0.72
191109,2.81
191110,3.06
191111,11.91
191112,10.00
191201,20.92
191202,9.64
191203,3.30
191204,3.54
191205,3.08
191206,4.15
191207,1.23
191208,4.09
191209,2.69
191210,5.21
191211,15.12
191212,12.44
191301,15.17
191302,2.98
191303,5.74
191304,4.84
191305,3.17
191306,5.33
191307,2.37
191308,0.42
191309,5.98
191310,5.28
191311,12.00
191312,7.96
191401,23.83
191402,5.96
191403,6.04
191404,4.85
191405,2.37
191406,3.09
191407,0.13
191408,0.13
191409,4.94
191410,10.03
191411,11.26
191412,4.51
191501,11.20
191502,6.98
191503,5.70
191504,4.64
191505,4.97
191506,2.05
191507,2.37
191508,0.06
191509,1.39
191510,7.20
191511,14.73
191512,17.98
191601,10.03
191602,20.19
191603,17.23
191604,4.81
191605,3.63
191606,1.99
191607,7.59
191608,0.45
191609,2.23
191610,2.31
191611,11.13
191612,10.93
191701,9.62
191702,5.76
191703,10.61
191704,10.72
191705,2.01
191706,4.98
191707,0.47
191708,0.02
191709,4.37
191710,1.25
191711,4.52
191712,27.18
191801,13.40
191802,11.45
191803,9.12
191804,2.93
191805,2.71
191806,0.65
191807,0.67
191808,2.03
191809,0.01
191810,8.19
191811,9.02
191812,11.22
191901,19.36
191902,11.30
191903,10.81
191904,5.52
191905,3.87
191906,1.72
191907,0.31
191908,0.46
191909,3.07
191910,3.52
191911,10.15
191912,10.61
192001,8.19
192002,0.65
192003,8.39
192004,7.67
192005,2.01
192006,2.76
192007,0.91
192008,1.76
192009,8.56
192010,12.80
192011,8.59
192012,18.65
192101,18.03
192102,14.54
192103,8.88
192104,8.96
192105,2.52
192106,5.09
192107,0.30
192108,1.26
192109,3.73
192110,7.02
192111,15.95
192112,7.45
192201,5.64
192202,5.24
192203,9.95
192204,5.45
192205,5.38
192206,0.53
192207,0.11
192208,3.59
192209,4.67
192210,6.89
192211,4.07
192212,16.16
192301,13.94
192302,3.66
192303,4.97
192304,4.20
192305,3.89
192306,1.48
192307,2.00
192308,0.97
192309,1.69
192310,2.83
192311,4.65
192312,11.16
192401,7.48
192402,11.52
192403,3.46
192404,1.94
192405,1.04
192406,1.56
192407,0.36
192408,2.23
192409,3.94
192410,11.64
192411,9.95
192412,12.80
192501,12.51
192502,7.99
192503,4.31
192504,4.37
192505,1.81
192506,3.82
192507,0.30
192508,2.07
192509,1.61
192510,1.53
192511,8.71
192512,13.89
192601,9.38
192602,9.87
192603,2.97
192604,1.99
192605,7.11
192606,0.33
192607,0.29
192608,2.17
192609,3.22
192610,8.37
192611,13.78
192612,12.11
192701,14.45
192702,13.81
192703,6.39
192704,4.30
192705,5.06
192706,1.78
192707,0.66
192708,2.82
192709,6.06
192710,10.98
192711,17.28
192712,7.40
