Date,Value
193806,0.16
193807,0.11
193808,0.01
193809,2.00
193810,2.58
193811,5.35
193812,3.39
193901,-99.00
193902,-99.00
193903,-99.00
193904,-99.00
193905,-99.00
193906,-99.00
193907,-99.00
193908,-99.00
193909,-99.00
193910,-99.00
193911,-99.00
193912,0.00
194001,4.50
194002,10.00
194003,4.43
194004,1.45
194005,2.19
194006,0.10
194007,0.10
194008,0.06
194009,2.98
194010,4.57
194011,5.10
194012,5.14
194101,3.56
194102,1.85
194103,1.39
194104,2.39
194105,3.94
194106,1.48
194107,0.17
194108,0.75
194109,2.58
194110,2.24
194111,7.33
194112,10.93
194201,4.63
194202,3.23
194203,1.81
194204,2.06
194205,3.73
194206,1.81
194207,0.07
194208,0.05
194209,0.06
194210,2.56
194211,11.24
194212,12.98
194301,6.10
194302,2.14
194303,4.70
194304,2.98
194305,1.28
194306,2.16
194307,0.27
194308,1.70
194309,0.06
194310,5.67
194311,2.81
194312,3.26
194401,2.67
194402,3.35
194403,1.43
194404,2.93
194405,1.60
194406,0.49
194407,0.01
194408,0.05
194409,1.22
194410,1.26
194411,5.59
194412,2.69
194501,4.46
194502,5.56
194503,6.73
194504,3.46
194505,2.93
194506,0.04
194507,0.12
194508,0.39
194509,0.91
194510,1.75
194511,11.61
194512,7.71
194601,5.93
194602,4.50
194603,5.94
194604,0.85
194605,1.35
194606,1.25
194607,0.46
194608,0.02
194609,2.70
194610,4.99
194611,8.64
194612,4.09
194701,3.75
194702,3.08
194703,6.40
194704,2.54
194705,0.47
194706,3.63
194707,2.63
194708,0.68
194709,0.96
194710,10.15
194711,2.94
194712,3.90
194801,8.35
194802,6.72
194803,4.33
194804,3.11
194805,3.26
194806,1.10
194807,0.49
194808,0.56
194809,2.52
194810,2.06
194811,6.20
194812,8.67
194901,1.69
194902,9.85
194903,3.52
194904,0.83
194905,2.65
194906,0.32
194907,0.01
194908,0.08
194909,0.73
194910,1.94
194911,5.92
194912,5.04
195001,12.94
195002,5.29
195003,5.03
195004,1.44
195005,0.95
195006,1.28
195007,0.10
195008,0.43
195009,0.92
195010,12.66
195011,9.43
195012,4.57
195101,8.85
195102,5.24
195103,3.91
195104,0.55
195105,1.75
195106,0.00
195107,0.01
195108,0.51
195109,1.22
195110,5.73
195111,7.40
195112,7.82
195201,6.17
195202,4.33
195203,1.91
195204,1.30
195205,0.29
195206,4.76
195207,0.00
195208,0.09
195209,0.74
195210,0.63
195211,1.72
195212,7.38
195301,11.13
195302,5.41
195303,4.88
195304,2.56
195305,4.41
195306,1.63
195307,0.00
195308,1.09
195309,1.03
195310,3.05
195311,6.51
195312,7.39
195401,12.43
195402,3.65
195403,2.90
195404,2.55
195405,0.59
195406,1.51
195407,0.19
195408,0.84
195409,0.94
195410,2.75
195411,4.67
195412,4.84
195501,3.26
195502,2.06
195503,3.04
195504,4.64
195505,0.45
195506,0.86
195507,0.83
195508,0.00
195509,1.38
195510,6.89
195511,6.70
195512,19.49
195601,10.89
195602,5.29
195603,4.83
195604,0.97
195605,2.17
195606,1.04
195607,0.00
195608,0.47
195609,0.74
195610,8.33
195611,1.20
195612,4.56
195701,2.98
195702,5.87
195703,8.67
195704,2.16
195705,3.11
195706,0.85
195707,0.19
195708,0.54
195709,1.03
195710,3.13
195711,2.81
195712,12.82
195801,9.35
195802,10.14
195803,2.31
195804,3.17
195805,1.53
195806,2.14
195807,0.00
195808,0.03
195809,1.48
195810,2.34
195811,7.87
195812,4.01
195901,12.39
195902,5.42
195903,3.62
195904,0.90
195905,2.15
195906,0.80
195907,0.32
195908,0.06
195909,0.88
195910,2.24
195911,1.42
195912,2.76
196001,4.83
196002,6.54
196003,9.81
196004,3.29
196005,4.44
196006,0.07
196007,0.00
196008,0.47
196009,0.75
196010,1.65
196011,12.02
196012,3.21
196101,5.25
196102,11.57
196103,8.42
196104,1.48
196105,2.86
196106,0.76
196107,0.32
196108,0.34
196109,1.12
196110,4.31
196111,9.35
196112,7.38
196201,1.39
196202,4.54
196203,7.07
196204,3.06
196205,1.93
196206,0.66
196207,0.00
196208,1.18
196209,1.93
196210,6.33
196211,6.34
196212,3.03
196301,2.55
196302,5.26
196303,7.17
196304,5.23
196305,3.96
196306,1.40
196307,0.32
196308,0.17
196309,2.19
196310,2.39
196311,7.87
196312,3.10
196401,14.83
196402,0.87
196403,4.53
196404,1.28
196405,0.91
196406,1.30
196407,0.54
196408,0.27
196409,0.73
