Date,Value
194112,12.88
194201,4.07
194202,6.22
194203,1.77
194204,4.05
194205,5.43
194206,0.57
194207,0.07
194208,0.07
194209,0.06
194210,1.22
194211,8.60
194212,8.52
194301,5.23
194302,3.51
194303,5.83
194304,3.23
194305,4.26
194306,0.48
194307,0.05
194308,0.21
194309,0.01
194310,4.61
194311,3.59
194312,1.67
194401,2.92
194402,3.62
194403,2.26
194404,4.25
194405,3.49
194406,1.20
194407,0.11
194408,0.19
194409,0.20
194410,2.79
194411,9.11
194412,5.93
194501,3.65
194502,9.56
194503,6.02
194504,2.28
194505,3.44
194506,0.00
194507,0.00
194508,0.10
194509,1.09
194510,3.38
194511,9.48
194512,9.93
194601,4.32
194602,5.09
194603,4.68
194604,0.43
194605,1.26
194606,0.30
194607,0.13
194608,0.01
194609,0.32
194610,2.26
194611,4.36
194612,1.56
194701,3.94
194702,1.33
194703,3.91
194704,1.85
194705,0.17
194706,1.58
194707,1.20
194708,0.10
194709,0.59
194710,6.50
194711,1.72
194712,3.10
194801,8.24
194802,5.20
194803,6.16
194804,6.54
194805,2.17
194806,0.77
194807,0.25
194808,0.13
194809,1.71
194810,3.33
194811,3.19
194812,7.36
194901,1.63
194902,6.09
194903,6.94
194904,0.41
194905,2.56
194906,0.06
194907,0.16
194908,0.02
194909,0.50
194910,2.03
194911,3.23
194912,4.48
195001,13.80
195002,4.61
195003,7.71
195004,1.94
195005,1.30
195006,1.04
195007,0.06
195008,0.07
195009,0.35
195010,13.04
195011,3.43
195012,5.99
195101,8.46
195102,7.56
195103,3.94
195104,2.06
195105,1.39
195106,0.00
195107,0.06
195108,0.02
195109,0.79
195110,3.87
195111,7.80
195112,9.10
195201,10.67
195202,6.22
195203,3.78
195204,1.34
195205,1.77
195206,1.98
195207,0.00
195208,0.01
195209,0.74
195210,0.62
195211,2.13
195212,11.87
195301,12.63
195302,3.44
195303,5.95
195304,3.18
195305,5.83
195306,1.24
195307,0.00
195308,0.42
195309,0.61
195310,3.84
195311,9.57
195312,3.63
195401,11.78
195402,3.29
195403,3.76
195404,2.78
195405,0.16
195406,2.57
195407,0.04
195408,1.25
195409,0.87
195410,1.47
195411,5.09
195412,9.65
195501,5.74
195502,1.83
195503,1.82
195504,5.56
195505,0.04
195506,0.12
195507,0.21
195508,0.00
195509,1.18
195510,2.64
195511,5.78
195512,11.63
195601,11.52
195602,7.47
195603,2.36
195604,0.31
195605,1.58
195606,1.71
195607,0.06
195608,0.00
195609,0.33
195610,5.47
195611,0.50
195612,7.18
195701,4.23
195702,4.36
195703,8.78
195704,1.96
195705,3.43
195706,0.30
195707,0.34
195708,0.02
195709,1.37
195710,6.01
195711,4.44
195712,5.69
195801,8.59
195802,10.81
195803,6.09
195804,3.67
195805,1.26
195806,0.71
195807,0.05
195808,0.00
195809,0.78
195810,1.17
195811,3.71
195812,4.06
195901,7.24
195902,10.65
195903,3.37
195904,0.52
195905,0.91
195906,0.25
195907,0.00
195908,0.01
195909,1.54
195910,0.74
195911,0.28
195912,3.64
196001,3.88
196002,7.48
196003,8.14
196004,2.91
196005,6.05
196006,0.00
196007,0.02
196008,0.04
196009,0.01
196010,1.31
196011,9.88
196012,5.08
196101,4.54
196102,7.54
196103,7.89
196104,3.49
196105,3.98
196106,0.50
196107,0.03
196108,0.30
196109,0.53
196110,2.29
196111,5.65
196112,3.44
196201,3.26
196202,6.08
196203,4.04
196204,2.62
196205,0.60
196206,0.11
196207,0.00
196208,1.92
196209,0.71
196210,6.49
196211,6.78
196212,2.58
196301,1.70
196302,4.75
196303,6.28
196304,10.68
196305,1.74
196306,0.33
196307,0.11
196308,0.07
196309,0.69
196310,5.42
196311,6.92
196312,3.20
196401,11.13
196402,1.20
196403,5.90
196404,0.67
196405,1.59
196406,0.72
196407,0.83
196408,0.04
196409,0.07
196410,1.82
196411,12.11
196412,10.97
196501,5.82
196502,1.36
196503,1.23
196504,5.60
196505,0.44
196506,0.35
196507,0.00
196508,0.36
196509,0.00
196510,0.71
196511,5.21
196512,5.22
196601,9.44
196602,3.12
196603,6.57
196604,1.34
196605,0.06
196606,0.30
196607,0.25
196608,0.50
196609,1.33
196610,1.02
196611,9.86
196612,6.52
196701,8.87
196702,1.47
196703,7.44
196704,5.30
196705,1.52
196706,0.32
196707,0.00
196708,0.00
196709,1.32
196710,2.15
196711,4.40
196712,4.34
196801,7.59
196802,2.93
196803,3.85
196804,0.40
196805,1.05
196806,0.20
196807,0.04
196808,1.98
196809,0.60
196810,2.81
196811,5.89
196812,8.32
196901,13.91
196902,7.81
196903,1.56
196904,3.22
196905,1.01
196906,0.34
196907,0.06
196908,0.00
196909,0.36
196910,3.20
196911,3.49
196912,9.61
197001,12.46
197002,3.15
197003,2.70
197004,1.54
197005,1.38
197006,0.29
197007,0.00
197008,0.00
197009,0.32
197010,2.11
197011,13.20
197012,10.25
197101,5.41
197102,3.28
197103,7.91
197104,2.93
197105,1.28
197106,1.52
