Date,Value
189501,4.14
189502,1.70
189503,1.84
189504,0.99
189505,0.52
189506,0.00
189507,0.00
189508,0.00
189509,0.07
189510,0.16
189511,0.19
189512,0.78
189601,2.89
189602,0.06
189603,1.21
189604,2.82
189605,0.02
189606,0.00
189607,0.07
189608,0.15
189609,0.06
189610,1.28
189611,1.46
189612,1.00
189701,1.93
189702,2.65
189703,1.64
189704,0.30
189705,0.00
189706,0.00
189707,0.00
189708,0.00
189709,0.00
189710,1.19
189711,0.22
189712,0.48
189801,0.42
189802,1.15
189803,0.71
189804,0.00
189805,0.79
189806,0.00
189807,0.00
189808,0.00
189809,1.12
189810,0.03
189811,0.34
189812,0.43
189901,1.92
189902,0.02
189903,2.90
189904,0.36
189905,0.06
189906,0.66
189907,0.00
189908,0.00
189909,0.00
189910,2.01
189911,1.52
189912,1.09
190001,1.52
190002,0.08
190003,0.88
190004,1.21
190005,1.97
190006,0.00
190007,0.00
190008,0.00
190009,0.16
190010,0.33
190011,4.61
190012,0.33
190101,2.16
190102,2.35
190103,0.34
190104,0.55
190105,0.50
190106,0.00
190107,0.00
190108,0.00
190109,0.59
190110,0.56
190111,0.86
190112,0.16
190201,0.41
190202,2.44
190203,1.14
190204,0.70
190205,0.01
190206,0.00
190207,0.00
190208,0.00
190209,0.00
190210,0.42
190211,2.25
190212,0.54
190301,1.86
190302,0.65
190303,2.28
190304,0.50
190305,0.00
190306,0.00
190307,0.00
190308,0.00
190309,0.00
190310,0.00
190311,0.68
190312,0.22
190401,0.57
190402,2.49
190403,2.75
190404,1.21
190405,0.12
190406,0.00
190407,0.00
190408,0.00
190409,1.78
190410,3.21
190411,0.08
190412,1.12
190501,0.93
190502,0.90
190503,2.04
190504,0.45
190505,1.58
190506,0.00
190507,0.00
190508,0.00
190509,0.00
190510,0.00
190511,0.96
190512,0.41
190601,2.05
190602,2.20
190603,4.12
190604,0.92
190605,2.88
190606,0.00
190607,0.00
190608,0.00
190609,0.00
190610,0.00
190611,0.73
190612,3.16
190701,3.34
190702,0.94
190703,1.74
190704,0.69
190705,0.00
190706,0.24
190707,0.00
190708,0.00
190709,0.00
190710,1.08
190711,0.00
190712,0.97
190801,1.78
190802,1.75
190803,0.71
190804,0.80
190805,0.63
190806,0.00
190807,0.01
190808,0.00
190809,0.15
190810,0.02
190811,0.66
190812,0.57
190901,4.44
190902,2.76
190903,1.18
190904,0.00
190905,0.00
190906,0.08
190907,0.00
190908,0.00
190909,0.00
190910,0.72
190911,2.79
190912,4.50
191001,1.22
191002,0.21
191003,1.28
191004,0.27
191005,0.00
191006,0.00
191007,0.00
191008,0.00
191009,1.00
191010,0.45
191011,0.24
191012,0.21
191101,4.23
191102,1.14
191103,3.30
191104,1.03
191105,0.22
191106,0.00
191107,0.00
191108,0.00
191109,0.01
191110,0.09
191111,0.17
191112,1.06
191201,0.72
191202,0.00
191203,3.02
191204,1.86
191205,0.41
191206,0.00
191207,0.00
191208,0.00
191209,0.10
191210,0.01
191211,0.85
191212,0.35
191301,1.22
191302,1.71
191303,0.63
191304,1.01
191305,0.30
191306,0.10
191307,0.33
191308,0.00
191309,0.00
