Date,Value
194408,0.00
194409,0.00
194410,0.06
194411,3.77
194412,0.54
194501,0.15
194502,2.74
194503,3.21
194504,0.00
194505,0.00
194506,0.03
194507,0.00
194508,0.00
194509,0.00
194510,0.46
194511,0.18
194512,4.45
194601,0.25
194602,0.53
194603,3.29
194604,0.65
194605,0.00
194606,0.00
194607,0.00
194608,0.00
194609,0.01
194610,0.80
194611,7.93
194612,2.91
194701,0.09
194702,0.44
194703,1.02
194704,0.23
194705,0.04
194706,0.00
194707,0.00
194708,0.01
194709,0.03
194710,0.25
194711,0.03
194712,0.98
194801,0.15
194802,1.00
194803,2.24
194804,0.63
194805,0.00
194806,0.04
194807,0.00
194808,0.00
194809,0.00
194810,0.03
194811,0.00
194812,2.22
194901,2.30
194902,1.55
194903,1.44
194904,0.01
194905,0.42
194906,0.00
194907,0.00
194908,0.00
194909,0.01
194910,0.00
194911,1.46
194912,2.21
195001,2.54
195002,2.04
195003,0.47
195004,0.41
195005,0.00
195006,0.02
195007,0.03
195008,0.00
195009,0.11
195010,0.12
195011,0.95
195012,0.01
195101,2.82
195102,0.84
195103,0.38
195104,1.37
195105,0.02
195106,0.00
195107,0.00
195108,0.06
195109,0.00
195110,0.23
195111,0.71
195112,4.63
195201,7.24
195202,0.72
195203,4.33
195204,1.21
195205,0.00
195206,0.00
195207,0.00
195208,0.00
195209,0.06
195210,0.00
195211,2.76
195212,2.28
195301,1.13
195302,0.10
195303,0.44
195304,1.78
195305,0.00
195306,0.00
195307,0.02
195308,0.00
195309,0.00
195310,0.00
195311,1.23
195312,0.06
195401,4.78
195402,3.36
195403,2.60
195404,0.11
195405,0.02
195406,0.01
195407,0.01
195408,0.04
195409,0.00
195410,0.00
195411,1.24
195412,0.74
195501,4.13
195502,0.88
195503,0.15
195504,2.20
195505,0.42
195506,0.07
195507,0.01
195508,0.00
195509,0.00
195510,0.00
195511,1.35
195512,0.94
195601,8.07
195602,0.51
195603,0.00
195604,2.07
195605,0.56
195606,0.00
195607,0.00
195608,0.00
195609,0.00
195610,0.01
195611,0.00
195612,0.49
195701,3.88
195702,1.94
195703,0.95
195704,1.33
195705,0.28
195706,0.06
195707,0.03
195708,0.00
195709,0.00
195710,1.28
195711,0.46
195712,2.10
195801,1.49
195802,6.26
195803,5.25
195804,2.04
195805,0.01
195806,0.00
195807,0.00
195808,0.02
195809,0.03
195810,0.32
195811,0.00
195812,0.01
195901,1.11
195902,3.72
195903,0.00
195904,0.39
195905,0.00
195906,0.00
195907,0.00
195908,0.00
195909,0.04
195910,0.01
195911,0.06
195912,1.11
196001,2.83
196002,2.90
196003,0.21
196004,2.00
196005,0.00
196006,0.00
196007,0.00
196008,0.00
196009,0.00
196010,0.00
196011,2.67
196012,0.06
196101,1.27
196102,0.00
196103,0.46
196104,0.02
196105,0.00
196106,0.00
196107,0.01
196108,0.30
196109,0.04
196110,0.00
196111,1.89
196112,1.07
196201,2.68
196202,11.07
196203,1.11
196204,0.00
196205,0.06
196206,0.00
196207,0.00
196208,0.00
196209,0.00
196210,0.07
196211,0.02
196212,0.01
196301,0.62
196302,4.48
196303,2.43
196304,1.41
196305,0.02
196306,0.24
196307,0.00
196308,0.01
196309,1.13
196310,0.42
196311,2.76
196312,0.00
196401,1.49
196402,0.00
196403,1.20
196404,0.20
196405,0.01
196406,0.29
196407,0.00
196408,0.00
196409,0.00
196410,0.30
196411,1.07
196412,1.95
196501,0.43
196502,0.34
196503,1.64
196504,4.51
196505,0.00
196506,0.03
196507,0.00
196508,0.12
196509,0.11
196510,0.00
196511,6.38
196512,3.26
196601,0.84
196602,1.40
196603,0.49
196604,0.01
196605,0.02
196606,0.00
196607,0.01
196608,0.00
196609,0.19
196610,0.04
196611,2.69
196612,3.67
196701,2.71
196702,0.05
196703,1.47
196704,2.68
196705,0.03
196706,0.00
196707,0.00
196708,0.00
196709,0.44
196710,0.00
196711,7.47
196712,1.05
196801,0.84
196802,0.44
196803,3.77
196804,0.49
196805,0.00
196806,0.00
196807,0.04
196808,0.00
196809,0.00
196810,0.32
196811,0.24
196812,1.42
196901,9.61
196902,3.76
196903,0.42
196904,0.38
196905,0.00
196906,0.00
196907,0.15
196908,0.00
196909,0.01
196910,0.00
196911,1.37
196912,0.01
197001,1.44
197002,1.39
197003,1.29
197004,0.00
197005,0.00
197006,0.01
197007,0.00
197008,0.00
197009,0.00
197010,0.02
197011,3.68
197012,4.12
197101,0.66
197102,0.36
197103,0.23
197104,0.68
197105,0.18
197106,0.00
197107,0.00
197108,0.00
197109,0.00
197110,0.28
197111,0.22
197112,5.70
197201,0.00
197202,0.16
197203,0.00
197204,0.00
197205,0.01
197206,0.06
197207,0.00
197208,0.06
197209,0.03
197210,1.79
197211,3.13
197212,1.88
197301,3.16
197302,4.87
197303,2.43
197304,0.00
197305,0.01
197306,0.00
197307,0.00
197308,0.02
197309,0.00
197310,0.08
197311,1.92
197312,0.46
197401,5.68
197402,0.13
197403,2.49
197404,0.14
197405,0.02
197406,0.00
197407,0.00
197408,0.00
197409,0.00
197410,0.54
197411,0.00
197412,3.76
197501,0.01
197502,3.21
197503,2.99
197504,0.74
197505,0.04
197506,0.00
197507,0.00
197508,0.00
197509,0.00
197510,0.24
197511,0.00
197512,0.10
197601,0.00
197602,2.15
197603,0.83
197604,0.78
197605,0.00
197606,0.28
197607,0.02
197608,0.03
197609,1.85
197610,1.50
197611,0.87
197612,0.95
197701,3.21
197702,0.26
197703,1.23
197704,0.00
197705,2.55
197706,0.00
197707,0.00
197708,2.47
197709,0.00
197710,0.00
197711,0.04
197712,3.92
197801,7.48
197802,7.67
197803,5.75
197804,1.23
197805,0.00
197806,0.00
197807,0.00
197808,0.00
197809,0.39
197810,0.04
197811,1.20
197812,0.83
197901,5.26
197902,2.53
197903,4.74
197904,0.00
197905,0.00
197906,0.00
197907,0.00
197908,0.00
197909,0.04
197910,0.31
197911,0.22
197912,0.42
198001,6.97
198002,9.13
198003,3.70
198004,0.17
198005,0.07
198006,0.00
198007,0.00
198008,0.00
198009,0.00
198010,0.00
198011,0.00
198012,1.57
198101,1.51
198102,1.58
198103,3.24
198104,0.46
198105,0.00
198106,0.00
198107,0.00
198108,0.00
198109,0.05
198110,0.40
198111,2.63
198112,1.52
198201,2.78
198202,0.66
198203,3.41
198204,1.61
198205,0.11
198206,0.01
198207,0.00
198208,0.00
198209,0.78
198210,0.18
198211,3.48
198212,0.66
198301,5.25
198302,5.64
198303,6.37
198304,3.18
198305,0.04
198306,0.03
198307,0.00
198308,1.25
198309,1.91
198310,0.94
198311,2.74
198312,2.11
198401,0.39
198402,0.01
198403,0.14
198404,1.16
198405,0.00
198406,0.00
198407,0.00
198408,0.29
198409,0.09
198410,0.28
198411,1.24
198412,4.21
198501,0.70
198502,1.91
198503,0.72
198504,0.00
198505,0.16
198506,0.00
198507,0.00
198508,0.00
198509,0.28
198510,0.36
198511,4.75
198512,0.44
198601,2.31
198602,5.36
198603,4.89
198604,0.30
198605,0.00
198606,0.00
198607,0.09
198608,0.00
198609,1.44
198610,0.10
198611,1.14
198612,0.30
198701,1.27
198702,0.64
198703,0.92
198704,0.02
198705,0.00
198706,0.09
198707,0.08
198708,0.00
198709,0.08
198710,1.74
198711,0.60
198712,1.80
198801,1.61
198802,1.79
198803,0.08
198804,1.14
198805,0.00
198806,0.00
198807,0.00
198808,0.02
198809,0.07
198810,0.00
198811,0.73
198812,2.52
198901,0.59
198902,1.72
198903,0.86
198904,0.00
198905,0.04
198906,0.00
198907,0.00
198908,0.00
198909,0.26
198910,0.34
198911,0.38
198912,0.00
199001,1.18
199002,2.60
199003,0.14
199004,0.34
199005,0.83
199006,0.00
199007,0.00
199008,0.02
199009,0.00
199010,0.00
199011,0.10
199012,0.03
199101,1.38
199102,2.53
199103,3.96
199104,0.00
199105,0.00
199106,0.00
199107,0.17
199108,0.00
199109,0.09
199110,0.06
199111,0.00
199112,2.86
199201,1.61
199202,4.70
199203,5.07
199204,0.18
199205,0.04
199206,0.00
199207,0.32
199208,0.00
199209,0.00
199210,0.50
199211,0.00
199212,4.16
199301,10.63
199302,5.48
199303,1.83
199304,0.00
199305,0.00
199306,0.74
199307,0.00
199308,0.00
199309,0.00
199310,0.09
