Date,Value
194112,5.02
194201,4.34
194202,2.55
194203,2.68
194204,-99.00
194205,-99.00
194206,-99.00
194207,-99.00
194208,-99.00
194209,-99.00
194210,-99.00
194211,1.45
194212,2.70
194301,5.91
194302,1.19
194303,3.94
194304,-99.00
194305,-99.00
194306,-99.00
194307,-99.00
194308,-99.00
194309,-99.00
194310,-99.00
194311,0.62
194312,1.82
194401,2.50
194402,6.41
194403,1.36
194404,-99.00
194405,-99.00
194406,-99.00
194407,-99.00
194408,-99.00
194409,-99.00
194410,-99.00
194411,3.12
194412,2.06
194501,1.44
194502,3.88
194503,2.33
194504,-99.00
194505,-99.00
194506,-99.00
194507,-99.00
194508,-99.00
194509,-99.00
194510,-99.00
194511,1.45
194512,4.84
194601,0.56
194602,0.73
194603,1.81
194604,-99.00
194605,-99.00
194606,-99.00
194607,-99.00
194608,-99.00
194609,-99.00
194610,-99.00
194611,2.27
194612,1.24
194701,0.47
194702,2.06
194703,2.32
194704,-99.00
194705,-99.00
194706,-99.00
194707,0.00
194708,0.00
194709,0.01
194710,2.51
194711,1.01
194712,0.53
194801,0.38
194802,0.80
194803,3.26
194804,2.63
194805,3.13
194806,0.00
194807,0.00
194808,0.00
194809,0.01
194810,1.39
194811,0.45
194812,4.84
194901,1.47
194902,1.76
194903,3.72
194904,0.00
194905,0.21
194906,0.00
194907,0.02
194908,0.03
194909,0.01
194910,0.13
194911,1.13
194912,1.93
195001,3.96
195002,2.88
195003,1.78
195004,0.62
195005,0.40
195006,0.02
195007,0.01
195008,0.00
195009,0.35
195010,2.44
195011,4.80
195012,4.55
195101,1.97
195102,1.62
195103,0.66
195104,0.69
195105,0.47
195106,0.00
195107,0.00
195108,0.00
195109,0.14
195110,1.33
195111,2.85
195112,4.72
195201,7.96
195202,1.13
195203,4.14
195204,1.33
195205,0.03
195206,0.25
195207,0.01
195208,0.00
195209,0.00
195210,0.00
195211,2.00
195212,7.10
195301,2.57
195302,0.20
195303,1.22
195304,2.13
195305,0.42
195306,0.63
195307,0.00
195308,0.07
195309,0.00
195310,0.32
195311,1.49
195312,0.55
195401,2.67
195402,3.59
195403,3.02
195404,1.62
195405,0.20
195406,0.00
195407,0.00
195408,0.34
195409,0.00
195410,0.01
195411,3.01
195412,4.41
195501,2.87
195502,1.02
195503,0.44
195504,2.31
195505,0.57
195506,0.00
195507,0.00
195508,0.00
195509,0.67
195510,0.47
195511,1.28
195512,12.65
195601,6.10
195602,1.91
195603,0.17
195604,1.44
195605,0.86
195606,0.00
195607,0.00
195608,0.00
195609,0.84
195610,1.23
195611,0.06
195612,0.17
195701,2.11
195702,4.19
195703,2.07
195704,1.50
195705,1.61
195706,0.00
195707,0.00
195708,0.00
195709,1.08
195710,0.92
195711,0.52
195712,2.99
195801,4.87
195802,7.72
195803,5.62
195804,4.00
195805,0.76
195806,0.23
195807,0.00
195808,0.01
195809,0.08
195810,0.24
195811,0.09
195812,0.77
195901,4.93
195902,4.11
195903,0.54
195904,0.21
195905,0.00
195906,0.00
195907,0.00
195908,0.00
195909,1.61
195910,0.00
195911,0.02
195912,1.36
196001,3.44
196002,3.34
196003,1.43
196004,1.31
196005,0.55
196006,0.00
196007,0.01
196008,0.00
196009,0.00
196010,0.00
196011,4.25
196012,0.87
196101,3.47
196102,1.25
196103,2.02
196104,0.46
196105,0.19
196106,0.01
196107,0.00
196108,0.03
196109,0.17
196110,0.03
196111,3.13
196112,2.47
196201,1.00
196202,8.77
196203,1.69
196204,0.15
196205,0.03
196206,0.01
196207,0.00
196208,0.13
196209,0.06
196210,7.52
196211,0.39
196212,1.84
196301,4.71
196302,2.10
196303,4.25
196304,3.54
196305,0.69
196306,0.00
196307,0.00
196308,0.00
196309,0.47
196310,1.09
196311,4.35
196312,0.45
196401,3.83
196402,0.15
196403,1.36
196404,0.17
196405,0.23
196406,0.39
196407,0.01
196408,0.11
196409,0.00
196410,1.72
196411,2.70
196412,6.03
196501,3.01
196502,0.41
196503,1.48
196504,2.70
196505,0.09
196506,0.00
196507,0.00
196508,0.65
196509,0.00
196510,0.11
196511,2.93
196512,2.44
196601,1.91
196602,1.56
196603,0.14
196604,0.47
196605,0.25
196606,0.02
196607,0.10
196608,0.00
196609,0.07
196610,0.00
196611,5.73
196612,3.53
196701,8.42
196702,0.41
196703,3.91
196704,3.41
196705,0.13
196706,0.60
196707,0.00
196708,0.00
196709,0.04
196710,0.24
196711,1.18
196712,1.29
196801,3.77
196802,2.13
196803,2.39
196804,0.42
196805,0.16
196806,0.15
196807,0.00
196808,0.02
196809,0.00
196810,0.60
196811,2.49
196812,2.77
196901,8.50
196902,6.98
196903,0.94
196904,1.63
196905,0.04
196906,0.08
196907,0.00
196908,0.00
196909,0.02
196910,0.72
196911,0.60
196912,4.41
197001,7.89
197002,1.58
197003,1.62
197004,0.18
197005,0.00
197006,0.16
197007,0.00
197008,0.00
197009,0.00
197010,0.84
197011,7.41
197012,3.41
197101,0.91
197102,0.56
197103,2.05
197104,0.45
197105,0.78
197106,0.01
197107,0.00
197108,0.00
197109,0.00
197110,0.13
197111,0.87
197112,4.05
197201,0.81
197202,1.28
197203,0.30
197204,1.39
197205,0.28
197206,0.19
197207,0.00
197208,0.00
197209,0.90
197210,1.75
197211,5.15
197212,1.89
197301,6.87
197302,5.64
197303,2.76
197304,0.05
197305,0.13
197306,0.00
197307,0.00
197308,0.00
197309,0.33
197310,1.65
197311,6.28
197312,2.79
197401,3.58
197402,1.37
197403,3.27
197404,0.96
197405,0.01
197406,0.50
197407,0.79
197408,0.00
197409,0.00
197410,1.16
197411,0.66
197412,2.86
197501,0.74
197502,4.60
197503,4.28
197504,0.81
197505,0.00
197506,0.00
197507,0.04
197508,0.23
197509,0.00
197510,2.03
197511,0.29
197512,0.18
197601,0.36
197602,1.49
197603,0.44
197604,1.53
197605,0.00
197606,0.04
197607,0.00
197608,0.65
197609,0.52
197610,0.02
197611,0.55
197612,0.65
197701,1.17
197702,1.17
197703,1.28
197704,0.30
197705,0.73
197706,0.00
197707,0.00
197708,0.00
197709,0.76
197710,0.13
197711,1.92
197712,4.27
197801,9.14
197802,4.46
197803,3.39
197804,2.31
197805,0.00
197806,0.00
197807,0.00
197808,0.00
197809,0.30
197810,0.00
197811,3.20
197812,0.95
197901,5.66
197902,4.55
197903,2.47
197904,0.76
197905,0.14
197906,0.00
197907,0.25
197908,0.00
197909,0.00
