Date,Value
193907,0.00
193908,0.00
193909,3.15
193910,0.62
193911,1.13
193912,0.54
194001,2.15
194002,3.56
194003,0.82
194004,0.46
194005,0.00
194006,0.00
194007,0.00
194008,0.00
194009,0.08
194010,1.50
194011,0.49
194012,6.09
194101,2.03
194102,5.32
194103,5.89
194104,3.35
194105,0.00
194106,0.00
194107,0.06
194108,0.03
194109,0.28
194110,2.90
194111,2.23
194112,2.85
194201,0.21
194202,1.07
194203,1.91
194204,1.40
194205,0.11
194206,0.01
194207,0.00
194208,0.00
194209,0.00
194210,0.27
194211,0.27
194212,0.69
194301,6.26
194302,1.40
194303,1.66
194304,0.52
194305,0.02
194306,0.01
194307,0.00
194308,0.00
194309,0.04
194310,0.20
194311,0.03
194312,7.60
194401,1.22
194402,3.65
194403,0.80
194404,0.61
194405,0.22
194406,0.10
194407,0.00
194408,0.00
194409,0.00
194410,0.00
194411,4.93
194412,1.53
194501,0.42
194502,1.91
194503,2.03
194504,0.03
194505,0.04
194506,0.15
194507,0.00
194508,0.87
194509,0.03
194510,0.00
194511,0.13
194512,3.62
194601,0.89
194602,0.60
194603,2.67
194604,0.52
194605,0.01
194606,0.00
194607,0.00
194608,0.00
194609,0.00
194610,0.35
194611,2.54
194612,1.18
194701,0.35
194702,0.43
194703,0.98
194704,0.36
194705,0.17
194706,0.00
194707,0.00
194708,0.00
194709,0.18
194710,0.08
194711,0.72
194712,3.02
194801,0.00
194802,1.07
194803,1.60
194804,0.13
194805,0.01
194806,0.02
194807,0.00
194808,0.00
194809,0.00
194810,1.32
194811,0.11
194812,2.38
194901,3.57
194902,1.81
194903,0.75
194904,0.09
194905,0.41
194906,0.00
194907,0.00
194908,0.00
194909,0.00
194910,0.23
194911,1.16
194912,0.86
195001,3.32
195002,1.63
195003,1.01
195004,0.28
195005,0.09
195006,0.00
195007,0.08
195008,0.00
195009,0.00
195010,0.01
195011,1.23
195012,0.05
195101,1.59
195102,0.50
195103,0.50
195104,1.94
195105,0.00
195106,0.00
195107,0.00
195108,0.85
195109,0.04
195110,0.69
195111,1.24
195112,3.87
195201,4.25
195202,0.61
195203,4.98
195204,1.54
195205,0.00
195206,0.14
195207,0.00
195208,0.00
195209,0.00
195210,0.00
195211,1.83
195212,2.20
195301,0.58
195302,0.58
195303,0.79
195304,0.34
195305,0.09
195306,0.14
195307,0.00
195308,0.00
195309,0.00
195310,0.07
195311,0.80
195312,0.03
195401,2.76
195402,1.03
195403,4.31
195404,0.09
195405,0.01
195406,0.03
195407,0.00
195408,0.00
195409,0.00
195410,0.00
195411,0.74
195412,0.55
195501,3.59
195502,0.56
195503,0.38
195504,0.90
195505,0.49
195506,0.00
195507,0.00
195508,0.11
195509,0.00
195510,0.00
195511,0.55
195512,0.33
195601,1.65
195602,0.22
195603,0.00
195604,1.56
195605,0.10
195606,0.00
195607,0.00
195608,0.00
195609,0.00
195610,0.68
195611,0.00
195612,0.18
195701,4.80
195702,0.50
195703,0.75
195704,0.84
195705,0.88
195706,0.26
195707,0.00
195708,0.00
195709,0.37
195710,1.76
195711,0.59
195712,1.38
195801,0.62
195802,3.15
195803,3.99
195804,1.65
195805,0.40
195806,0.00
195807,0.00
195808,0.00
195809,0.62
195810,0.01
195811,0.44
195812,0.06
195901,0.08
195902,3.76
195903,0.00
195904,0.31
195905,0.00
195906,0.00
195907,0.00
195908,0.00
195909,0.04
195910,0.23
195911,0.02
195912,1.44
196001,2.99
196002,1.45
196003,0.55
196004,0.56
196005,0.17
196006,0.00
196007,0.00
196008,0.00
196009,0.06
196010,0.04
196011,1.01
196012,0.22
196101,1.20
196102,0.06
196103,0.85
196104,0.00
196105,0.01
196106,0.00
196107,0.00
196108,0.04
196109,0.00
196110,0.20
196111,0.79
196112,1.45
196201,2.71
196202,3.09
196203,0.64
196204,0.01
196205,0.62
196206,0.09
196207,0.00
196208,0.00
196209,0.00
196210,0.01
196211,0.01
196212,0.22
196301,0.11
196302,1.22
196303,1.33
196304,0.72
196305,0.09
196306,0.28
196307,0.00
196308,0.00
196309,1.90
196310,0.13
196311,1.85
196312,0.10
196401,1.30
196402,0.37
196403,0.97
196404,0.20
196405,0.15
196406,0.08
196407,0.00
196408,0.00
196409,0.00
196410,0.02
196411,1.01
196412,1.17
196501,0.40
196502,0.52
196503,1.79
196504,3.58
196505,0.00
196506,0.01
196507,0.02
196508,0.00
196509,0.29
196510,0.00
196511,5.83
196512,6.59
196601,1.30
196602,0.86
196603,0.17
196604,0.00
196605,0.02
196606,0.00
196607,0.00
196608,0.00
196609,0.00
196610,0.80
196611,0.83
196612,3.22
196701,2.20
196702,0.00
196703,1.14
196704,2.24
196705,0.06
196706,0.16
196707,0.01
196708,0.14
196709,0.08
196710,0.00
196711,3.53
196712,1.66
196801,0.35
196802,0.22
196803,1.55
196804,0.34
196805,0.08
196806,0.00
196807,0.13
196808,0.00
196809,0.00
196810,0.04
196811,0.37
196812,0.61
196901,4.79
196902,4.34
196903,0.94
196904,0.21
196905,0.17
196906,0.02
196907,0.00
196908,0.01
196909,0.00
196910,0.04
196911,0.80
196912,0.46
197001,0.86
197002,2.58
197003,1.50
197004,0.09
197005,0.01
197006,0.00
197007,0.00
197008,0.00
197009,0.00
197010,0.07
197011,2.05
197012,2.22
197101,0.30
197102,1.27
197103,0.20
197104,0.94
197105,0.95
197106,0.01
197107,0.00
197108,0.03
197109,0.00
197110,1.66
197111,0.06
197112,3.27
197201,0.07
197202,0.10
197203,0.00
197204,0.02
197205,0.10
197206,0.39
197207,0.00
197208,0.02
197209,0.44
197210,0.58
197211,3.16
197212,1.61
197301,1.68
197302,1.64
197303,2.26
197304,0.05
197305,0.00
197306,0.00
197307,0.00
197308,0.00
197309,0.02
197310,0.01
197311,1.63
197312,0.19
197401,2.96
197402,0.04
197403,1.70
197404,0.02
197405,0.01
197406,0.02
197407,0.01
197408,0.00
197409,0.00
197410,1.03
197411,0.14
197412,2.20
197501,0.49
197502,0.96
197503,3.79
197504,2.00
197505,0.01
197506,0.02
197507,0.00
197508,0.00
197509,0.00
197510,0.09
197511,0.64
197512,0.37
197601,0.00
197602,5.39
197603,0.99
197604,1.33
197605,0.27
197606,0.02
197607,0.02
197608,0.01
197609,1.00
197610,0.38
197611,0.75
197612,1.06
197701,2.37
197702,0.06
197703,0.61
197704,0.01
197705,1.79
197706,0.03
197707,0.00
197708,2.13
197709,0.00
197710,0.50
197711,0.06
197712,1.67
197801,5.95
197802,2.64
197803,5.00
197804,0.74
197805,0.04
197806,0.00
197807,0.00
197808,0.00
197809,0.72
197810,0.05
197811,2.09
197812,2.20
197901,5.83
197902,0.85
197903,3.70
197904,0.02
197905,0.09
197906,0.01
197907,0.09
197908,0.01
197909,0.00
197910,0.73
197911,0.27
197912,0.02
198001,5.58
198002,4.47
198003,2.71
198004,1.18
198005,0.65
198006,0.01
198007,0.00
198008,0.00
198009,0.00
198010,0.05
198011,0.00
198012,0.31
198101,1.48
198102,2.26
198103,3.75
198104,0.22
198105,0.04
198106,0.00
198107,0.00
198108,0.00
198109,0.03
198110,0.14
198111,1.79
198112,0.54
198201,2.71
198202,0.88
198203,4.75
198204,0.62
198205,0.01
198206,0.04
198207,0.00
198208,0.00
198209,0.38
198210,0.05
198211,2.10
198212,1.43
198301,2.09
198302,3.88
198303,6.57
198304,1.74
198305,0.01
198306,0.00
198307,0.01
198308,0.39
198309,0.22
198310,0.40
198311,1.94
198312,1.53
198401,0.46
198402,0.09
198403,0.04
198404,0.62
198405,0.00
198406,0.04
198407,0.19
198408,0.06
198409,0.00
198410,0.29
198411,2.37
198412,4.55
198501,0.52
198502,0.77
198503,0.58
198504,0.32
198505,0.00
198506,0.00
198507,0.00
198508,0.00
198509,0.20
198510,0.30
198511,4.93
198512,1.06
198601,0.75
198602,2.59
198603,3.12
198604,1.17
198605,0.00
198606,0.00
198607,0.01
198608,0.00
198609,1.04
198610,1.39
198611,1.16
198612,0.95
198701,1.68
198702,1.54
198703,1.04
198704,0.78
198705,0.03
198706,0.00
198707,0.03
198708,0.01
198709,0.70
198710,1.74
198711,1.33
198712,2.73
198801,0.89
198802,1.37
198803,0.59
198804,3.71
198805,0.08
198806,0.00
198807,0.00
198808,0.00
198809,0.00
198810,0.00
198811,1.39
198812,2.23
198901,0.42
198902,0.70
198903,0.69
198904,0.12
198905,0.04
198906,0.06
198907,0.00
198908,0.00
198909,0.23
198910,0.47
198911,0.09
198912,1.01
199001,2.52
199002,1.13
199003,0.25
199004,0.77
199005,0.51
199006,0.87
199007,0.00
199008,0.01
199009,0.00
199010,0.00
199011,0.65
199012,0.59
199101,1.06
199102,2.46
199103,6.96
199104,0.05
199105,0.01
199106,0.00
199107,0.24
199108,0.01
199109,0.28
199110,0.69
199111,0.05
199112,1.70
199201,1.81
199202,3.34
199203,4.43
199204,0.28
199205,0.07
199206,0.04
199207,0.03
199208,0.05
199209,0.00
199210,0.18
199211,0.03
199212,2.56
199301,9.09
199302,4.73
199303,1.22
199304,0.00
199305,0.01
199306,0.41
199307,0.03
199308,0.00
199309,0.00
199310,0.22
199311,0.77
199312,0.78
199401,0.70
199402,2.75
199403,3.67
199404,0.93
199405,0.07
199406,0.00
199407,0.03
199408,0.01
199409,0.00
199410,0.01
199411,0.46
199412,0.80
199501,8.05
199502,1.93
199503,3.82
199504,0.96
199505,0.59
199506,0.46
199507,0.05
199508,0.00
199509,0.00
199510,0.00
199511,0.30
199512,0.88
199601,1.52
199602,0.88
199603,1.10
199604,0.37
199605,0.02
199606,0.00
199607,0.09
199608,0.00
199609,0.03
199610,0.94
199611,1.70
199612,0.64
199701,3.02
199702,0.31
199703,0.00
199704,0.28
199705,0.00
199706,0.00
199707,0.00
199708,0.00
199709,0.85
199710,0.02
199711,1.17
199712,1.35
199801,2.68
199802,7.65
199803,2.21
199804,1.11
199805,0.64
199806,0.10
199807,0.20
199808,0.00
199809,0.03
199810,0.08
199811,0.69
199812,0.66
199901,1.54
199902,0.70
199903,1.09
199904,1.62
199905,0.06
199906,0.04
199907,0.00
199908,0.00
199909,0.02
199910,0.00
199911,0.04
199912,0.32
200001,0.17
200002,3.67
200003,1.00
200004,0.54
200005,0.00
200006,0.00
200007,0.00
200008,0.01
200009,0.00
200010,1.25
200011,0.26
200012,0.01
200101,3.28
200102,2.38
200103,0.63
200104,0.76
200105,0.01
200106,0.00
200107,0.00
200108,0.00
200109,0.00
200110,0.00
200111,0.94
200112,0.46
200201,0.32
200202,0.17
200203,0.46
200204,0.63
200205,0.00
200206,0.00
200207,0.00
200208,0.00
200209,0.31
200210,0.04
200211,0.32
200212,1.98
200301,0.02
200302,4.88
200303,1.36
200304,1.41
200305,0.30
200306,0.00
200307,0.00
200308,0.00
200309,0.00
200310,0.00
200311,0.60
200312,0.61
200401,0.34
200402,2.81
200403,0.22
200404,0.60
200405,0.00
200406,0.00
200407,0.00
200408,0.00
200409,0.00
200410,4.98
200411,0.33
200412,4.01
200501,4.50
200502,5.83
200503,2.12
200504,0.59
200505,0.12
200506,0.02
200507,0.01
200508,0.00
200509,0.10
200510,0.46
200511,0.12
200512,0.25
200601,0.36
200602,1.11
200603,1.36
200604,0.88
200605,0.77
200606,0.00
200607,0.04
200608,0.01
200609,0.00
200610,0.76
200611,0.15
200612,0.71
200701,0.51
200702,1.13
200703,0.09
200704,0.46
200705,0.00
200706,0.00
200707,0.00
200708,0.00
200709,0.05
200710,0.37
200711,0.97
200712,0.80
200801,3.34
200802,1.21
200803,0.26
200804,0.00
200805,0.23
200806,0.02
200807,0.00
200808,0.00
200809,0.00
200810,0.18
200811,2.49
200812,3.38
200901,0.08
200902,2.63
200903,0.18
200904,0.14
200905,0.04
200906,0.03
200907,0.00
200908,0.00
200909,0.00
