Date,Value
194507,0.01
194508,0.00
194509,0.03
194510,2.04
194511,2.38
194512,6.61
194601,0.92
194602,1.64
194603,1.94
194604,0.15
194605,0.22
194606,0.00
194607,0.15
194608,-99.00
194609,0.01
194610,0.09
194611,2.00
194612,1.67
194701,0.73
194702,-99.00
194703,2.98
194704,0.13
194705,0.26
194706,0.48
194707,0.00
194708,0.00
194709,0.00
194710,-99.00
194711,0.94
194712,1.67
194801,0.31
194802,1.59
194803,2.62
194804,2.78
194805,0.35
194806,0.05
194807,0.00
194808,0.00
194809,0.05
194810,0.31
194811,0.27
194812,4.07
194901,1.24
194902,2.65
194903,4.30
194904,0.00
194905,0.46
194906,0.00
194907,0.02
194908,0.08
194909,0.02
194910,0.06
194911,1.52
194912,2.35
195001,6.28
195002,2.61
195003,1.64
195004,0.98
195005,0.20
195006,0.07
195007,0.00
195008,0.00
195009,0.11
195010,1.98
195011,2.90
195012,4.78
195101,2.99
195102,1.81
195103,1.31
195104,0.66
195105,0.45
195106,0.01
195107,0.00
195108,0.09
195109,0.00
195110,0.64
195111,2.57
195112,7.06
195201,8.96
195202,1.57
195203,4.62
195204,0.48
195205,0.24
195206,0.19
195207,0.00
195208,0.00
195209,0.00
195210,0.08
195211,2.00
195212,9.35
195301,3.03
195302,0.00
195303,1.34
195304,1.67
195305,0.22
195306,0.34
195307,0.00
195308,0.03
195309,0.00
195310,0.24
195311,1.93
195312,0.41
195401,3.08
195402,2.37
195403,4.37
195404,1.04
195405,0.07
195406,0.15
195407,0.01
195408,0.01
195409,0.00
195410,0.04
195411,1.98
195412,4.24
195501,3.64
195502,1.51
195503,0.20
195504,1.54
195505,0.09
195506,0.00
195507,0.01
195508,0.00
195509,0.00
195510,0.01
195511,2.06
195512,12.30
195601,8.78
195602,3.12
195603,0.15
195604,1.15
195605,0.49
195606,0.00
195607,0.00
195608,0.00
195609,0.26
195610,1.16
195611,0.01
195612,0.48
195701,3.35
195702,3.86
195703,2.06
195704,1.58
195705,3.80
195706,0.01
195707,0.00
195708,0.00
195709,1.06
195710,2.87
195711,1.19
195712,4.18
195801,4.65
195802,9.53
195803,9.02
195804,6.36
195805,0.33
195806,0.35
195807,0.00
195808,0.00
195809,0.05
195810,0.10
195811,0.15
195812,1.77
195901,4.04
195902,4.66
195903,0.30
195904,0.37
195905,0.04
195906,0.00
195907,0.00
195908,0.00
195909,2.30
195910,0.00
195911,0.00
195912,1.97
196001,4.49
196002,4.38
196003,1.17
196004,0.73
196005,0.54
196006,0.00
196007,0.00
196008,0.00
196009,0.00
196010,0.28
196011,4.15
196012,1.16
196101,2.63
196102,1.19
196103,3.39
196104,1.25
196105,0.60
196106,0.10
196107,0.00
196108,0.05
196109,0.41
196110,0.03
196111,4.37
196112,1.82
196201,1.70
196202,8.49
196203,2.98
196204,0.34
196205,0.00
196206,0.00
196207,0.00
196208,0.03
196209,0.09
196210,7.30
196211,0.36
196212,2.96
196301,4.47
196302,2.04
196303,3.94
196304,3.71
196305,0.50
196306,0.00
196307,0.00
196308,0.00
196309,0.07
196310,1.34
196311,3.29
196312,0.55
196401,4.39
196402,0.27
196403,1.96
196404,0.01
196405,0.32
196406,0.60
196407,0.00
196408,0.01
196409,0.00
196410,1.26
196411,3.31
196412,5.43
196501,4.37
196502,0.92
196503,1.77
196504,3.47
196505,0.00
196506,0.00
196507,0.00
196508,0.29
196509,0.00
196510,0.00
196511,5.40
196512,5.02
196601,2.70
196602,3.18
196603,0.60
196604,0.40
196605,0.12
196606,0.04
196607,0.03
196608,0.09
196609,0.08
196610,0.00
196611,4.79
196612,3.96
196701,10.43
196702,0.09
196703,5.05
196704,5.31
196705,0.26
196706,0.86
196707,0.00
196708,0.00
196709,0.01
196710,0.48
196711,1.29
196712,3.50
196801,5.25
196802,1.44
196803,3.03
196804,0.55
196805,0.28
196806,0.00
196807,0.00
196808,0.06
196809,0.00
196810,0.45
196811,2.47
196812,4.49
196901,8.93
196902,8.62
196903,1.34
196904,1.87
196905,0.00
196906,0.06
196907,0.00
196908,0.00
196909,0.02
196910,1.96
196911,0.69
196912,4.59
197001,8.34
197002,2.18
197003,1.22
197004,0.22
197005,0.01
197006,0.36
197007,0.00
197008,0.00
197009,0.00
197010,0.75
197011,6.41
197012,6.21
197101,1.27
197102,0.26
197103,2.68
197104,0.76
197105,0.25
197106,0.00
197107,0.00
197108,0.00
197109,0.11
197110,0.03
197111,0.99
197112,3.44
197201,1.09
197202,1.35
197203,0.19
197204,1.20
197205,0.00
197206,0.06
197207,0.00
197208,0.00
197209,0.30
197210,5.24
197211,5.15
197212,2.41
197301,8.32
197302,6.82
197303,2.93
197304,0.11
197305,0.07
197306,0.00
197307,0.00
197308,0.00
197309,0.04
197310,1.60
197311,7.94
197312,3.55
197401,3.21
197402,1.70
197403,4.22
197404,2.33
197405,0.00
197406,0.14
197407,0.23
197408,0.00
197409,0.00
197410,0.93
197411,0.50
197412,2.36
197501,2.60
197502,3.94
197503,5.91
197504,1.65
197505,0.02
197506,0.04
197507,0.13
197508,0.21
197509,0.00
197510,2.28
197511,0.26
197512,0.21
197601,0.37
197602,2.13
197603,1.22
197604,0.92
197605,0.00
197606,0.01
197607,0.00
197608,0.67
197609,0.30
197610,0.34
197611,1.37
197612,2.70
197701,2.22
197702,1.04
197703,2.01
197704,0.00
197705,0.41
197706,0.00
197707,0.35
197708,0.00
197709,0.47
197710,0.15
197711,2.20
197712,3.69
197801,8.89
197802,4.92
197803,4.90
197804,4.50
197805,0.02
197806,0.00
197807,0.00
197808,0.00
197809,0.26
197810,0.00
197811,1.67
197812,0.64
197901,6.62
197902,5.87
197903,2.74
197904,0.70
197905,0.13
197906,0.00
197907,0.09
197908,0.00
197909,0.00
197910,2.20
197911,1.94
197912,4.31
198001,4.85
198002,7.62
198003,2.65
198004,0.91
198005,0.24
198006,0.03
198007,0.10
198008,0.00
198009,0.00
198010,0.10
198011,0.12
198012,1.73
198101,5.92
198102,2.20
198103,3.60
198104,0.24
198105,0.07
198106,0.00
198107,0.00
198108,0.00
198109,0.28
198110,2.35
198111,4.90
198112,3.92
198201,8.81
198202,2.82
198203,7.63
198204,3.25
198205,0.00
198206,0.06
198207,0.00
198208,0.00
198209,0.96
198210,1.96
198211,5.35
198212,3.99
198301,6.83
198302,6.63
198303,8.50
198304,3.11
198305,0.32
198306,0.00
198307,0.01
198308,0.00
198309,0.57
198310,0.10
198311,6.03
198312,6.24
198401,0.46
198402,1.47
198403,1.36
198404,0.68
198405,0.00
198406,0.03
198407,0.00
198408,0.11
198409,0.05
198410,1.96
198411,6.11
198412,1.89
198501,0.74
198502,2.35
198503,3.31
198504,0.12
198505,0.05
198506,0.29
198507,0.03
198508,0.02
198509,0.18
198510,0.69
198511,3.19
198512,1.61
198601,4.04
198602,8.10
198603,5.84
198604,0.39
198605,0.15
198606,0.00
198607,0.01
198608,0.00
198609,0.47
198610,0.02
198611,0.06
198612,1.66
198701,2.80
198702,3.52
198703,1.98
198704,0.16
198705,0.06
198706,0.00
198707,0.00
198708,0.00
198709,0.00
198710,0.93
198711,1.64
198712,4.52
198801,3.92
198802,0.38
198803,0.05
198804,2.02
198805,0.29
198806,0.60
198807,0.00
198808,0.00
198809,0.03
198810,0.42
198811,2.32
198812,3.65
198901,1.25
198902,1.28
198903,4.01
198904,0.78
198905,0.04
198906,0.01
198907,0.00
198908,0.00
198909,1.24
198910,1.40
198911,1.34
198912,0.01
199001,3.06
199002,2.28
199003,0.79
199004,0.20
199005,1.55
199006,0.00
199007,0.01
199008,0.00
199009,0.20
199010,0.19
199011,0.28
199012,1.79
199101,0.25
199102,3.76
199103,6.08
199104,0.61
199105,0.21
199106,0.11
199107,0.00
199108,0.27
199109,0.04
199110,1.73
199111,0.23
199112,2.70
199201,2.04
199202,6.44
199203,4.12
199204,0.25
199205,0.00
199206,0.39
199207,0.00
199208,0.14
199209,0.00
199210,1.13
199211,0.15
199212,6.04
199301,11.26
199302,4.69
199303,2.34
199304,0.41
199305,0.55
199306,0.16
199307,0.00
199308,0.00
199309,0.00
199310,0.45
199311,1.47
199312,2.19
199401,2.50
199402,5.27
199403,0.24
199404,1.12
199405,1.52
199406,0.03
199407,0.00
199408,0.00
199409,0.10
199410,0.33
199411,5.74
199412,2.50
199501,8.89
199502,0.38
199503,8.76
199504,1.41
199505,0.93
199506,0.60
199507,0.00
199508,0.00
199509,0.00
199510,0.03
199511,0.02
199512,6.42
199601,6.92
199602,6.04
199603,2.89
199604,1.40
199605,1.24
