Date,Value
194801,4.49
194802,5.26
194803,3.68
194804,3.76
194805,4.77
194806,2.10
194807,1.54
194808,1.88
194809,3.85
194810,2.33
194811,6.07
194812,6.14
194901,0.78
194902,5.89
194903,3.54
194904,1.19
194905,1.30
194906,0.94
194907,1.04
194908,0.45
194909,1.43
194910,3.85
194911,6.78
194912,5.30
195001,8.92
195002,5.74
195003,8.40
195004,2.92
195005,0.78
195006,0.60
195007,1.00
195008,2.17
195009,2.30
195010,7.22
195011,7.98
195012,7.14
195101,6.80
195102,8.76
195103,3.76
195104,0.65
195105,1.62
195106,0.13
195107,0.31
195108,1.02
195109,2.03
195110,5.87
195111,5.44
195112,3.92
195201,4.89
195202,2.46
195203,3.53
195204,2.04
195205,0.98
195206,1.04
195207,0.41
195208,0.70
195209,0.32
195210,1.29
195211,1.11
195212,5.02
195301,12.91
195302,3.71
195303,3.73
195304,2.10
195305,2.51
195306,1.85
195307,0.67
195308,1.11
195309,3.28
195310,4.43
195311,7.22
195312,5.92
195401,8.36
195402,4.39
195403,2.07
195404,2.65
195405,1.89
195406,2.44
195407,1.46
195408,1.57
195409,1.68
195410,1.91
195411,7.68
195412,5.20
195501,3.35
195502,4.30
195503,3.26
195504,3.65
195505,1.95
195506,1.28
195507,2.10
195508,0.17
195509,1.53
195510,6.60
195511,8.96
195512,9.50
195601,8.67
195602,2.17
195603,4.95
195604,0.33
195605,0.83
195606,2.47
195607,0.33
195608,0.76
195609,2.43
195610,6.71
195611,1.59
195612,5.63
195701,2.41
195702,5.58
195703,6.28
195704,2.24
195705,1.17
195706,1.19
195707,1.10
195708,1.64
195709,0.76
195710,3.79
195711,3.00
195712,5.52
195801,8.72
195802,5.37
195803,2.26
195804,3.51
195805,0.95
195806,0.90
195807,0.00
195808,0.31
195809,1.43
195810,3.99
195811,8.07
195812,7.15
195901,7.98
195902,3.64
195903,4.13
195904,3.59
195905,1.60
195906,1.82
195907,0.93
195908,0.60
195909,4.59
195910,2.67
195911,8.14
195912,6.84
196001,5.47
196002,4.01
196003,4.09
196004,2.88
196005,3.05
196006,0.70
196007,0.00
196008,1.92
196009,1.17
196010,4.22
196011,8.04
196012,3.76
196101,7.71
196102,9.11
196103,4.47
196104,2.35
196105,3.07
196106,0.54
196107,0.75
196108,0.82
196109,0.47
196110,3.27
196111,4.67
196112,5.32
196201,2.43
196202,2.29
196203,2.87
196204,2.03
196205,1.83
196206,0.68
196207,0.69
196208,1.96
196209,2.31
196210,4.17
196211,9.34
196212,5.22
196301,2.26
196302,4.36
196303,3.44
196304,3.06
196305,0.90
196306,1.68
196307,1.18
196308,0.73
196309,0.59
196310,5.07
196311,9.69
196312,5.79
196401,9.77
196402,1.67
196403,2.96
196404,1.56
196405,0.91
196406,3.82
196407,1.00
196408,1.23
196409,2.28
196410,1.00
196411,9.64
196412,5.54
196501,5.28
196502,3.88
196503,0.57
196504,3.73
196505,1.63
196506,0.59
196507,0.38
196508,2.18
196509,0.48
196510,2.77
196511,4.99
196512,7.11
196601,5.43
196602,2.31
196603,4.38
196604,1.99
196605,1.35
196606,1.15
196607,1.35
196608,0.42
196609,1.78
196610,2.92
196611,6.85
196612,8.31
196701,9.32
196702,2.72
196703,3.70
196704,2.50
196705,0.38
196706,2.04
196707,0.01
196708,0.02
196709,0.94
196710,6.66
196711,2.56
196712,4.72
196801,6.91
196802,6.08
196803,5.09
196804,1.33
196805,1.68
196806,3.02
196807,0.83
196808,4.58
196809,1.93
196810,4.32
196811,5.85
196812,8.55
196901,5.70
196902,3.16
196903,2.20
196904,3.44
196905,2.93
196906,0.91
196907,0.28
196908,0.45
196909,5.57
196910,1.20
196911,2.22
196912,5.68
197001,8.22
197002,2.26
197003,3.16
197004,3.32
197005,1.17
197006,0.43
197007,0.48
197008,0.32
197009,2.23
197010,2.52
197011,5.04
197012,8.29
197101,5.33
197102,4.37
197103,7.11
197104,2.39
197105,1.43
197106,2.28
197107,0.68
197108,0.57
197109,3.52
197110,3.57
197111,5.31
197112,6.68
197201,7.25
197202,8.11
197203,6.75
197204,4.12
197205,0.69
197206,1.82
197207,1.34
197208,1.13
197209,4.11
197210,0.72
197211,3.38
197212,8.98
197301,4.30
197302,1.89
197303,1.62
197304,1.36
197305,1.60
197306,2.50
197307,0.08
197308,0.28
197309,1.81
197310,3.32
197311,7.98
197312,8.32
197401,7.78
197402,4.02
197403,5.83
197404,2.39
197405,1.37
197406,1.25
197407,1.51
197408,0.01
197409,0.21
197410,2.00
197411,5.06
197412,6.45
197501,6.02
197502,5.80
197503,2.87
197504,2.49
197505,1.13
197506,0.84
197507,0.27
197508,4.59
197509,0.00
197510,7.76
197511,5.07
197512,7.67
197601,5.54
197602,4.73
197603,2.72
197604,1.67
197605,1.61
197606,0.63
197607,1.17
197608,2.71
197609,1.25
197610,2.07
197611,0.74
197612,1.86
197701,1.78
197702,1.58
197703,3.80
197704,0.56
197705,3.70
197706,0.54
197707,0.42
197708,3.58
197709,2.54
197710,2.60
197711,5.27
197712,6.47
197801,4.30
197802,3.59
197803,2.44
197804,4.19
197805,1.79
197806,0.75
197807,1.40
197808,1.19
197809,5.96
197810,0.98
197811,6.05
197812,1.37
197901,2.25
197902,5.32
197903,1.56
197904,0.81
197905,0.88
197906,0.46
197907,0.73
197908,1.02
197909,2.07
197910,3.38
197911,1.94
197912,11.85
198001,4.09
198002,5.04
198003,2.11
198004,3.23
198005,0.98
198006,1.77
198007,0.46
198008,0.64
198009,1.43
198010,1.32
198011,7.15
198012,7.40
198101,2.43
198102,4.46
198103,2.23
198104,1.59
198105,1.34
198106,2.32
198107,1.39
198108,0.25
198109,3.42
198110,6.40
198111,4.07
198112,5.56
198201,5.36
198202,7.57
198203,3.74
198204,2.07
198205,0.63
198206,1.03
198207,0.59
198208,0.62
198209,1.49
198210,4.07
198211,5.31
198212,6.86
198301,7.07
198302,4.56
198303,3.81
198304,1.06
198305,2.10
198306,1.86
198307,2.40
198308,1.90
198309,1.85
198310,1.34
198311,7.97
198312,5.02
198401,3.63
198402,3.91
198403,3.91
198404,2.87
198405,3.37
198406,2.81
198407,0.17
198408,0.13
198409,1.01
198410,2.14
198411,8.09
198412,4.95
198501,0.58
198502,2.63
198503,2.56
198504,1.31
198505,0.86
198506,2.80
198507,0.10
198508,0.55
198509,1.98
198510,5.74
198511,4.27
198512,1.78
198601,8.55
198602,4.42
198603,2.67
198604,1.39
198605,1.72
198606,0.68
198607,1.10
198608,0.10
198609,1.90
198610,4.21
198611,7.98
198612,3.67
198701,5.98
198702,2.05
198703,5.53
198704,2.61
198705,2.38
198706,0.17
198707,0.39
198708,0.29
198709,0.91
198710,0.31
198711,3.22
198712,6.11
198801,4.07
198802,0.71
198803,3.75
198804,3.20
198805,3.02
198806,1.57
198807,0.50
198808,0.28
198809,1.75
198810,2.24
198811,8.43
198812,3.48
198901,2.77
198902,3.43
198903,5.80
198904,2.80
198905,2.78
198906,1.14
198907,0.64
198908,0.89
198909,0.54
198910,2.98
198911,6.12
198912,4.79
199001,9.42
199002,3.72
199003,2.58
199004,2.54
199005,1.98
199006,3.05
199007,0.58
199008,0.71
199009,0.06
199010,5.80
199011,10.70
199012,3.63
199101,4.46
199102,4.69
199103,4.67
199104,6.54
199105,1.39
199106,1.29
199107,0.28
199108,2.17
199109,0.00
199110,1.31
199111,5.33
199112,3.31
199201,7.83
199202,3.09
199203,1.68
199204,4.12
199205,0.12
199206,1.14
199207,0.89
199208,0.66
199209,1.15
199210,2.45
199211,5.57
199212,4.09
199301,4.09
199302,0.35
199303,4.80
199304,4.55
199305,2.87
199306,2.49
199307,1.27
199308,0.16
199309,0.03
199310,1.54
199311,2.20
199312,4.48
199401,2.51
199402,4.47
199403,3.17
199404,2.28
199405,1.44
199406,1.25
199407,0.28
199408,0.30
199409,1.69
199410,3.51
199411,5.80
199412,8.17
199501,4.47
199502,4.97
199503,4.07
199504,2.06
199505,0.81
199506,1.46
199507,1.34
199508,1.81
199509,0.91
199510,3.93
199511,10.40
199512,6.37
199601,7.33
199602,8.34
199603,2.07
199604,5.37
199605,2.08
199606,0.59
199607,0.77
199608,1.32
199609,1.85
199610,5.54
199611,5.23
199612,10.19
199701,7.02
199702,1.98
199703,8.15
199704,4.33
199705,1.87
199706,1.65
199707,1.20
199708,1.28
199709,3.42
199710,5.82
199711,3.93
199712,2.63
199801,7.15
199802,3.32
199803,3.96
199804,0.99
199805,1.98
199806,1.11
199807,0.41
199808,0.35
199809,0.72
199810,3.48
199811,11.62
199812,8.98
199901,6.85
199902,6.96
199903,3.65
199904,1.48
199905,2.12
199906,1.86
199907,1.18
199908,0.92
199909,0.17
199910,2.27
199911,9.60
199912,5.06
200001,3.77
200002,5.26
200003,2.83
200004,1.48
200005,3.27
200006,1.61
200007,0.23
200008,0.33
200009,1.12
200010,3.00
200011,3.28
200012,2.51
200101,2.70
200102,2.07
200103,2.73
200104,3.16
200105,1.39
200106,3.06
200107,1.04
200108,2.32
200109,0.83
200110,3.14
200111,9.26
200112,5.89
200201,5.99
200202,4.18
200203,2.83
200204,4.30
200205,1.11
200206,1.74
200207,0.64
200208,0.04
200209,0.42
200210,0.67
200211,3.51
200212,5.98
200301,8.39
200302,1.77
200303,6.33
200304,2.74
200305,1.17
200306,0.51
200307,0.06
200308,0.32
200309,0.89
200310,8.96
200311,6.78
200312,3.89
200401,6.36
200402,2.44
200403,2.14
200404,0.65
200405,2.51
200406,0.71
200407,0.16
200408,3.00
200409,2.80
200410,2.80
200411,3.16
200412,4.37
200501,4.44
200502,1.20
200503,3.71
200504,3.69
200505,3.32
200506,1.63
200507,1.04
200508,0.29
200509,0.76
200510,3.02
200511,5.53
200512,6.86
200601,11.65
200602,2.55
200603,2.18
200604,2.74
200605,1.65
200606,1.68
200607,0.06
200608,0.02
200609,1.43
200610,1.55
200611,15.64
200612,7.30
200701,6.23
200702,3.39
200703,4.43
200704,0.69
200705,1.47
200706,1.34
200707,1.44
200708,0.74
200709,3.16
200710,3.32
200711,3.71
200712,9.08
200801,4.27
200802,1.47
200803,3.66
200804,1.91
200805,0.89
200806,1.64
200807,0.48
200808,2.88
200809,0.78
200810,2.18
200811,6.52
200812,4.11
200901,5.40
200902,1.51
200903,4.16
200904,3.37
200905,3.61
200906,0.19
200907,0.06
200908,1.16
200909,1.76
200910,5.54
