Date,Value
189501,18.29
189502,5.26
189503,8.45
189504,4.64
189505,7.53
189506,0.17
189507,0.69
189508,0.17
189509,3.62
189510,0.00
189511,3.22
189512,11.43
189601,17.17
189602,7.95
189603,8.66
189604,13.04
189605,10.31
189606,0.45
189607,0.38
189608,1.04
189609,1.43
189610,4.04
189611,17.24
189612,16.93
189701,3.92
189702,17.68
189703,13.79
189704,3.00
189705,1.46
189706,2.07
189707,0.10
189708,0.30
189709,2.20
189710,4.48
189711,11.88
189712,12.78
189801,4.09
189802,13.17
189803,2.25
189804,3.48
189805,4.83
189806,1.97
189807,0.23
189808,0.44
189809,2.29
189810,4.74
189811,10.83
189812,6.04
189901,12.95
189902,11.64
189903,13.56
189904,3.10
189905,4.92
189906,1.11
189907,0.06
189908,1.33
189909,2.03
189910,9.19
189911,20.88
189912,14.18
190001,10.20
190002,13.55
190003,6.77
190004,6.25
190005,4.95
190006,2.84
190007,0.00
190008,0.50
190009,0.81
190010,13.04
190011,6.69
190012,10.29
190101,12.76
190102,15.51
190103,7.46
190104,6.51
190105,2.62
190106,0.31
190107,0.09
190108,0.47
190109,5.66
190110,3.88
190111,8.69
190112,11.27
190201,6.35
190202,32.79
190203,9.19
190204,10.33
190205,6.12
190206,1.16
190207,0.50
190208,0.38
190209,0.75
190210,4.29
190211,19.94
190212,19.07
190301,27.84
190302,6.36
190303,11.86
190304,2.73
190305,1.36
190306,1.15
190307,0.24
190308,0.71
190309,0.69
190310,3.60
190311,26.58
190312,7.91
190401,8.79
190402,31.67
190403,31.59
190404,7.47
190405,1.37
190406,1.12
190407,1.63
190408,0.00
190409,2.19
190410,6.88
190411,8.61
190412,18.28
190501,11.69
190502,2.96
190503,12.21
190504,1.92
190505,2.56
190506,0.58
190507,0.03
190508,0.02
190509,1.94
190510,3.26
190511,7.21
190512,9.56
190601,16.66
190602,13.29
190603,11.12
190604,3.94
190605,7.44
190606,4.71
190607,0.00
190608,0.00
190609,2.31
190610,2.53
190611,9.06
190612,14.16
190701,18.24
190702,16.90
190703,18.73
190704,6.27
190705,3.65
190706,2.89
190707,0.30
190708,2.26
190709,1.60
190710,2.63
190711,5.16
190712,23.78
190801,9.21
190802,19.60
190803,4.96
190804,2.77
190805,3.78
190806,1.33
190807,0.04
190808,0.11
190809,0.74
190810,8.85
190811,8.10
190812,7.39
190901,33.46
190902,18.30
190903,4.74
190904,0.60
190905,1.84
190906,0.92
190907,0.75
190908,0.04
190909,2.13
190910,9.49
190911,26.48
190912,10.16
191001,10.10
191002,11.10
191003,4.48
191004,2.12
191005,1.70
191006,0.64
191007,0.09
191008,0.00
191009,0.68
191010,2.48
191011,19.65
191012,8.54
191101,16.85
191102,5.66
191103,6.16
191104,6.70
191105,4.29
191106,0.53
191107,0.08
191108,0.00
191109,1.84
191110,2.40
191111,6.32
191112,9.61
191201,17.22
191202,12.64
191203,8.55
191204,11.67
191205,5.25
191206,3.49
191207,0.19
191208,0.96
191209,5.52
