Date,Value
189501,19.64
189502,6.57
189503,7.64
189504,2.89
189505,6.29
189506,0.09
189507,0.60
189508,0.12
189509,2.59
189510,0.06
189511,3.48
189512,8.75
189601,20.01
189602,4.19
189603,6.80
189604,14.31
189605,9.22
189606,0.42
189607,0.11
189608,0.88
189609,0.79
189610,3.10
189611,12.16
189612,15.01
189701,5.04
189702,13.86
189703,11.21
189704,2.32
189705,0.73
189706,1.64
189707,0.03
189708,0.19
189709,0.87
189710,3.75
189711,8.03
189712,7.71
189801,2.97
189802,15.72
189803,1.39
189804,2.62
189805,3.97
189806,2.41
189807,0.06
189808,0.14
189809,2.02
189810,2.11
189811,5.41
189812,4.39
189901,12.50
189902,5.41
189903,10.39
189904,1.69
189905,3.04
189906,1.15
189907,0.01
189908,0.44
189909,0.94
189910,7.64
189911,21.94
189912,12.90
190001,9.55
190002,8.29
190003,5.53
190004,5.78
190005,3.78
190006,1.84
190007,0.00
190008,0.41
190009,0.41
190010,9.77
190011,6.73
190012,7.52
190101,10.61
190102,11.09
190103,4.44
190104,6.11
190105,1.36
190106,0.08
190107,0.02
190108,0.25
190109,3.76
190110,2.99
190111,9.71
190112,7.73
190201,4.96
190202,32.91
190203,7.41
190204,8.02
190205,5.43
190206,0.38
190207,0.12
190208,0.13
190209,0.24
190210,6.25
190211,16.78
190212,13.20
190301,19.13
190302,5.51
190303,11.85
190304,1.60
190305,0.91
190306,0.39
190307,0.09
190308,0.13
190309,0.12
190310,2.66
190311,23.06
190312,7.55
190401,6.43
190402,29.30
190403,22.41
190404,6.19
190405,0.42
190406,0.67
190407,0.68
190408,0.02
190409,2.49
190410,5.89
190411,6.41
190412,14.03
190501,14.62
190502,3.64
190503,12.30
190504,2.51
190505,2.68
190506,0.37
190507,0.00
190508,0.00
190509,1.17
190510,1.35
190511,5.74
190512,6.55
190601,14.62
190602,9.81
190603,12.35
190604,3.22
190605,6.13
190606,3.74
190607,0.00
190608,0.00
190609,1.05
190610,0.79
190611,5.89
190612,13.49
190701,15.86
190702,14.78
190703,17.70
190704,5.20
190705,3.17
190706,2.00
190707,0.19
190708,1.07
190709,0.56
190710,1.91
190711,3.01
190712,18.99
190801,9.11
190802,9.72
190803,2.21
190804,1.44
190805,3.15
190806,0.76
190807,0.01
190808,0.01
190809,0.22
190810,5.94
190811,6.91
190812,7.17
190901,34.58
190902,19.55
190903,5.35
190904,0.10
190905,0.53
190906,0.21
190907,0.29
190908,0.00
190909,1.79
190910,6.46
190911,19.77
190912,8.82
191001,8.44
191002,11.04
191003,4.48
191004,2.14
191005,1.37
191006,0.32
191007,0.03
191008,0.00
191009,0.18
191010,1.11
191011,13.61
191012,5.59
191101,15.91
191102,4.63
191103,6.47
191104,4.78
191105,2.53
191106,0.09
191107,0.02
191108,0.00
191109,0.68
191110,1.98
191111,3.77
191112,8.02
191201,12.77
191202,8.58
191203,7.27
191204,8.38
191205,3.87
191206,1.45
191207,0.04
191208,0.32
191209,4.12
191210,4.07
191211,11.10
191212,8.55
191301,13.47
191302,0.82
191303,4.30
191304,4.87
191305,2.73
191306,1.74
191307,0.70
191308,0.06
191309,0.58
191310,0.85
191311,11.04
191312,16.07
191401,25.16
191402,6.82
191403,3.96
191404,6.56
191405,1.33
191406,2.54
191407,0.17
191408,0.08
191409,1.89
191410,6.15
191411,4.22
191412,8.68
191501,15.74
191502,24.46
191503,5.54
191504,3.38
191505,5.32
191506,0.07
191507,0.24
191508,0.00
191509,0.08
191510,1.03
191511,8.95
191512,12.83
191601,19.87
191602,9.59
191603,7.63
191604,2.37
191605,1.70
191606,2.02
191607,0.54
191608,0.18
191609,0.44
191610,0.78
191611,6.55
191612,8.63
191701,6.88
191702,10.08
191703,4.61
191704,6.54
191705,1.41
191706,0.03
191707,0.00
191708,0.08
191709,0.60
191710,0.00
191711,8.86
191712,5.22
191801,3.51
191802,9.92
191803,7.16
191804,2.64
191805,0.55
191806,0.09
191807,0.05
191808,0.57
191809,2.26
191810,2.05
191811,7.44
191812,5.69
191901,15.79
191902,16.95
191903,8.61
191904,6.01
191905,1.59
191906,0.12
191907,0.00
191908,0.01
191909,1.99
191910,0.73
191911,3.87
191912,10.16
192001,1.46
192002,2.32
192003,7.57
192004,6.24
192005,0.43
192006,2.40
192007,0.37
192008,0.87
192009,2.59
192010,7.14
192011,21.91
192012,20.66
192101,14.04
192102,8.80
192103,5.83
192104,1.36
192105,3.40
192106,0.40
192107,0.00
192108,0.03
192109,0.89
192110,3.05
192111,8.17
192112,7.41
192201,3.29
192202,13.53
192203,8.62
192204,1.95
192205,1.38
192206,0.61
192207,0.00
192208,0.10
192209,0.56
192210,5.50
192211,3.89
192212,16.52
192301,6.07
192302,1.88
192303,0.74
192304,7.76
192305,1.09
192306,1.60
192307,0.09
192308,0.17
192309,2.64
192310,3.39
192311,3.05
192312,5.66
192401,4.04
192402,5.42
192403,2.11
192404,0.44
192405,0.14
192406,0.25
192407,0.00
192408,1.32
192409,0.51
192410,12.56
192411,9.93
192412,9.74
192501,5.54
192502,19.75
192503,3.62
192504,12.23
192505,4.00
192506,0.72
192507,0.04
192508,0.53
192509,3.39
192510,0.70
192511,8.04
192512,5.00
192601,8.71
192602,14.05
192603,0.08
192604,3.33
192605,2.29
192606,0.00
192607,0.04
192608,0.42
192609,0.49
192610,6.56
192611,25.64
192612,9.37
192701,12.76
192702,18.52
192703,5.57
192704,5.36
192705,1.92
192706,1.36
192707,0.01
192708,0.00
192709,0.55
192710,2.30
192711,13.56
192712,6.02
192801,7.15
192802,5.19
192803,11.37
192804,8.26
192805,0.18
192806,0.46
192807,0.03
192808,0.02
192809,0.56
192810,2.19
192811,8.88
192812,10.21
192901,4.57
192902,4.06
192903,3.47
192904,4.38
192905,0.33
192906,2.57
192907,0.00
192908,0.00
192909,0.00
192910,0.44
192911,0.01
192912,16.30
193001,9.34
193002,9.50
193003,3.36
193004,5.11
193005,1.37
193006,0.14
193007,0.02
193008,0.02
193009,1.59
193010,1.29
193011,5.89
193012,4.03
193101,8.54
193102,3.39
193103,6.74
193104,1.70
193105,0.89
193106,1.89
193107,0.00
193108,0.00
193109,0.21
193110,5.46
193111,8.07
193112,17.51
193201,8.24
193202,2.09
193203,5.20
193204,6.16
193205,3.62
193206,0.13
193207,0.32
193208,0.02
193209,0.00
193210,1.06
193211,8.12
193212,8.85
193301,12.48
193302,3.74
193303,13.74
193304,1.01
193305,6.88
193306,0.53
193307,0.01
193308,0.02
193309,0.79
193310,3.29
193311,0.38
193312,17.65
193401,6.66
193402,6.31
193403,4.78
193404,2.63
193405,3.33
193406,1.10
193407,0.00
193408,0.04
193409,1.20
193410,8.61
193411,12.51
193412,7.30
193501,11.47
193502,5.38
193503,7.34
193504,8.22
193505,0.23
193506,0.07
193507,0.38
193508,0.18
193509,1.26
193510,4.76
193511,3.61
193512,10.71
