Date,Value
189501,17.64
189502,3.41
189503,3.80
189504,1.94
189505,1.28
189506,0.00
189507,0.08
189508,0.02
189509,0.96
189510,0.31
189511,3.06
189512,3.84
189601,16.73
189602,0.24
189603,4.59
189604,7.53
189605,1.34
189606,0.00
189607,0.02
189608,0.71
189609,0.57
189610,1.94
189611,7.82
189612,6.84
189701,5.15
189702,8.49
189703,7.81
189704,0.51
189705,0.31
189706,0.73
189707,0.00
189708,0.03
189709,0.33
189710,3.31
189711,2.28
189712,3.51
189801,1.96
189802,7.00
189803,0.47
189804,0.40
189805,2.77
189806,0.37
189807,0.00
189808,0.04
189809,0.81
189810,1.82
189811,1.67
189812,1.99
189901,11.53
189902,0.54
189903,13.52
189904,0.87
189905,1.95
189906,0.18
189907,0.00
189908,0.11
189909,0.56
189910,6.47
189911,8.90
189912,6.02
190001,6.36
190002,1.76
190003,4.38
190004,3.06
190005,1.15
190006,0.15
190007,0.01
190008,0.03
190009,0.11
190010,4.14
190011,7.90
190012,3.67
190101,7.92
190102,8.75
190103,1.20
190104,4.24
190105,1.18
190106,0.00
190107,0.00
190108,0.00
190109,0.95
190110,1.47
190111,6.16
190112,2.26
190201,2.59
190202,19.77
190203,5.36
190204,3.51
190205,1.56
190206,0.00
190207,0.00
190208,0.03
190209,0.00
190210,5.34
190211,6.22
190212,4.51
190301,7.76
190302,3.18
190303,9.84
190304,0.51
190305,0.01
190306,0.01
190307,0.00
190308,0.00
190309,0.00
190310,1.00
190311,9.85
190312,3.39
190401,1.83
190402,14.62
190403,16.37
190404,2.39
190405,0.16
190406,0.02
190407,0.02
190408,0.24
190409,1.42
190410,5.41
190411,3.14
190412,4.68
190501,8.07
190502,5.26
190503,7.14
190504,1.51
190505,3.07
190506,0.01
190507,0.00
190508,0.00
190509,0.04
190510,0.02
190511,2.56
190512,2.72
190601,12.51
190602,7.88
190603,10.63
190604,0.92
190605,4.19
190606,1.08
190607,0.00
190608,0.03
190609,0.17
190610,0.00
190611,2.23
190612,9.73
190701,9.32
190702,5.56
190703,15.38
190704,0.99
190705,0.27
190706,1.11
190707,0.00
190708,0.00
190709,0.17
190710,1.34
190711,0.24
190712,8.76
190801,6.78
190802,6.17
190803,1.65
190804,0.35
190805,1.08
190806,0.16
190807,0.01
190808,0.00
190809,0.05
190810,1.16
190811,3.18
190812,4.37
190901,24.81
190902,12.24
190903,4.36
190904,0.00
190905,0.00
190906,0.05
190907,0.00
190908,0.00
190909,1.18
190910,2.15
190911,3.86
190912,9.98
191001,5.69
191002,3.80
191003,5.12
191004,0.79
191005,0.06
191006,0.03
191007,0.00
191008,0.00
191009,0.32
191010,0.90
191011,1.23
191012,2.25
191101,19.02
191102,4.39
191103,7.21
191104,3.49
191105,0.67
191106,0.07
191107,0.00
191108,0.00
191109,0.02
191110,0.43
191111,1.27
191112,3.03
191201,4.86
191202,1.17
191203,5.61
191204,2.36
191205,2.38
191206,1.18
191207,0.00
191208,0.00
191209,1.40
191210,0.99
191211,5.75
191212,2.09
191301,7.95
191302,0.76
191303,2.86
191304,1.28
191305,1.03
191306,0.09
191307,0.07
191308,0.03
191309,0.00
191310,0.07
191311,9.30
191312,13.89
191401,19.24
191402,7.16
191403,1.44
191404,1.88
191405,0.64
191406,0.27
191407,0.00
191408,0.00
191409,0.07
191410,2.01
191411,0.81
191412,9.03
191501,12.20
191502,15.25
191503,4.42
191504,0.82
191505,4.94
191506,0.00
191507,0.02
191508,0.02
191509,0.00
191510,0.17
191511,1.34
191512,9.97
191601,21.90
191602,4.97
191603,2.53
191604,0.07
191605,0.22
191606,0.21
191607,0.08
191608,0.84
191609,0.95
191610,0.81
191611,2.40
191612,8.16
191701,3.06
191702,8.34
191703,1.72
191704,1.29
191705,0.26
191706,0.00
191707,0.00
191708,0.00
191709,0.23
191710,0.01
191711,1.11
191712,2.84
191801,1.76
191802,7.39
191803,4.17
191804,0.96
191805,0.02
191806,0.07
191807,0.01
191808,0.00
191809,1.40
191810,0.75
191811,5.85
191812,3.24
191901,4.90
191902,14.00
191903,4.15
191904,0.36
191905,0.02
191906,0.00
191907,0.00
191908,0.00
191909,0.68
191910,0.45
191911,0.58
191912,6.89
192001,0.63
192002,1.42
192003,4.55
192004,3.73
192005,0.00
192006,0.54
192007,0.05
192008,0.12
192009,0.15
192010,3.00
192011,7.34
192012,10.34
192101,10.59
192102,1.89
192103,2.64
192104,0.79
192105,1.01
192106,0.01
192107,0.00
192108,0.01
192109,0.25
192110,0.94
192111,2.61
192112,10.10
192201,3.26
192202,7.80
192203,3.71
192204,0.70
192205,0.67
192206,0.25
192207,0.00
192208,0.00
192209,0.00
192210,3.71
192211,5.73
192212,13.06
192301,4.38
192302,1.26
192303,0.17
192304,5.75
192305,0.10
192306,0.25
192307,0.00
192308,0.25
192309,1.03
192310,0.55
192311,0.76
192312,2.31
192401,4.61
192402,4.57
192403,1.86
192404,0.40
192405,0.12
192406,0.00
192407,0.00
192408,0.07
192409,0.00
192410,4.71
192411,3.19
192412,8.62
192501,2.23
192502,13.92
192503,3.65
192504,2.82
192505,4.69
192506,0.03
192507,0.07
192508,0.14
192509,0.80
192510,0.43
192511,3.76
192512,1.73
192601,8.59
192602,9.04
192603,0.30
192604,7.72
192605,0.39
192606,0.00
192607,0.00
192608,0.14
192609,0.00
192610,2.58
192611,14.05
192612,2.64
192701,6.13
192702,11.73
192703,3.08
192704,3.73
192705,0.37
192706,0.55
192707,0.02
192708,0.02
192709,0.00
192710,2.31
192711,5.86
192712,5.07
192801,4.00
192802,3.53
192803,7.61
192804,2.35
192805,0.29
192806,0.00
192807,0.00
192808,0.00
192809,0.01
192810,0.23
192811,5.46
192812,6.72
192901,1.53
192902,3.07
192903,2.44
192904,1.93
192905,0.04
192906,1.24
192907,0.00
192908,0.00
192909,0.00
192910,0.04
192911,0.00
192912,9.91
193001,6.71
193002,4.56
193003,4.25
193004,1.87
193005,0.41
193006,0.00
193007,0.00
193008,0.00
193009,0.49
193010,1.09
193011,2.46
193012,1.02
193101,8.27
193102,1.74
193103,2.75
193104,0.59
193105,1.18
193106,0.85
193107,0.00
193108,0.00
193109,0.00
193110,1.79
193111,2.97
193112,14.30
193201,3.89
193202,2.82
193203,1.37
193204,1.47
193205,1.83
193206,0.02
193207,0.00
193208,0.00
193209,0.00
193210,0.02
193211,1.42
193212,4.82
193301,8.65
193302,1.51
193303,4.70
193304,0.11
193305,1.93
193306,0.00
193307,0.01
193308,0.00
193309,0.08
193310,3.46
193311,0.00
193312,8.65
193401,1.52
193402,6.52
193403,0.52
193404,0.78
193405,1.17
193406,0.87
193407,0.00
193408,0.01
193409,0.19
193410,2.00
193411,6.15
193412,4.35
193501,9.56
193502,3.15
193503,5.94
193504,5.80
193505,0.02
193506,0.00
193507,0.00
193508,0.56
193509,0.17
193510,1.23
193511,1.99
193512,4.14
193601,9.56
193602,13.29
193603,1.70
193604,2.11
193605,0.66
193606,0.96
193607,0.03
193608,0.03
193609,0.00
193610,0.42
193611,0.02
193612,4.35
193701,6.95
193702,9.75
193703,8.55
193704,1.45
193705,0.16
193706,1.15
193707,0.02
193708,0.00
193709,0.01
193710,1.44
193711,6.65
193712,8.25
193801,6.37
193802,13.67
193803,10.73
193804,3.00
193805,0.02
193806,0.00
193807,0.01
193808,0.01
193809,0.49
193810,1.87
193811,2.17
