Date,Value
189501,24.72
189502,6.15
189503,6.54
189504,2.05
189505,2.74
189506,0.02
189507,0.25
189508,0.03
189509,2.35
189510,0.13
189511,3.67
189512,6.64
189601,21.60
189602,1.30
189603,5.66
189604,10.83
189605,4.70
189606,0.07
189607,0.04
189608,0.32
189609,0.59
189610,1.86
189611,9.72
189612,13.27
189701,5.72
189702,12.58
189703,11.49
189704,1.40
189705,0.33
189706,1.89
189707,0.00
189708,0.08
189709,0.42
189710,3.48
189711,4.26
189712,5.44
189801,1.96
189802,12.17
189803,0.82
189804,1.34
189805,3.54
189806,0.80
189807,0.00
189808,0.00
189809,1.64
189810,1.65
189811,2.91
189812,2.90
189901,14.81
189902,0.59
189903,12.75
189904,1.11
189905,2.67
189906,0.37
189907,0.00
189908,0.07
189909,1.15
189910,5.89
189911,13.73
189912,10.11
190001,7.82
190002,4.12
190003,5.99
190004,4.26
190005,1.78
190006,0.73
190007,0.00
190008,0.07
190009,0.30
190010,7.24
190011,7.57
190012,6.01
190101,12.03
190102,7.69
190103,2.13
190104,4.85
190105,1.07
190106,0.00
190107,0.00
190108,0.02
190109,2.10
190110,2.35
190111,9.14
190112,3.78
190201,3.43
190202,24.11
190203,6.45
190204,7.01
190205,2.59
190206,0.03
190207,0.00
190208,0.02
190209,0.00
190210,6.66
190211,13.49
190212,8.83
190301,11.70
190302,3.83
190303,10.78
190304,0.46
190305,0.18
190306,0.03
190307,0.00
190308,0.00
190309,0.00
190310,1.86
190311,18.50
190312,6.84
190401,3.89
190402,24.25
190403,19.98
190404,5.16
190405,0.22
190406,0.20
190407,0.19
190408,0.03
190409,2.98
190410,7.08
190411,4.53
190412,10.19
190501,12.74
190502,4.33
190503,11.79
190504,2.21
190505,3.31
190506,0.18
190507,0.00
190508,0.00
190509,0.15
190510,0.47
190511,4.19
190512,4.31
190601,16.37
190602,8.72
190603,14.09
190604,2.66
190605,4.59
190606,1.42
190607,0.00
190608,0.00
190609,0.31
190610,0.10
190611,2.73
190612,13.47
190701,10.06
190702,9.47
190703,20.25
190704,2.60
190705,1.24
190706,1.63
190707,0.00
190708,0.04
190709,0.12
190710,1.38
190711,0.71
190712,14.17
190801,8.92
190802,7.60
190803,2.09
190804,0.90
190805,2.20
190806,0.16
190807,0.00
190808,0.00
190809,0.30
190810,2.18
190811,5.12
190812,5.97
190901,35.39
190902,16.16
190903,6.00
190904,0.01
190905,0.19
190906,0.19
190907,0.03
190908,0.00
190909,1.58
190910,3.64
190911,9.45
190912,8.00
191001,8.75
191002,6.93
191003,5.46
191004,1.95
191005,0.51
191006,0.24
191007,0.00
191008,0.00
191009,0.11
191010,1.26
191011,4.96
191012,3.01
191101,18.56
191102,5.52
191103,8.12
191104,3.53
191105,1.35
191106,0.52
191107,0.00
191108,0.00
191109,0.27
191110,1.70
191111,1.41
191112,5.22
191201,6.15
191202,2.55
191203,8.05
191204,5.08
191205,2.23
191206,0.84
191207,0.00
191208,0.00
191209,3.02
191210,2.64
191211,8.82
191212,5.76
191301,10.86
191302,0.61
191303,3.69
191304,3.09
191305,1.77
191306,0.37
191307,0.12
191308,0.03
191309,0.13
191310,0.26
191311,11.67
191312,17.92
191401,23.79
191402,8.83
191403,3.17
191404,3.86
191405,0.95
191406,1.30
191407,0.00
191408,0.00
191409,0.21
191410,3.45
191411,1.98
191412,11.17
191501,17.50
191502,22.78
191503,6.10
191504,1.38
191505,4.98
191506,0.00
191507,0.02
191508,0.00
191509,0.00
191510,0.40
191511,4.74
191512,12.10
191601,19.95
191602,5.08
191603,4.56
191604,0.56
191605,0.69
191606,1.00
191607,0.08
191608,0.44
191609,0.30
191610,0.75
191611,4.34
191612,9.10
191701,4.97
191702,10.53
191703,2.61
191704,3.29
191705,0.70
191706,0.00
191707,0.00
191708,0.01
191709,0.61
191710,0.00
191711,4.03
191712,4.97
191801,2.61
191802,9.78
191803,6.46
191804,2.01
191805,0.10
191806,0.06
191807,0.01
191808,0.05
191809,2.70
191810,1.20
191811,5.95
191812,4.29
191901,11.12
191902,14.51
191903,6.61
191904,2.36
191905,0.42
191906,0.01
191907,0.00
191908,0.00
191909,1.40
191910,0.71
191911,1.23
191912,8.76
192001,0.74
192002,1.96
192003,7.08
192004,5.45
192005,0.06
192006,0.78
192007,0.17
192008,0.23
192009,0.63
192010,5.36
192011,15.76
192012,17.77
192101,15.11
192102,4.32
192103,3.77
192104,0.89
192105,1.74
192106,0.09
192107,0.00
192108,0.00
192109,0.29
192110,1.64
192111,4.39
192112,9.60
192201,2.26
192202,12.46
192203,5.74
192204,0.95
192205,0.67
192206,0.80
192207,0.00
192208,0.03
192209,0.05
192210,5.73
192211,6.60
192212,14.32
192301,5.06
192302,1.58
192303,0.15
192304,8.46
192305,0.37
192306,0.62
192307,0.00
192308,0.11
192309,2.77
192310,1.49
192311,1.76
192312,3.11
192401,5.73
192402,5.27
192403,1.71
192404,0.45
192405,0.10
192406,0.04
192407,0.00
192408,0.14
192409,0.14
192410,8.94
192411,5.00
192412,13.05
192501,3.60
192502,17.19
192503,4.74
192504,6.99
192505,5.99
192506,0.26
192507,0.01
192508,0.15
192509,1.60
192510,0.25
192511,4.55
192512,3.76
192601,9.52
192602,11.02
192603,0.31
192604,8.70
192605,0.90
192606,0.00
192607,0.00
192608,0.13
192609,0.05
192610,2.86
192611,16.33
192612,7.40
192701,11.34
192702,16.88
192703,4.52
192704,3.82
192705,1.01
192706,0.70
192707,0.04
192708,0.00
192709,0.18
192710,2.34
192711,10.38
192712,8.25
192801,5.67
192802,6.05
192803,10.48
192804,4.20
192805,0.17
192806,0.02
192807,0.03
192808,0.00
192809,0.21
192810,0.99
192811,7.79
192812,7.93
192901,3.31
192902,4.48
192903,2.87
192904,2.47
192905,0.22
192906,1.94
192907,0.00
192908,0.00
192909,0.00
192910,0.15
192911,0.00
192912,17.97
193001,7.62
193002,7.21
193003,4.27
193004,3.69
193005,0.93
193006,0.00
193007,0.00
193008,0.00
193009,1.12
193010,0.75
193011,3.62
193012,2.68
193101,9.55
193102,2.79
193103,4.13
193104,1.04
193105,2.09
193106,1.46
193107,0.00
193108,0.00
193109,0.12
193110,3.44
193111,4.41
193112,18.67
193201,6.02
193202,1.32
193203,2.14
193204,3.72
193205,2.22
193206,0.05
193207,0.01
193208,0.00
193209,0.00
193210,0.18
193211,3.52
193212,7.18
193301,10.84
193302,2.20
193303,8.26
193304,0.44
193305,4.07
193306,0.02
193307,0.00
193308,0.00
193309,0.38
193310,3.47
193311,0.14
193312,14.46
193401,3.26
193402,6.89
193403,3.38
193404,2.34
193405,1.73
193406,0.89
193407,0.00
193408,0.00
193409,0.47
193410,4.89
193411,9.89
193412,5.29
193501,10.79
193502,4.31
193503,6.69
193504,7.44
193505,0.12
193506,0.00
193507,0.03
193508,0.05
193509,1.02
193510,2.74
193511,2.78
193512,6.89
193601,16.13
193602,14.70
193603,2.60
193604,3.37
193605,1.76
193606,2.39
193607,0.21
193608,0.00
193609,0.09
193610,0.37
193611,0.03
193612,4.36
193701,6.32
193702,13.29
193703,10.08
193704,3.69
193705,0.39
193706,2.33
193707,0.08
193708,0.00
193709,0.07
193710,3.57
193711,16.98
193712,13.37
193801,8.75
193802,17.38
193803,16.00
193804,3.76
193805,0.56
193806,0.00
193807,0.01
193808,0.00
193809,1.14
193810,4.43
193811,4.38
193812,6.60
193901,6.55
193902,4.05
193903,4.03
193904,0.10
193905,2.98
193906,0.12
193907,0.01
193908,0.00
193909,0.23
193910,0.72
193911,0.66
193912,12.17
194001,14.12
194002,19.22
194003,8.94
194004,1.83
194005,2.27
194006,0.30
194007,0.00
194008,0.04
194009,1.14
194010,3.68
194011,3.34
194012,19.98
194101,15.70
194102,13.65
194103,8.72
194104,8.12
194105,3.40
194106,1.27
194107,0.01
194108,0.03
194109,0.20
194110,2.33
194111,6.09
194112,19.62
194201,9.90
194202,11.50
194203,2.83
194204,8.80
194205,3.94
194206,0.06
194207,0.01
194208,0.00
194209,0.20
194210,1.35
194211,9.05
194212,10.37
194301,14.39
194302,3.28
194303,5.83
194304,4.30
194305,0.97
194306,0.52
194307,0.00
194308,0.01
194309,0.03
194310,2.93
194311,2.61
194312,3.58
194401,8.55
194402,5.99
194403,3.79
194404,3.86
194405,1.71
194406,1.24
194407,0.01
194408,0.01
194409,0.05
194410,3.32
194411,11.61
194412,8.25
194501,3.22
194502,7.09
194503,7.89
194504,1.14
194505,2.97
194506,0.07
194507,0.00
194508,0.02
194509,0.07
194510,7.67
194511,10.53
194512,19.26
194601,4.88
194602,5.33
194603,3.50
194604,0.32
194605,0.49
194606,0.04
194607,0.23
194608,0.00
194609,0.34
194610,1.12
194611,7.67
194612,4.44
194701,2.70
194702,5.16
194703,9.21
194704,1.44
194705,0.40
194706,1.86
194707,0.03
194708,0.06
194709,0.04
194710,9.01
194711,1.53
194712,2.76
194801,6.53
194802,4.59
194803,6.93
194804,11.23
194805,2.14
194806,0.71
194807,0.06
194808,0.02
194809,1.87
194810,1.79
194811,3.75
194812,8.46
194901,1.96
194902,7.67
194903,13.30
194904,0.24
194905,1.39
194906,0.10
194907,0.17
194908,0.06
194909,0.04
194910,0.61
194911,3.72
194912,3.50
195001,14.72
195002,6.22
195003,7.81
195004,2.50
195005,1.53
195006,0.50
195007,0.00
195008,0.01
195009,0.39
195010,10.72
195011,6.52
195012,10.43
195101,12.80
195102,8.13
195103,2.90
195104,2.23
195105,2.27
195106,0.01
195107,0.00
195108,0.07
195109,0.16
195110,4.12
195111,9.83
195112,18.89
195201,14.08
195202,7.54
195203,6.15
195204,1.60
195205,1.13
195206,1.96
195207,0.04
195208,0.01
195209,0.04
195210,0.39
195211,4.59
195212,22.24
195301,17.42
195302,0.79
195303,7.38
195304,5.02
195305,3.30
195306,1.43
195307,0.00
195308,0.67
195309,0.01
195310,2.49
195311,8.38
195312,3.61
195401,17.79
195402,6.36
195403,7.01
195404,5.95
195405,0.04
195406,1.70
195407,0.01
195408,0.97
195409,0.23
195410,1.57
195411,7.65
195412,10.04
195501,5.37
195502,2.64
195503,1.62
195504,6.24
195505,0.01
195506,0.04
195507,0.01
195508,0.00
195509,0.64
195510,1.14
195511,7.83
195512,26.12
195601,19.95
195602,12.44
195603,1.52
195604,1.49
195605,1.68
195606,0.33
195607,0.03
195608,0.00
195609,0.08
195610,5.95
195611,0.33
195612,1.77
195701,8.29
195702,9.42
195703,7.96
195704,3.29
195705,5.83
195706,0.05
195707,0.12
195708,0.00
195709,2.93
195710,8.94
195711,3.86
195712,9.04
195801,12.76
195802,26.27
195803,10.19
195804,7.81
195805,1.28
195806,1.59
195807,0.16
195808,0.04
195809,0.16
195810,0.45
195811,2.84
195812,3.78
195901,15.32
195902,10.44
195903,3.33
195904,0.75
195905,0.34
195906,0.01
195907,0.00
195908,0.12
195909,2.73
195910,0.36
195911,0.10
195912,3.25
196001,9.37
196002,14.76
196003,10.19
196004,2.28
196005,3.59
196006,0.00
196007,0.01
196008,0.00
196009,0.01
196010,1.31
196011,9.46
196012,9.56
196101,6.24
196102,8.10
196103,10.05
196104,3.11
196105,2.32
196106,0.11
196107,0.00
196108,0.31
196109,0.33
196110,1.69
196111,8.88
196112,5.44
196201,3.84
196202,12.68
196203,7.75
196204,1.35
196205,0.79
196206,0.02
196207,0.00
196208,0.84
196209,1.01
196210,11.71
196211,4.58
196212,6.40
196301,5.61
196302,6.10
196303,9.19
196304,10.98
196305,1.17
196306,0.08
196307,0.02
196308,0.02
196309,0.11
196310,5.26
196311,12.66
196312,2.42
196401,10.05
196402,0.58
196403,4.47
196404,0.57
196405,1.37
196406,0.57
196407,0.09
196408,0.02
196409,0.03
196410,2.70
196411,12.27
196412,26.70
196501,11.04
196502,1.85
196503,2.60
196504,6.78
196505,0.06
196506,0.11
196507,0.06
196508,0.74
196509,0.01
196510,0.59
196511,12.95
196512,6.83
196601,13.14
196602,6.10
196603,4.31
196604,2.09
196605,0.11
196606,0.05
196607,0.01
196608,0.34
196609,0.39
196610,0.03
196611,13.04
196612,9.52
196701,14.79
196702,0.86
196703,10.89
196704,7.05
196705,0.74
196706,1.18
196707,0.00
196708,0.02
196709,0.23
196710,3.30
196711,4.81
196712,7.39
196801,12.38
196802,7.39
196803,5.99
196804,0.55
196805,1.47
196806,0.05
196807,0.00
196808,0.98
196809,0.23
196810,2.72
196811,5.82
196812,18.78
196901,19.56
196902,13.13
196903,2.59
196904,3.64
196905,0.25
196906,0.29
196907,0.00
196908,0.00
196909,0.21
196910,3.37
196911,2.46
196912,17.40
197001,26.25
197002,4.92
197003,3.51
197004,1.13
197005,0.46
197006,0.48
197007,0.00
197008,0.00
197009,0.01
197010,3.60
197011,13.63
197012,15.78
197101,9.89
197102,1.13
197103,11.67
197104,2.72
197105,1.32
197106,0.21
197107,0.01
197108,0.43
197109,0.93
197110,0.89
197111,6.02
197112,9.20
197201,6.44
197202,7.17
197203,3.95
197204,3.48
197205,0.87
197206,0.45
197207,0.01
197208,0.35
197209,2.16
197210,3.51
197211,8.67
197212,9.60
197301,16.56
197302,9.67
197303,6.27
197304,0.70
197305,0.34
197306,0.01
197307,0.01
197308,0.07
197309,2.01
197310,5.23
197311,20.77
197312,10.49
197401,13.86
197402,7.03
197403,14.50
197404,4.89
197405,0.28
197406,0.24
197407,0.25
197408,0.19
197409,0.00
197410,2.71
197411,2.44
197412,7.60
197501,6.37
197502,15.96
197503,17.79
197504,3.16
197505,0.31
197506,0.11
197507,0.20
197508,0.48
197509,0.03
197510,6.66
197511,3.38
197512,4.00
197601,1.23
197602,9.49
197603,2.56
197604,4.12
197605,0.07
197606,0.09
197607,0.06
197608,0.98
197609,0.24
197610,0.40
197611,2.95
197612,0.90
197701,3.09
197702,3.92
197703,4.06
197704,0.54
197705,2.53
197706,0.06
197707,0.01
197708,0.49
197709,2.95
197710,1.99
197711,6.74
197712,13.04
197801,18.34
197802,10.27
197803,8.22
197804,7.12
197805,0.77
197806,0.05
197807,0.00
197808,0.27
197809,2.65
197810,0.00
197811,2.01
197812,1.40
197901,10.76
197902,13.92
197903,4.73
197904,2.78
197905,2.22
197906,0.01
197907,0.09
197908,0.04
197909,0.39
197910,7.35
197911,10.89
197912,7.89
198001,10.18
198002,13.50
198003,4.62
198004,4.11
198005,1.03
198006,0.31
198007,0.01
198008,0.00
198009,0.13
198010,1.93
198011,2.06
198012,8.32
198101,11.36
198102,5.72
198103,5.84
