Date,Value
189501,8.75
189502,1.80
189503,2.29
189504,1.42
189505,0.67
189506,0.00
189507,0.02
189508,0.01
189509,0.11
189510,1.09
189511,1.66
189512,1.36
189601,8.29
189602,0.18
189603,3.35
189604,2.87
189605,0.88
189606,0.00
189607,0.12
189608,0.19
189609,0.13
189610,1.98
189611,3.26
189612,3.29
189701,3.27
189702,5.17
189703,4.47
189704,0.36
189705,0.05
189706,0.12
189707,0.00
189708,0.04
189709,0.07
189710,1.20
189711,0.63
189712,1.54
189801,1.40
189802,2.01
189803,0.97
189804,0.27
189805,0.96
189806,0.01
189807,0.00
189808,0.00
189809,0.75
189810,0.28
189811,0.50
189812,1.36
189901,4.89
189902,0.30
189903,6.22
189904,1.30
189905,0.53
189906,0.31
189907,0.00
189908,0.03
189909,0.00
189910,3.45
189911,2.52
189912,3.26
190001,2.55
190002,0.34
190003,1.94
190004,1.71
190005,1.05
190006,0.01
190007,0.01
190008,0.00
190009,0.03
190010,1.63
190011,8.11
190012,1.18
190101,5.57
190102,5.90
190103,1.04
190104,1.97
190105,1.31
190106,0.00
190107,0.00
190108,0.00
190109,0.43
190110,0.54
190111,1.89
190112,0.44
190201,1.50
190202,7.76
190203,3.28
190204,1.89
190205,0.31
190206,0.00
190207,0.00
190208,0.00
190209,0.00
190210,0.96
190211,2.66
190212,1.37
190301,3.10
190302,1.64
190303,6.28
190304,1.02
190305,0.00
190306,0.00
190307,0.00
190308,0.00
190309,0.01
190310,0.06
190311,1.49
190312,0.60
190401,1.05
190402,5.10
190403,4.59
190404,2.09
190405,0.12
190406,0.00
190407,0.00
190408,0.07
190409,1.27
190410,1.99
190411,0.74
190412,2.39
190501,3.37
190502,5.42
190503,4.90
190504,0.92
190505,2.13
190506,0.00
190507,0.01
190508,0.00
190509,0.01
190510,0.00
190511,2.09
190512,0.96
190601,3.76
190602,5.18
190603,7.38
190604,1.03
190605,2.15
190606,0.10
190607,0.00
190608,0.00
190609,0.05
190610,0.00
190611,1.80
190612,8.52
190701,10.74
190702,1.73
190703,9.09
190704,0.16
190705,0.06
190706,0.13
190707,0.00
190708,0.00
190709,0.09
190710,3.57
190711,0.01
190712,4.20
190801,6.20
190802,3.55
190803,0.99
190804,0.59
190805,0.44
190806,0.01
190807,0.00
190808,0.00
190809,0.35
190810,0.39
190811,1.62
190812,1.67
190901,11.74
190902,5.30
190903,4.37
190904,0.00
190905,0.00
190906,0.03
190907,0.00
190908,0.00
190909,0.18
190910,0.69
190911,1.69
190912,7.85
191001,4.69
191002,0.87
191003,3.81
191004,0.31
191005,0.00
191006,0.00
191007,0.00
191008,0.00
191009,0.31
191010,0.44
191011,0.47
191012,0.74
191101,11.32
191102,3.56
191103,9.80
191104,0.84
191105,0.19
191106,0.02
191107,0.00
191108,0.00
191109,0.04
191110,0.26
191111,0.23
191112,1.94
191201,2.28
191202,0.09
191203,4.63
191204,4.65
191205,1.23
191206,0.03
191207,0.00
191208,0.00
191209,0.11
191210,0.13
191211,0.49
191212,0.43
191301,4.26
191302,1.15
191303,1.55
191304,0.25
191305,0.71
191306,0.19
191307,0.02
191308,0.16
191309,0.07
191310,0.00
191311,4.67
191312,3.20
191401,12.72
191402,4.54
191403,1.12
191404,0.96
191405,0.17
191406,0.16
191407,0.05
191408,0.00
191409,0.01
191410,0.68
191411,0.31
191412,6.14
191501,6.60
191502,8.94
191503,1.32
191504,1.94
191505,2.09
191506,0.00
191507,0.00
191508,0.01
191509,0.02
191510,0.00
191511,0.51
191512,4.73
191601,13.09
191602,3.11
191603,2.32
191604,0.42
191605,0.11
191606,0.00
191607,0.03
191608,0.03
191609,1.01
191610,1.77
191611,0.72
191612,5.66
191701,1.77
191702,5.45
191703,1.11
191704,0.43
191705,0.39
191706,0.00
191707,0.00
191708,0.00
191709,0.01
191710,0.00
191711,1.34
191712,0.41
191801,0.57
191802,6.69
191803,5.90
191804,0.13
191805,0.08
191806,0.00
191807,0.00
191808,0.01
191809,1.18
191810,0.58
191811,3.34
191812,2.68
191901,0.98
191902,5.41
191903,3.01
191904,0.07
191905,0.12
191906,0.00
191907,0.00
191908,0.00
191909,0.23
191910,0.08
191911,0.10
191912,4.76
192001,0.73
192002,2.19
192003,4.42
192004,0.95
192005,0.00
192006,0.13
192007,0.02
192008,0.01
192009,0.03
192010,1.43
192011,2.66
192012,3.72
192101,6.04
192102,1.56
192103,2.07
192104,0.65
192105,1.34
192106,0.00
192107,0.00
192108,0.00
192109,0.29
192110,0.30
192111,0.66
192112,9.98
192201,4.33
192202,6.01
192203,2.50
192204,0.43
192205,0.71
192206,0.07
192207,0.00
192208,0.00
192209,0.00
192210,0.73
192211,3.93
192212,5.71
192301,3.04
192302,1.20
192303,0.26
192304,3.24
192305,0.01
192306,0.20
192307,0.00
192308,0.00
192309,0.44
192310,0.27
192311,0.45
192312,0.84
192401,2.90
192402,0.63
192403,2.89
192404,0.62
192405,0.11
192406,0.00
192407,0.00
192408,0.00
192409,0.01
192410,1.19
192411,1.59
192412,2.65
192501,1.47
192502,3.49
192503,2.23
192504,2.01
192505,2.07
192506,0.10
192507,0.05
192508,0.02
192509,0.21
192510,0.36
192511,0.74
192512,2.11
192601,2.76
192602,5.37
192603,0.35
192604,3.34
192605,0.04
192606,0.01
192607,0.00
192608,0.00
192609,0.00
192610,0.63
192611,5.73
192612,1.36
192701,2.57
192702,7.09
192703,1.71
192704,1.40
192705,0.09
192706,0.13
192707,0.00
192708,0.00
192709,0.09
192710,1.56
192711,2.03
192712,2.97
192801,0.52
192802,3.01
192803,2.94
192804,0.77
192805,0.37
192806,0.00
192807,0.00
192808,0.00
192809,0.00
192810,0.01
192811,2.97
192812,3.68
192901,1.06
192902,2.02
192903,2.11
192904,1.31
192905,0.00
192906,0.43
192907,0.00
192908,0.00
192909,0.14
192910,0.01
192911,0.00
192912,1.06
193001,5.56
193002,3.08
193003,2.99
193004,0.87
193005,0.69
193006,0.01
193007,0.00
193008,0.00
193009,0.35
193010,0.05
193011,1.83
193012,0.08
193101,5.76
193102,2.06
193103,0.60
193104,0.62
193105,1.29
193106,0.38
193107,0.00
193108,0.03
193109,0.01
193110,0.11
193111,2.64
193112,10.42
193201,5.07
193202,4.46
193203,0.78
193204,0.46
193205,0.48
193206,0.04
193207,0.00
193208,0.00
193209,0.00
193210,0.02
193211,0.24
193212,2.36
193301,6.62
193302,0.45
193303,1.41
193304,0.17
193305,0.69
193306,0.14
193307,0.00
193308,0.00
193309,0.03
193310,0.60
193311,0.01
193312,4.37
193401,1.61
193402,4.55
193403,0.15
193404,0.13
193405,0.55
193406,0.43
193407,0.00
193408,0.00
193409,0.09
193410,1.16
193411,3.09
193412,3.46
193501,6.91
193502,1.14
193503,4.04
193504,4.58
193505,0.01
193506,0.00
193507,0.00
193508,0.19
193509,0.03
193510,0.62
193511,1.20
193512,1.99
193601,2.03
193602,10.24
193603,1.71
193604,1.73
193605,0.41
193606,0.32
193607,0.11
193608,0.01
193609,0.01
193610,1.32
193611,0.00
193612,5.90
193701,4.62
193702,5.78
193703,6.36
193704,0.56
193705,0.01
193706,0.10
193707,0.00
193708,0.00
193709,0.00
193710,0.18
193711,0.92
193712,6.24
193801,4.22
193802,10.09
193803,6.69
193804,1.95
193805,0.08
193806,0.02
193807,0.02
193808,0.00
193809,0.36
193810,0.96
193811,0.65
193812,2.05
193901,3.23
193902,2.47
193903,2.82
193904,0.42
193905,0.33
193906,0.01
193907,0.00
193908,0.01
193909,0.51
193910,0.69
193911,0.50
193912,1.49
194001,9.24
194002,9.35
194003,2.54
194004,0.80
194005,0.18
194006,0.00
194007,0.04
194008,0.00
194009,0.14
194010,0.47
194011,0.43
194012,8.78
194101,6.33
194102,10.66
194103,7.48
194104,4.96
194105,0.41
194106,0.04
194107,0.01
194108,0.01
194109,0.00
194110,1.17
194111,0.97
194112,8.38
194201,3.84
194202,2.25
194203,2.57
194204,3.58
194205,0.73
194206,0.00
194207,0.00
194208,0.00
194209,0.01
194210,0.79
194211,1.86
194212,2.01
194301,6.62
194302,2.61
194303,5.15
194304,1.10
194305,0.00
194306,0.01
194307,0.00
194308,0.00
194309,0.00
194310,0.63
194311,0.30
194312,3.40
194401,3.17
194402,9.05
194403,0.81
194404,1.59
194405,0.69
194406,0.12
194407,0.01
194408,0.00
194409,0.00
194410,0.66
194411,3.52
194412,2.35
194501,0.89
194502,5.95
194503,3.92
194504,0.36
194505,0.18
194506,0.12
194507,0.00
194508,0.12
194509,0.03
194510,1.99
194511,1.72
194512,6.14
194601,0.98
194602,2.70
194603,3.20
194604,0.11
194605,0.50
194606,0.00
194607,0.03
194608,0.00
194609,0.03
194610,0.38
194611,4.63
194612,2.58
194701,0.82
194702,1.89
194703,1.82
194704,0.54
194705,0.34
194706,0.08
194707,0.00
194708,0.00
194709,0.01
194710,0.99
194711,0.52
194712,1.28
194801,0.07
194802,2.01
194803,4.37
194804,3.53
194805,0.59
194806,0.06
194807,0.01
194808,0.00
194809,0.00
194810,0.77
194811,0.15
194812,4.54
194901,1.42
194902,2.57
194903,5.87
194904,0.17
194905,0.37
194906,0.00
194907,0.04
194908,0.02
194909,0.01
194910,0.07
194911,1.23
194912,2.48
195001,4.44
195002,3.16
195003,2.10
195004,1.61
195005,0.20
195006,0.02
195007,0.06
195008,0.02
195009,0.05
195010,1.80
195011,3.20
195012,3.18
195101,2.58
195102,1.98
195103,0.70
195104,1.07
195105,0.44
195106,0.01
195107,0.00
195108,0.00
195109,0.02
195110,0.84
195111,3.12
195112,6.90
195201,8.14
195202,1.27
195203,5.90
195204,1.43
195205,0.07
195206,0.03
195207,0.01
195208,0.00
195209,0.08
195210,0.03
195211,2.66
195212,7.35
195301,1.83
195302,0.01
195303,1.28
195304,1.93
195305,0.33
195306,0.08
195307,0.00
195308,0.03
195309,0.00
195310,0.17
195311,2.65
195312,0.40
195401,4.18
195402,3.12
195403,5.13
195404,0.88
195405,0.15
195406,0.14
195407,0.00
195408,0.01
195409,0.01
195410,0.00
195411,1.63
195412,3.01
195501,5.84
195502,2.48
195503,0.39
195504,2.60
195505,1.36
195506,0.01
195507,0.00
195508,0.02
195509,0.00
195510,0.01
195511,1.98
195512,12.64
195601,5.22
195602,1.46
195603,0.15
195604,1.70
195605,1.05
195606,0.00
195607,0.03
195608,0.00
195609,0.10
195610,1.12
195611,0.00
195612,0.34
195701,5.41
195702,3.54
195703,1.21
195704,2.13
195705,1.61
195706,0.19
195707,0.00
195708,0.00
195709,0.08
195710,1.90
195711,0.80
195712,4.26
195801,3.75
195802,8.32
195803,8.80
195804,6.03
195805,0.75
195806,0.08
195807,0.00
195808,0.05
195809,0.96
195810,0.01
195811,0.46
195812,0.39
195901,4.55
195902,6.88
195903,0.16
195904,0.30
195905,0.07
195906,0.00
195907,0.00
195908,0.02
195909,0.79
195910,0.00
195911,0.00
195912,0.59
196001,4.23
196002,5.43
196003,0.88
196004,1.67
196005,0.22
196006,0.00
196007,0.00
196008,0.00
196009,0.05
196010,0.15
196011,4.07
196012,1.35
196101,2.61
196102,0.78
196103,1.92
196104,0.60
196105,0.55
196106,0.11
196107,0.00
196108,0.02
196109,0.01
196110,0.03
196111,3.28
196112,2.56
196201,2.17
196202,10.09
196203,2.42
196204,0.10
196205,0.17
196206,0.03
196207,0.00
196208,0.01
196209,0.01
196210,1.37
196211,0.13
196212,3.10
196301,5.31
196302,4.63
196303,4.22
196304,4.07
196305,0.44
196306,0.11
196307,0.00
196308,0.01
196309,0.25
196310,1.49
196311,4.12
196312,0.26
196401,3.05
196402,0.21
196403,2.27
196404,0.57
196405,0.82
196406,0.16
196407,0.00
196408,0.09
196409,0.09
196410,1.66
196411,3.16
196412,5.14
196501,2.65
196502,0.87
196503,2.77
196504,3.05
196505,0.03
196506,0.01
196507,0.06
196508,0.09
196509,0.03
196510,0.06
196511,8.18
196512,4.44
196601,1.87
196602,1.41
196603,0.29
196604,0.17
196605,0.02
196606,0.04
196607,0.14
196608,0.01
196609,0.30
196610,0.00
196611,3.53
196612,6.96
196701,5.44
196702,0.54
196703,4.97
196704,6.02
196705,0.27
196706,0.27
196707,0.01
196708,0.00
196709,0.39
196710,0.16
196711,1.82
196712,2.11
196801,2.18
196802,1.46
196803,2.56
196804,0.88
196805,0.19
196806,0.02
196807,0.00
196808,0.04
196809,0.00
196810,1.44
196811,2.41
196812,4.17
196901,14.28
196902,10.55
196903,0.95
196904,2.44
196905,0.03
196906,0.05
196907,0.01
196908,0.00
196909,0.27
196910,0.51
196911,1.02
196912,2.34
197001,6.18
197002,2.16
197003,3.33
197004,0.34
197005,0.01
197006,0.09
197007,0.00
197008,0.00
197009,0.00
197010,0.22
197011,6.37
197012,5.89
197101,1.17
197102,0.44
197103,1.25
197104,1.35
197105,0.49
197106,0.00
197107,0.00
197108,0.03
197109,0.09
197110,0.13
197111,1.41
197112,6.07
197201,0.98
197202,0.78
197203,0.01
197204,0.65
197205,0.04
197206,0.08
197207,0.01
197208,0.00
197209,0.07
197210,2.58
197211,6.68
197212,1.89
197301,7.01
197302,8.99
197303,3.80
197304,0.14
197305,0.02
197306,0.00
197307,0.00
197308,0.01
197309,0.04
197310,1.72
197311,3.71
197312,3.81
197401,6.87
197402,0.44
197403,5.26
197404,1.87
197405,0.00
197406,0.11
197407,0.07
197408,0.00
197409,0.00
197410,1.57
197411,0.69
197412,4.24
197501,0.57
197502,6.34
197503,5.43
197504,1.73
197505,0.01
197506,0.01
197507,0.07
197508,0.14
197509,0.05
197510,1.47
197511,0.40
197512,0.23
197601,0.10
197602,2.84
197603,1.56
197604,1.56
197605,0.01
197606,0.11
197607,0.01
197608,0.20
197609,1.18
197610,0.98
197611,1.02
197612,1.82
197701,1.99
197702,0.28
197703,1.71
197704,0.03
197705,1.69
197706,0.08
197707,0.00
197708,0.00
197709,0.32
197710,0.10
197711,0.52
197712,7.19
197801,8.53
197802,8.06
197803,6.45
197804,4.19
197805,0.02
197806,0.02
197807,0.00
197808,0.00
197809,0.47
197810,0.00
197811,3.43
197812,1.17
197901,6.46
197902,4.63
197903,3.60
197904,0.37
197905,0.14
197906,0.00
197907,0.09
197908,0.02
197909,0.01
197910,1.32
197911,1.98
197912,4.14
198001,5.90
198002,8.11
198003,2.47
198004,1.68
198005,0.34
198006,0.01
