Date,Value
189501,6.97
189502,1.42
189503,1.82
189504,0.64
189505,0.36
189506,0.01
189507,0.00
189508,0.01
189509,0.01
189510,1.32
189511,1.41
189512,0.71
189601,5.51
189602,0.19
189603,3.65
189604,1.86
189605,0.76
189606,0.00
189607,0.13
189608,0.15
189609,0.01
189610,1.69
189611,1.74
189612,3.05
189701,4.00
189702,4.41
189703,3.04
189704,0.02
189705,0.00
189706,0.03
189707,0.01
189708,0.02
189709,0.05
189710,0.87
189711,0.19
189712,0.35
189801,1.38
189802,1.41
189803,0.84
189804,0.08
189805,1.02
189806,0.00
189807,0.00
189808,0.00
189809,0.87
189810,0.15
189811,0.29
189812,0.59
189901,4.27
189902,0.20
189903,4.60
189904,1.41
189905,0.20
189906,0.22
189907,0.00
189908,0.00
189909,0.00
189910,2.32
189911,1.86
189912,2.77
190001,2.30
190002,0.11
190003,1.95
190004,0.82
190005,1.21
190006,0.00
190007,0.01
190008,0.00
190009,0.01
190010,1.09
190011,7.25
190012,0.29
190101,6.18
190102,5.40
190103,0.59
190104,1.81
190105,1.44
190106,0.01
190107,0.01
190108,0.01
190109,0.28
190110,0.54
190111,1.25
190112,0.07
190201,1.16
190202,5.60
190203,2.68
190204,1.47
190205,0.15
190206,0.00
190207,0.00
190208,0.00
190209,0.00
190210,1.02
190211,2.36
190212,1.23
190301,2.36
190302,1.38
190303,4.48
190304,1.18
190305,0.03
190306,0.00
190307,0.00
190308,0.00
190309,0.00
190310,0.03
190311,0.39
190312,0.32
190401,0.64
190402,4.37
190403,3.72
190404,1.57
190405,0.06
190406,0.00
190407,0.00
190408,0.09
190409,1.02
190410,1.11
190411,0.19
190412,2.04
190501,2.57
190502,4.64
190503,4.97
190504,0.46
190505,1.54
190506,0.00
190507,0.02
190508,0.00
190509,0.06
190510,0.05
190511,1.74
190512,0.47
190601,2.88
190602,4.01
190603,6.98
190604,0.84
190605,1.66
190606,0.02
190607,0.00
190608,0.00
190609,0.00
190610,0.00
190611,1.07
190612,5.84
190701,8.68
190702,0.91
190703,5.71
190704,0.26
190705,0.00
190706,0.01
190707,0.00
190708,0.00
190709,0.03
190710,3.24
190711,0.01
190712,2.97
190801,5.28
190802,4.48
190803,0.59
190804,0.36
190805,0.23
190806,0.00
190807,0.00
190808,0.02
190809,0.66
190810,0.43
190811,1.00
190812,1.39
190901,10.63
190902,4.97
190903,3.81
190904,0.02
190905,0.01
190906,0.03
190907,0.00
190908,0.03
190909,0.01
190910,0.55
190911,1.79
190912,7.48
191001,3.27
191002,0.34
191003,3.61
191004,0.24
191005,0.00
191006,0.00
191007,0.00
191008,0.00
191009,0.69
191010,0.34
191011,0.37
191012,0.78
191101,11.67
191102,3.01
191103,9.70
191104,1.38
191105,0.04
191106,0.01
191107,0.00
191108,0.00
191109,0.05
191110,0.11
191111,0.11
191112,1.84
191201,1.35
191202,0.02
191203,6.54
191204,3.29
191205,1.20
191206,0.00
191207,0.00
191208,0.00
191209,0.02
191210,0.07
191211,0.64
191212,0.17
191301,3.61
191302,3.09
191303,0.82
191304,0.43
191305,0.32
191306,0.25
191307,0.04
191308,0.16
191309,0.02
191310,0.00
191311,3.33
191312,3.08
191401,13.09
191402,3.69
191403,0.75
191404,0.37
191405,0.26
191406,0.13
191407,0.00
191408,0.00
191409,0.06
191410,0.65
191411,0.08
191412,5.63
191501,6.21
191502,9.48
191503,1.20
191504,2.46
191505,1.78
191506,0.00
191507,0.00
191508,0.00
191509,0.02
191510,0.00
191511,0.34
191512,3.58
191601,12.87
191602,1.84
191603,2.06
191604,0.52
191605,0.09
191606,0.00
191607,0.00
191608,0.11
191609,0.86
191610,2.96
191611,0.45
191612,7.01
191701,3.09
191702,4.08
191703,0.63
191704,0.64
191705,0.39
191706,0.00
191707,0.00
191708,0.02
191709,0.00
191710,0.02
191711,1.03
191712,0.35
191801,0.83
191802,9.00
191803,6.39
191804,0.01
191805,0.01
191806,0.00
191807,0.01
191808,0.00
191809,0.72
191810,0.48
191811,3.11
191812,2.82
191901,0.59
191902,3.26
191903,2.66
191904,0.10
191905,0.96
191906,0.00
191907,0.00
191908,0.00
191909,0.39
191910,0.13
191911,0.25
191912,2.28
192001,0.83
192002,3.14
192003,4.46
192004,0.84
192005,0.00
192006,0.02
192007,0.00
192008,0.04
192009,0.01
192010,0.72
192011,1.48
192012,1.98
192101,4.08
192102,1.53
192103,2.08
192104,0.72
192105,1.52
192106,0.01
192107,0.00
192108,0.00
192109,0.47
192110,0.49
192111,0.15
192112,7.93
192201,5.43
192202,5.09
192203,3.39
192204,0.22
192205,0.76
192206,0.04
192207,0.02
192208,0.01
192209,0.00
192210,0.45
192211,3.00
192212,4.54
192301,2.36
192302,1.02
192303,0.16
192304,3.37
192305,0.01
192306,0.13
192307,0.00
192308,0.03
192309,0.22
192310,0.67
192311,0.29
192312,0.57
192401,1.27
192402,0.72
192403,3.36
192404,0.79
192405,0.08
192406,0.00
192407,0.00
