Date,Value
189501,13.60
189502,2.98
189503,3.05
189504,2.59
189505,1.64
189506,0.00
189507,0.12
189508,0.00
189509,0.47
189510,0.82
189511,2.21
189512,2.48
189601,13.47
189602,0.31
189603,4.14
189604,5.51
189605,1.08
189606,0.00
189607,0.06
189608,0.39
189609,0.50
189610,2.24
189611,6.66
189612,5.38
189701,3.88
189702,6.78
189703,6.28
189704,0.81
189705,0.19
189706,0.38
189707,0.00
189708,0.04
189709,0.18
189710,2.45
189711,1.48
189712,2.53
189801,1.85
189802,3.87
189803,0.80
189804,0.36
189805,1.75
189806,0.24
189807,0.00
189808,0.02
189809,1.06
189810,1.26
189811,0.92
189812,1.86
189901,7.79
189902,0.45
189903,10.24
189904,0.89
189905,1.23
189906,0.27
189907,0.00
189908,0.04
189909,0.06
189910,6.15
189911,5.54
189912,4.39
190001,4.75
190002,0.90
190003,3.05
190004,2.61
190005,1.48
190006,0.04
190007,0.05
190008,0.01
190009,0.12
190010,2.57
190011,9.52
190012,2.74
190101,6.57
190102,7.80
190103,1.31
190104,3.44
190105,1.23
190106,0.00
190107,0.00
190108,0.00
190109,0.80
190110,1.45
190111,3.54
190112,1.36
190201,1.80
190202,13.13
190203,4.66
190204,2.63
190205,1.43
190206,0.00
190207,0.00
190208,0.00
190209,0.00
190210,2.71
190211,3.68
190212,2.72
190301,6.06
190302,2.55
190303,10.45
190304,0.95
190305,0.01
190306,0.00
190307,0.00
190308,0.00
190309,0.00
190310,0.41
190311,5.13
190312,1.40
190401,1.89
190402,8.67
190403,9.30
190404,3.17
190405,0.37
190406,0.00
190407,0.00
190408,0.34
190409,1.32
190410,3.44
190411,2.13
190412,4.24
190501,5.68
190502,5.34
190503,5.97
190504,1.74
190505,3.50
190506,0.00
190507,0.01
190508,0.00
190509,0.01
190510,0.00
190511,3.11
190512,2.41
190601,8.28
190602,5.74
190603,10.08
190604,1.37
190605,2.70
190606,1.02
190607,0.00
190608,0.01
190609,0.23
190610,0.00
190611,2.20
190612,12.60
190701,8.82
190702,3.52
190703,15.89
190704,0.51
190705,0.26
190706,1.07
190707,0.00
190708,0.00
190709,0.18
190710,2.30
190711,0.05
190712,7.16
190801,4.98
190802,5.21
190803,2.01
190804,0.49
190805,0.81
190806,0.02
190807,0.00
190808,0.00
190809,0.23
190810,0.62
190811,1.75
190812,3.36
190901,20.79
190902,10.09
190903,4.69
190904,0.00
190905,0.00
190906,0.09
190907,0.00
190908,0.00
190909,1.18
190910,1.20
190911,2.50
190912,10.09
191001,5.36
191002,2.08
191003,5.56
191004,0.38
191005,0.00
191006,0.04
191007,0.00
191008,0.00
191009,0.12
191010,0.74
191011,0.61
191012,2.49
191101,17.16
191102,3.60
191103,6.94
191104,2.08
191105,0.65
191106,0.13
191107,0.00
191108,0.00
191109,0.00
191110,0.64
191111,1.19
191112,4.01
191201,4.71
191202,0.76
191203,5.26
191204,2.87
191205,1.81
191206,0.97
191207,0.00
191208,0.00
191209,0.97
191210,0.65
191211,1.44
191212,1.29
191301,5.51
191302,0.67
191303,2.80
191304,0.64
191305,1.13
191306,0.05
191307,0.15
191308,0.03
191309,0.00
191310,0.06
191311,7.51
191312,8.73
191401,15.02
191402,6.06
191403,1.13
191404,1.37
191405,0.40
191406,0.46
191407,0.03
191408,0.00
191409,0.01
191410,1.25
191411,0.90
191412,8.72
191501,8.46
191502,12.06
191503,3.05
191504,1.20
191505,4.32
191506,0.00
191507,0.01
191508,0.01
191509,0.01
191510,0.02
191511,0.82
191512,9.73
191601,18.73
191602,3.77
191603,1.75
191604,0.11
191605,0.08
191606,0.02
191607,0.06
191608,0.13
191609,0.99
191610,1.08
191611,1.05
191612,5.96
191701,2.23
191702,6.72
191703,1.48
191704,0.56
191705,0.47
191706,0.00
191707,0.00
191708,0.00
191709,0.10
191710,0.00
191711,0.88
191712,1.50
191801,1.24
191802,4.97
191803,5.01
191804,0.78
191805,0.02
191806,0.01
191807,0.00
191808,0.02
191809,1.32
191810,0.36
191811,4.86
191812,2.90
191901,2.36
191902,11.23
191903,4.39
