Date,Value
189501,7.90
189502,2.62
189503,2.01
189504,0.58
189505,0.44
189506,0.02
189507,0.00
189508,0.00
189509,0.00
189510,0.86
189511,1.08
189512,0.74
189601,5.76
189602,0.15
189603,3.40
189604,2.13
189605,0.35
189606,0.00
189607,0.18
189608,0.07
189609,0.01
189610,1.53
189611,2.17
189612,3.11
189701,4.61
189702,4.52
189703,3.29
189704,0.01
189705,0.00
189706,0.01
189707,0.01
189708,0.04
189709,0.10
189710,1.27
189711,0.07
189712,0.22
189801,1.41
189802,1.13
189803,0.80
189804,0.07
189805,1.39
189806,0.00
189807,0.00
189808,0.00
189809,0.75
189810,0.15
189811,0.10
189812,0.71
189901,4.27
189902,0.29
189903,3.58
189904,1.01
189905,0.06
189906,0.20
189907,0.00
189908,0.00
189909,0.00
189910,2.17
189911,2.01
189912,2.44
190001,2.41
190002,0.08
190003,1.84
190004,0.63
190005,1.84
190006,0.00
190007,0.03
190008,0.00
190009,0.03
190010,0.44
190011,6.90
190012,0.11
190101,5.49
190102,4.71
190103,0.33
190104,1.99
190105,0.71
190106,0.04
190107,0.07
190108,0.05
190109,0.34
190110,2.07
190111,1.16
190112,0.04
190201,1.42
190202,5.10
190203,3.08
190204,1.29
190205,0.12
190206,0.00
190207,0.00
190208,0.00
190209,0.00
190210,1.16
190211,3.60
190212,1.89
190301,2.16
190302,1.60
190303,6.06
190304,2.61
190305,0.18
190306,0.01
190307,0.00
190308,0.00
190309,0.01
190310,0.01
190311,0.12
190312,0.05
190401,0.57
190402,4.87
190403,4.65
190404,1.97
190405,0.09
190406,0.00
190407,0.00
190408,0.13
190409,0.72
190410,0.74
190411,0.02
190412,2.07
190501,3.61
190502,7.83
190503,6.76
190504,0.52
190505,1.74
190506,0.02
190507,0.11
190508,0.00
190509,0.12
190510,0.18
190511,1.53
190512,0.18
190601,3.93
190602,3.74
190603,9.74
190604,0.97
190605,1.63
190606,0.01
190607,0.00
190608,0.01
190609,0.00
190610,0.00
190611,0.64
190612,6.48
190701,12.32
190702,1.61
190703,6.46
190704,0.24
190705,0.00
190706,0.06
190707,0.00
190708,0.01
190709,0.00
190710,3.71
190711,0.00
190712,2.14
190801,5.55
190802,6.17
190803,0.38
190804,0.60
190805,0.27
190806,0.00
190807,0.00
190808,0.06
190809,0.72
190810,0.28
190811,1.67
190812,1.96
190901,12.97
190902,7.97
190903,5.84
190904,0.05
190905,0.02
190906,0.06
190907,0.00
190908,0.11
190909,0.05
190910,0.50
190911,1.96
190912,8.84
191001,3.11
191002,0.26
191003,3.85
191004,0.41
191005,0.00
191006,0.00
191007,0.03
191008,0.00
191009,0.77
191010,0.32
191011,0.55
191012,0.67
191101,12.92
191102,4.41
191103,10.34
191104,1.35
191105,0.06
191106,0.03
191107,0.00
191108,0.00
191109,0.09
191110,0.10
191111,0.15
191112,2.04
191201,1.20
191202,0.02
191203,9.15
191204,1.79
191205,1.62
191206,0.01
191207,0.00
191208,0.00
191209,0.00
191210,0.21
191211,0.49
191212,0.12
191301,3.38
191302,6.47
191303,0.74
191304,0.74
191305,0.25
191306,0.32
191307,0.10
191308,0.16
191309,0.04
191310,0.00
191311,3.10
191312,3.31
191401,15.08
191402,7.26
191403,0.97
191404,0.60
191405,0.29
191406,0.07
191407,0.03
191408,0.00
191409,0.05
191410,1.03
191411,0.03
191412,5.31
191501,6.43
191502,9.88
191503,1.09
191504,2.23
191505,1.76
191506,0.00
191507,0.00
191508,0.00
191509,0.05
191510,0.00
191511,0.64
191512,3.90
191601,11.49
191602,1.52
