Date,Value
189501,14.51
189502,3.23
189503,3.61
189504,2.84
189505,1.57
189506,0.00
189507,0.08
189508,0.00
189509,0.30
189510,0.93
189511,2.22
189512,2.83
189601,14.89
189602,0.31
189603,4.55
189604,5.10
189605,1.28
189606,0.00
189607,0.10
189608,0.32
189609,0.42
189610,2.58
189611,7.70
189612,5.86
189701,4.20
189702,7.16
189703,6.94
189704,0.76
189705,0.18
189706,0.30
189707,0.00
189708,0.07
189709,0.16
189710,2.30
189711,1.48
189712,3.23
189801,2.26
189802,3.60
189803,1.32
189804,0.51
189805,1.50
189806,0.12
189807,0.00
189808,0.00
189809,1.21
189810,0.92
189811,0.92
189812,2.42
189901,8.66
189902,0.53
189903,10.68
189904,1.19
189905,1.02
189906,0.30
189907,0.00
189908,0.05
189909,0.00
189910,7.11
189911,5.15
189912,5.14
190001,5.37
190002,0.95
190003,3.50
190004,2.93
190005,1.41
190006,0.02
190007,0.03
190008,0.00
190009,0.10
190010,2.49
190011,11.21
190012,3.14
190101,6.51
190102,7.88
190103,1.45
190104,3.23
190105,1.00
190106,0.00
190107,0.00
190108,0.00
190109,0.80
190110,1.43
190111,3.93
190112,1.55
190201,2.23
190202,15.15
190203,4.82
190204,2.90
190205,1.16
190206,0.00
190207,0.00
190208,0.00
190209,0.00
190210,2.18
190211,3.61
190212,2.76
190301,6.83
190302,2.70
190303,12.57
190304,0.96
190305,0.00
190306,0.00
190307,0.00
190308,0.00
190309,0.00
190310,0.25
190311,6.04
190312,1.18
190401,2.22
190402,9.69
190403,9.53
190404,4.05
190405,0.34
190406,0.00
190407,0.00
190408,0.31
190409,1.41
190410,3.81
190411,2.26
190412,4.33
190501,6.79
190502,6.43
190503,6.91
190504,2.11
190505,3.71
190506,0.00
190507,0.03
190508,0.00
190509,0.01
190510,0.00
190511,3.62
190512,2.67
190601,7.97
190602,7.26
190603,11.76
190604,1.74
190605,3.19
190606,0.86
190607,0.00
190608,0.00
190609,0.32
190610,0.00
190611,2.75
190612,15.19
190701,9.91
