Date,Value
189501,23.30
189502,4.00
189503,4.65
189504,1.76
189505,1.56
189506,0.00
189507,0.09
189508,0.02
189509,1.33
189510,0.14
189511,3.32
189512,4.73
189601,20.96
189602,0.26
189603,4.59
189604,8.55
189605,2.09
189606,0.00
189607,0.02
189608,0.24
189609,0.53
189610,1.65
189611,8.46
189612,9.24
189701,5.55
189702,10.09
189703,10.30
189704,0.38
189705,0.47
189706,1.14
189707,0.00
189708,0.02
189709,0.54
189710,3.91
189711,2.79
189712,4.47
189801,2.03
189802,9.97
189803,0.52
189804,0.54
189805,4.17
189806,0.44
189807,0.00
189808,0.01
189809,0.88
189810,1.90
189811,2.28
189812,1.94
189901,15.95
189902,0.69
189903,16.17
189904,0.99
189905,2.64
189906,0.12
189907,0.00
189908,0.07
189909,1.06
189910,6.49
189911,11.06
189912,7.98
190001,7.91
190002,2.63
190003,5.95
190004,4.01
190005,1.13
190006,0.23
190007,0.00
190008,0.01
190009,0.14
190010,5.55
190011,7.03
190012,5.15
190101,9.38
190102,8.48
190103,1.30
190104,5.21
190105,1.21
190106,0.00
190107,0.00
190108,0.00
190109,1.21
190110,1.61
190111,8.09
190112,2.59
190201,3.05
190202,23.37
190203,6.26
190204,4.91
190205,2.07
190206,0.00
190207,0.00
190208,0.01
190209,0.00
190210,7.03
190211,8.40
190212,6.33
190301,9.07
190302,3.84
190303,11.19
190304,0.50
190305,0.01
190306,0.02
190307,0.00
190308,0.00
190309,0.00
190310,1.04
190311,11.65
190312,4.84
190401,2.40
190402,18.77
190403,20.14
190404,3.92
190405,0.40
190406,0.06
190407,0.03
190408,0.03
190409,1.83
190410,6.60
190411,4.04
190412,6.80
190501,11.12
190502,6.04
190503,9.41
190504,2.03
190505,3.46
190506,0.03
190507,0.00
190508,0.00
190509,0.05
190510,0.11
190511,3.28
190512,3.32
190601,15.82
190602,9.97
190603,10.47
190604,1.33
190605,4.68
190606,1.19
190607,0.00
190608,0.00
190609,0.21
190610,0.02
190611,2.67
190612,12.15
190701,11.21
190702,6.37
190703,20.06
190704,0.80
190705,0.64
190706,1.06
190707,0.00
190708,0.00
190709,0.25
190710,1.29
190711,0.41
190712,10.79
190801,8.04
190802,6.55
190803,2.04
190804,0.46
190805,1.63
190806,0.17
190807,0.01
190808,0.00
190809,0.08
190810,1.45
190811,3.88
190812,5.31
190901,32.78
190902,14.02
190903,5.16
190904,0.00
190905,0.01
190906,0.11
190907,0.00
190908,0.00
190909,1.28
190910,2.48
190911,6.14
190912,9.99
191001,7.29
191002,4.53
191003,6.04
191004,1.19
191005,0.14
191006,0.06
191007,0.00
191008,0.00
191009,0.10
191010,1.29
191011,2.55
191012,2.34
191101,20.91
191102,4.92
191103,8.22
191104,4.08
191105,0.90
191106,0.09
191107,0.00
191108,0.00
191109,0.04
191110,0.77
191111,1.37
191112,3.06
191201,5.36
191202,1.54
191203,6.97
191204,3.14
191205,2.96
191206,1.24
191207,0.00
191208,0.00
191209,1.84
191210,1.58
191211,7.96
191212,3.69
191301,9.84
191302,0.61
191303,3.28
191304,2.17
191305,1.77
191306,0.11
191307,0.04
191308,0.00
191309,0.00
191310,0.08
191311,11.22
191312,18.06
191401,23.35
191402,8.45
191403,2.02
191404,2.63
191405,0.91
191406,0.56
191407,0.00
191408,0.00
191409,0.15
191410,2.59
191411,1.51
191412,10.65
191501,14.34
191502,20.25
191503,5.92
191504,0.90
191505,5.96
191506,0.00
191507,0.02
191508,0.00
191509,0.00
191510,0.25
191511,2.36
191512,11.87
191601,23.53
191602,5.05
191603,3.69
191604,0.19
191605,0.34
191606,0.43
191607,0.08
191608,0.50
191609,0.57
191610,0.68
191611,3.61
191612,9.83
191701,4.17
191702,9.93
191703,2.10
191704,2.29
191705,0.27
191706,0.00
191707,0.00
191708,0.00
191709,0.46
191710,0.00
191711,1.87
191712,4.24
191801,2.37
191802,8.94
191803,5.88
191804,1.34
191805,0.06
191806,0.09
191807,0.01
191808,0.00
191809,1.77
191810,1.09
191811,5.79
191812,3.35
191901,7.05
191902,15.60
191903,5.46
191904,0.88
191905,0.08
191906,0.00
191907,0.00
191908,0.00
191909,0.92
191910,0.70
191911,1.03
191912,8.00
192001,0.56
192002,1.80
192003,5.42
192004,4.49
192005,0.00
192006,0.73
192007,0.07
192008,0.14
192009,0.19
192010,4.14
192011,11.74
192012,13.62
192101,13.15
192102,2.58
192103,3.20
192104,1.04
192105,1.44
192106,0.01
192107,0.00
192108,0.01
192109,0.25
192110,1.31
192111,3.42
192112,9.60
192201,2.87
192202,8.94
192203,4.46
192204,0.73
192205,0.62
192206,0.27
192207,0.00
192208,0.00
192209,0.00
192210,3.97
192211,6.07
192212,13.89
192301,5.00
192302,1.35
192303,0.10
192304,7.39
192305,0.23
192306,0.39
192307,0.00
192308,0.13
192309,1.65
192310,0.87
192311,0.96
192312,2.36
192401,5.23
192402,5.66
192403,1.32
192404,0.62
192405,0.19
192406,0.00
192407,0.00
192408,0.05
192409,0.01
192410,6.45
192411,3.53
192412,9.85
192501,3.03
192502,16.01
192503,4.25
192504,3.63
192505,6.21
192506,0.02
192507,0.05
192508,0.09
192509,1.00
192510,0.31
192511,3.73
192512,2.21
192601,10.07
192602,9.74
192603,0.24
192604,8.97
192605,0.52
192606,0.00
192607,0.00
192608,0.07
192609,0.01
192610,2.07
192611,15.84
192612,4.91
192701,8.57
192702,13.75
192703,3.66
192704,4.41
192705,0.61
192706,0.60
192707,0.04
192708,0.03
192709,0.01
192710,2.18
192711,8.04
192712,5.87
192801,4.41
192802,5.12
192803,8.82
192804,2.90
192805,0.24
192806,0.00
192807,0.01
192808,0.00
192809,0.05
192810,0.50
192811,6.59
192812,7.08
192901,2.04
192902,3.44
192903,2.50
192904,1.88
192905,0.06
192906,1.41
192907,0.00
192908,0.00
192909,0.00
192910,0.07
192911,0.00
192912,16.01
193001,7.09
193002,5.91
193003,4.08
193004,2.46
193005,0.74
193006,0.00
193007,0.00
193008,0.00
193009,0.70
193010,1.05
193011,2.69
193012,1.53
193101,9.30
193102,2.07
193103,3.11
193104,0.61
193105,1.37
193106,1.19
193107,0.00
193108,0.00
193109,0.01
193110,2.07
193111,2.89
193112,16.16
193201,4.47
193202,1.88
193203,1.49
193204,2.21
193205,1.98
193206,0.03
193207,0.00
193208,0.01
193209,0.00
193210,0.06
193211,2.37
193212,5.40
193301,9.20
193302,1.79
193303,5.39
193304,0.18
193305,2.44
193306,0.00
193307,0.01
193308,0.00
193309,0.19
193310,2.82
193311,0.00
193312,12.11
193401,1.94
193402,7.50
193403,1.43
193404,1.14
193405,1.64
193406,0.95
193407,0.00
193408,0.02
193409,0.13
193410,3.20
193411,7.45
193412,4.23
193501,10.65
193502,4.37
193503,7.24
193504,6.59
193505,0.04
193506,0.00
193507,0.00
193508,0.15
193509,0.33
193510,1.58
193511,2.24
193512,5.18
193601,10.69
193602,14.15
193603,2.17
193604,2.49
193605,1.03
193606,1.25
193607,0.07
193608,0.04
193609,0.01
193610,0.34
193611,0.03
193612,4.26
193701,6.25
193702,11.36
193703,8.50
193704,2.03
193705,0.23
193706,1.38
193707,0.05
193708,0.00
193709,0.05
193710,1.85
193711,9.41
193712,9.83
193801,7.84
193802,12.92
193803,11.22
193804,3.23
193805,0.12
193806,0.00
193807,0.02
193808,0.01
193809,0.59
193810,2.64
193811,2.71
193812,3.67
193901,5.34
193902,2.69
193903,3.50
193904,0.26
193905,1.57
193906,0.01
193907,0.01
193908,0.00
193909,0.20
193910,0.45
193911,0.59
193912,5.50
194001,15.38
194002,17.31
194003,8.11
194004,2.17
194005,2.02
194006,0.14
194007,0.02
194008,0.01
194009,0.43
194010,2.21
194011,3.41
194012,18.71
194101,14.43
194102,13.02
194103,7.89
194104,7.76
194105,2.39
194106,0.64
194107,0.00
194108,0.07
194109,0.13
194110,1.97
194111,4.91
194112,13.59
194201,9.10
194202,10.00
194203,4.74
194204,7.82
194205,2.54
194206,0.00
194207,0.01
194208,0.03
194209,0.11
194210,1.43
194211,7.10
194212,7.61
194301,12.57
194302,3.14
194303,5.12
194304,3.35
194305,0.36
194306,0.31
194307,0.01
194308,0.01
194309,0.01
194310,1.35
194311,1.86
194312,3.48
194401,7.88
194402,8.32
194403,3.18
194404,3.42
194405,1.87
194406,0.71
194407,0.00
194408,0.01
194409,0.04
194410,3.32
194411,7.92
194412,5.42
194501,3.48
194502,6.89
194503,6.69
194504,0.59
194505,1.86
194506,0.00
194507,0.00
194508,0.00
194509,0.08
194510,5.29
194511,6.87
194512,16.16
194601,2.74
194602,4.11
194603,2.65
194604,0.30
194605,0.70
194606,0.01
194607,0.08
194608,0.00
194609,0.13
194610,0.32
194611,5.92
194612,4.63
194701,1.17
194702,4.47
194703,7.26
194704,0.79
194705,0.76
194706,1.38
194707,0.00
194708,0.00
194709,0.00
194710,6.48
194711,1.40
194712,2.25
194801,4.69
194802,2.72
194803,6.21
194804,10.54
194805,1.44
194806,0.43
194807,0.03
194808,0.03
194809,0.25
194810,1.15
194811,2.35
194812,6.97
194901,2.36
194902,5.39
194903,11.92
194904,0.12
194905,0.71
194906,0.03
194907,0.06
194908,0.11
194909,0.02
194910,0.12
194911,2.50
194912,3.39
195001,12.28
195002,7.12
195003,4.45
195004,1.69
195005,0.93
195006,0.22
195007,0.01
195008,0.00
195009,0.03
195010,5.55
195011,8.81
195012,11.11
195101,7.90
195102,4.59
195103,2.40
195104,1.62
195105,2.21
195106,0.00
195107,0.00
195108,0.05
195109,0.05
195110,3.23
195111,8.33
195112,13.45
195201,14.02
195202,4.71
195203,5.99
195204,1.44
195205,0.70
195206,1.30
195207,0.03
195208,0.00
195209,0.04
195210,0.12
195211,3.64
195212,18.77
195301,10.68
195302,0.15
195303,5.04
195304,4.82
195305,1.10
195306,0.81
195307,0.00
195308,0.46
195309,0.00
195310,1.65
195311,6.61
195312,2.00
195401,11.06
195402,4.94
195403,7.17
195404,5.00
195405,0.17
195406,0.62
195407,0.04
195408,0.59
195409,0.09
195410,1.22
195411,7.57
195412,7.42
195501,4.61
195502,1.76
195503,0.86
195504,5.84
195505,0.05
195506,0.02
195507,0.00
195508,0.00
195509,0.52
195510,0.70
195511,4.65
195512,25.28
195601,15.63
195602,9.02
195603,0.60
195604,2.99
195605,1.24
195606,0.11
195607,0.04
195608,0.00
195609,0.20
195610,3.84
195611,0.31
195612,0.56
195701,6.64
195702,8.34
195703,4.65
195704,3.08
195705,5.17
195706,0.10
195707,0.01
195708,0.00
195709,1.81
195710,8.55
195711,1.72
195712,5.91
195801,10.28
195802,21.33
195803,8.67
195804,7.05
195805,0.57
195806,1.08
195807,0.05
195808,0.01
195809,0.05
195810,0.21
195811,0.74
195812,2.30
195901,12.47
195902,9.14
195903,2.02
195904,0.72
195905,0.14
195906,0.00
195907,0.00
195908,0.01
195909,1.83
195910,0.05
195911,0.06
195912,2.35
196001,8.82
196002,10.66
196003,7.72
196004,1.88
196005,1.40
196006,0.00
196007,0.00
196008,0.00
196009,0.01
196010,1.03
196011,6.51
196012,7.17
196101,6.75
196102,4.75
196103,6.59
196104,1.81
196105,0.79
196106,0.09
196107,0.00
196108,0.11
196109,0.44
196110,0.70
196111,6.43
196112,4.69
196201,2.64
196202,14.23
196203,6.37
196204,0.76
196205,0.25
196206,0.00
196207,0.00
196208,0.33
196209,0.46
196210,10.14
196211,1.80
196212,6.19
196301,7.22
196302,5.63
196303,7.06
196304,8.23
196305,1.18
196306,0.02
196307,0.00
196308,0.01
196309,0.10
196310,3.47
196311,10.57
196312,1.28
196401,6.78
196402,0.34
196403,2.76
196404,0.34
196405,0.86
196406,0.86
196407,0.04
196408,0.02
196409,0.01
196410,3.74
196411,8.91
196412,15.10
196501,9.62
196502,1.76
196503,2.31
196504,6.46
196505,0.02
196506,0.02
196507,0.04
196508,0.53
196509,0.01
196510,0.22
196511,11.24
196512,6.19
196601,10.57
196602,5.93
196603,2.02
196604,1.46
196605,0.30
196606,0.13
196607,0.01
196608,0.32
196609,0.21
196610,0.00
196611,11.72
196612,8.83
196701,16.19
196702,0.58
196703,8.39
196704,6.56
196705,0.24
196706,1.40
196707,0.00
196708,0.00
196709,0.06
196710,1.41
196711,3.58
196712,5.35
196801,10.84
196802,6.51
196803,4.84
196804,0.87
196805,0.57
196806,0.00
196807,0.00
196808,0.58
196809,0.08
196810,2.84
196811,4.40
196812,12.75
196901,16.99
196902,12.63
196903,2.39
196904,3.31
196905,0.11
196906,0.05
196907,0.00
196908,0.00
196909,0.03
196910,2.88
196911,1.70
196912,16.44
197001,23.61
197002,4.38
197003,3.23
197004,0.33
197005,0.06
197006,0.56
197007,0.00
197008,0.00
197009,0.00
197010,3.01
197011,11.59
197012,13.61
197101,5.31
197102,0.39
197103,6.50
197104,1.77
197105,0.60
197106,0.02
197107,0.00
197108,0.12
197109,0.32
197110,0.60
197111,3.56
197112,8.14
197201,3.17
197202,3.83
197203,1.53
197204,2.84
197205,0.21
197206,0.18
197207,0.01
197208,0.15
197209,1.13
197210,4.52
197211,8.94
197212,5.94
197301,17.91
197302,9.87
197303,4.52
197304,0.23
197305,0.11
197306,0.00
197307,0.00
197308,0.03
197309,1.09
197310,3.85
197311,18.60
197312,7.83
197401,10.15
197402,4.82
197403,11.25
197404,3.46
197405,0.07
197406,0.01
197407,0.10
197408,0.04
197409,0.00
197410,1.74
197411,1.61
197412,6.39
197501,2.92
197502,13.69
197503,10.68
197504,2.33
197505,0.07
197506,0.06
197507,0.08
197508,0.11
197509,0.00
197510,5.75
197511,1.77
197512,2.22
197601,0.53
197602,3.59
197603,1.67
197604,3.52
197605,0.01
197606,0.02
197607,0.03
197608,0.62
197609,0.61
197610,0.46
197611,2.48
197612,1.27
197701,2.77
197702,2.54
197703,2.68
197704,0.47
197705,1.73
197706,0.02
197707,0.00
197708,0.07
197709,1.68
197710,1.12
197711,7.89
197712,9.79
197801,17.64
197802,8.79
197803,7.21
197804,4.94
197805,0.16
197806,0.01
197807,0.00
197808,0.04
197809,1.58
197810,0.00
197811,2.09
197812,0.76
197901,11.95
197902,10.18
197903,4.13
197904,2.68
197905,0.97
197906,0.00
197907,0.03
197908,0.00
197909,0.19
197910,5.66
197911,7.31
197912,9.89
198001,9.78
198002,13.40
198003,2.28
198004,3.02
198005,0.41
198006,0.28
198007,0.04
198008,0.00
198009,0.03
198010,0.70
198011,0.80
198012,7.58
198101,10.38
198102,3.78
198103,5.10
198104,0.37
198105,0.78
198106,0.00
198107,0.05
198108,0.00
198109,0.56
198110,4.47
198111,12.46
198112,14.09
198201,10.88
198202,6.98
198203,9.36
198204,6.39
198205,0.01
198206,0.08
198207,0.01
198208,0.06
198209,1.00
198210,5.25
198211,10.32
198212,7.26
198301,13.06
198302,13.75
198303,20.57
198304,6.26
198305,0.77
198306,0.02
198307,0.02
198308,0.59
198309,0.67
198310,1.26
198311,15.60
198312,16.24
198401,0.75
198402,3.57
198403,3.39
198404,1.96
198405,0.34
198406,0.40
198407,0.00
198408,0.26
198409,0.18
198410,2.98
198411,14.34
198412,2.84
198501,1.42
198502,3.73
198503,6.68
198504,0.37
198505,0.05
198506,0.04
198507,0.05
198508,0.01
198509,1.35
198510,2.01
198511,5.73
198512,4.90
198601,9.81
198602,20.66
198603,9.02
198604,1.04
198605,0.66
198606,0.01
198607,0.00
198608,0.00
198609,1.77
198610,0.82
198611,0.32
198612,3.27
198701,6.78
198702,6.36
198703,7.61
198704,0.21
198705,0.14
198706,0.02
198707,0.00
198708,0.00
198709,0.00
198710,1.96
198711,4.85
198712,11.59
198801,9.35
198802,0.65
198803,0.19
198804,2.66
198805,0.95
198806,0.56
198807,0.00
198808,0.00
198809,0.00
198810,0.35
198811,7.25
198812,4.74
198901,1.79
198902,1.46
198903,12.52
198904,1.69
198905,0.20
198906,0.36
198907,0.00
198908,0.01
198909,1.84
198910,4.09
198911,2.27
198912,0.00
199001,7.86
199002,4.19
199003,2.04
199004,0.49
199005,5.74
199006,0.01
199007,0.00
199008,0.02
199009,0.22
199010,0.74
199011,0.58
199012,1.56
199101,1.14
199102,5.08
199103,17.21
199104,0.70
199105,0.27
199106,0.71
199107,0.01
199108,0.10
199109,0.01
199110,2.47
199111,2.06
199112,4.56
199201,3.08
199202,11.89
199203,5.82
199204,2.07
199205,0.02
199206,1.10
199207,0.00
199208,0.00
199209,0.02
199210,3.93
199211,0.82
199212,12.94
199301,15.47
199302,9.06
199303,3.90
199304,2.43
199305,2.74
199306,1.24
199307,0.01
199308,0.00
199309,0.00
199310,1.32
199311,3.67
199312,5.83
199401,4.71
199402,7.21
199403,0.57
199404,2.56
199405,1.25
199406,0.06
199407,0.01
199408,0.00
199409,0.02
199410,1.09
199411,9.34
199412,5.61
199501,28.41
199502,0.79
199503,18.52
199504,3.80
199505,2.37
199506,0.73
199507,0.00
199508,0.00
199509,0.00
199510,0.01
199511,0.50
199512,13.71
199601,11.08
199602,12.58
199603,3.52
199604,4.60
199605,3.67
199606,0.03
199607,0.00
199608,0.00
199609,0.15
199610,1.50
199611,5.09
199612,19.03
199701,14.60
199702,0.83
199703,2.21
199704,1.28
199705,0.78
199706,0.57
199707,0.00
199708,0.62
199709,0.46
199710,1.97
199711,11.06
199712,4.38
199801,17.02
199802,24.59
199803,4.98
199804,3.47
199805,5.46
199806,0.05
199807,0.00
