Date,Value
189501,8.94
189502,4.12
189503,3.20
189504,0.77
189505,0.22
189506,0.04
189507,0.00
189508,0.01
189509,0.00
189510,1.46
189511,1.31
189512,0.90
189601,5.34
189602,0.29
189603,4.63
189604,1.60
189605,0.30
189606,0.00
189607,0.23
189608,0.12
189609,0.02
189610,1.74
189611,2.38
189612,2.52
189701,5.62
189702,5.64
189703,4.03
189704,0.01
189705,0.04
189706,0.00
189707,0.01
189708,0.08
189709,0.26
189710,1.68
189711,0.28
189712,0.29
189801,1.39
189802,1.09
189803,1.36
189804,0.27
189805,1.79
189806,0.00
189807,0.01
189808,0.01
189809,0.65
189810,0.10
189811,0.04
189812,0.61
189901,4.19
189902,0.17
189903,3.19
189904,0.55
189905,0.16
189906,0.16
189907,0.00
189908,0.00
189909,0.01
189910,1.94
189911,1.89
189912,1.96
190001,2.30
190002,0.06
190003,1.64
190004,0.65
190005,2.24
190006,0.00
190007,0.02
190008,0.00
190009,0.04
190010,0.27
190011,6.40
190012,0.02
190101,5.17
190102,5.05
190103,0.40
190104,1.84
190105,0.63
190106,0.02
190107,0.05
190108,0.07
190109,0.60
190110,2.68
190111,0.89
190112,0.02
190201,1.66
190202,5.05
190203,3.78
190204,0.70
190205,0.14
190206,0.01
190207,0.00
190208,0.00
190209,0.00
190210,0.86
190211,3.71
190212,2.78
190301,1.86
190302,1.68
190303,7.33
190304,3.59
190305,0.12
190306,0.00
190307,0.00
190308,0.00
190309,0.07
190310,0.01
190311,0.04
190312,0.02
190401,0.49
190402,5.12
190403,5.21
190404,1.96
190405,0.04
190406,0.00
190407,0.00
190408,0.24
190409,0.79
190410,0.81
190411,0.02
190412,2.71
190501,3.75
190502,9.87
190503,7.53
190504,0.62
190505,1.83
190506,0.01
190507,0.11
190508,0.00
190509,0.23
190510,0.22
190511,1.84
190512,0.21
190601,3.81
190602,3.38
190603,10.50
190604,1.10
190605,1.78
190606,0.00
190607,0.01
190608,0.01
190609,0.00
190610,0.00
190611,0.71
190612,8.52
190701,14.39
190702,2.28
190703,8.43
190704,0.21
190705,0.02
190706,0.10
190707,0.00
190708,0.00
190709,0.00
190710,3.10
190711,0.01
190712,1.74
190801,5.95
190802,6.02
190803,0.26
190804,0.86
190805,0.37
190806,0.00
190807,0.00
190808,0.15
190809,1.14
190810,0.24
190811,1.81
190812,2.12
190901,10.45
190902,8.08
190903,5.67
190904,0.09
190905,0.01
190906,0.08
190907,0.00
190908,0.21
190909,0.08
190910,0.51
190911,1.83
190912,9.33
191001,3.17
191002,0.22
191003,3.26
191004,0.51
191005,0.00
191006,0.00
191007,0.02
191008,0.00
191009,0.84
191010,0.75
191011,0.66
191012,0.62
191101,12.03
191102,4.30
191103,8.39
191104,0.88
191105,0.10
191106,0.07
191107,0.00
191108,0.00
191109,0.42
191110,0.18
191111,0.21
191112,1.66
