Date,Value
189501,9.25
189502,2.56
189503,2.52
189504,1.25
189505,1.41
189506,0.04
189507,0.14
189508,0.16
189509,0.92
189510,0.49
189511,1.61
189512,2.53
189601,8.02
189602,0.60
189603,3.87
189604,4.28
189605,1.93
189606,0.08
189607,0.29
189608,0.56
189609,0.47
189610,1.50
189611,4.18
189612,3.73
189701,3.12
189702,5.89
189703,4.46
189704,0.62
189705,0.35
189706,0.58
189707,0.11
189708,0.24
189709,0.39
189710,1.94
189711,1.83
189712,2.42
189801,1.34
189802,3.06
189803,0.94
189804,0.52
189805,1.73
189806,0.48
189807,0.10
189808,0.17
189809,0.63
189810,0.70
189811,1.41
189812,1.39
189901,4.77
189902,0.81
189903,5.45
189904,0.71
189905,0.99
189906,0.49
189907,0.06
189908,0.22
189909,0.13
189910,3.46
189911,4.15
189912,3.57
190001,2.82
190002,1.33
190003,2.27
190004,2.11
190005,1.53
190006,0.32
190007,0.21
190008,0.08
190009,0.27
190010,2.51
190011,4.82
190012,1.78
190101,5.33
190102,5.36
190103,1.14
190104,2.29
190105,1.11
190106,0.04
190107,0.02
190108,0.32
190109,1.09
190110,1.50
190111,2.57
190112,1.67
190201,1.29
190202,7.89
190203,3.20
190204,2.11
190205,0.94
190206,0.08
190207,0.19
190208,0.12
190209,0.05
190210,1.75
190211,3.97
190212,3.23
190301,4.84
190302,1.71
190303,5.23
190304,1.06
190305,0.29
190306,0.21
190307,0.04
190308,0.09
190309,0.24
190310,0.50
190311,5.02
190312,1.50
190401,1.84
190402,7.93
190403,6.86
190404,2.23
190405,0.34
190406,0.09
190407,0.24
190408,0.41
190409,1.41
190410,2.30
190411,1.28
190412,3.30
190501,3.96
190502,3.87
190503,5.31
190504,0.95
190505,1.84
190506,0.13
190507,0.02
190508,0.16
190509,0.29
190510,0.18
190511,2.17
190512,1.48
190601,6.53
190602,4.09
190603,7.79
190604,1.74
190605,2.67
190606,0.77
190607,0.13
190608,0.32
190609,0.27
190610,0.11
190611,1.83
190612,7.24
190701,6.50
190702,3.66
190703,8.72
190704,1.11
190705,0.71
190706,0.91
190707,0.05
190708,0.20
190709,0.16
190710,1.70
190711,0.38
190712,4.72
190801,3.89
190802,3.85
190803,1.04
190804,0.61
190805,1.36
190806,0.19
190807,0.11
190808,0.31
190809,0.72
190810,1.27
190811,1.69
190812,1.94
190901,12.32
190902,6.39
190903,2.86
190904,0.12
190905,0.23
190906,0.21
190907,0.12
190908,0.50
190909,0.56
190910,1.40
190911,4.22
190912,5.53
191001,3.76
191002,2.02
191003,2.47
191004,0.54
191005,0.22
191006,0.07
191007,0.25
191008,0.05
191009,0.61
191010,0.79
191011,2.23
191012,1.78
191101,10.14
191102,3.00
191103,5.05
191104,1.64
191105,0.60
191106,0.18
191107,0.25
191108,0.02
191109,0.44
191110,0.51
191111,0.78
191112,1.81
191201,2.67
191202,0.83
191203,4.49
191204,2.83
191205,1.50
191206,0.49
191207,0.19
191208,0.16
191209,1.04
191210,1.01
191211,2.31
191212,1.43
191301,4.05
191302,1.85
191303,1.60
191304,1.30
191305,1.00
191306,0.79
191307,0.67
191308,0.51
191309,0.15
