Date,Value
189501,7.19
189502,1.43
189503,3.04
189504,1.98
189505,3.64
189506,0.24
189507,0.51
189508,0.35
189509,2.33
189510,0.03
189511,2.32
189512,6.99
189601,7.07
189602,2.85
189603,3.15
189604,4.58
189605,4.64
189606,0.78
189607,0.32
189608,1.13
189609,0.77
189610,1.91
189611,9.16
189612,5.69
189701,2.66
189702,5.58
189703,4.94
189704,1.50
189705,1.49
189706,2.55
189707,0.38
189708,0.34
189709,1.53
189710,1.35
189711,6.67
189712,5.94
189801,2.63
189802,3.65
189803,1.58
189804,1.29
189805,2.37
189806,1.34
189807,0.26
189808,0.38
189809,1.52
189810,1.63
189811,5.25
189812,2.62
189901,4.95
189902,4.03
189903,4.22
189904,2.84
189905,2.53
189906,0.59
189907,0.11
189908,1.85
189909,0.91
189910,3.97
189911,5.88
189912,4.84
190001,3.72
190002,3.17
190003,2.73
190004,2.15
190005,2.50
190006,1.73
190007,0.16
190008,0.69
190009,1.61
190010,4.87
190011,3.04
190012,3.65
190101,5.44
190102,5.21
190103,2.90
190104,2.49
190105,1.61
190106,0.68
190107,0.08
190108,0.49
190109,2.90
190110,1.26
190111,3.35
190112,4.19
190201,2.40
190202,7.78
190203,3.62
190204,3.40
190205,2.43
190206,0.48
190207,1.23
190208,0.36
190209,0.75
190210,1.31
190211,6.89
190212,6.91
190301,7.05
190302,1.38
190303,3.63
190304,1.41
190305,1.00
190306,1.80
190307,0.45
190308,0.74
190309,0.76
190310,1.54
190311,8.73
190312,2.31
190401,3.75
190402,9.15
190403,8.30
190404,2.89
190405,0.81
190406,0.66
190407,1.34
190408,0.28
190409,0.82
190410,2.48
190411,3.18
190412,5.58
190501,3.75
190502,1.59
190503,4.41
190504,1.14
190505,2.59
190506,1.73
190507,0.17
190508,0.07
190509,1.51
190510,2.61
190511,2.31
190512,3.50
190601,5.19
190602,4.52
190603,3.63
190604,1.42
190605,3.44
190606,2.64
190607,0.24
190608,0.27
190609,1.44
190610,1.82
190611,5.16
190612,5.04
190701,5.83
190702,5.70
190703,4.87
190704,2.79
190705,1.85
190706,2.19
190707,0.55
190708,1.16
190709,1.30
190710,1.41
190711,3.61
190712,7.91
190801,2.84
190802,2.59
190803,3.11
190804,1.59
190805,2.45
190806,1.50
190807,0.60
190808,0.64
190809,0.62
190810,3.86
190811,2.57
190812,2.64
190901,8.60
190902,5.74
190903,2.06
190904,0.60
190905,1.71
190906,0.74
190907,1.13
190908,0.08
190909,1.51
190910,2.74
190911,9.61
190912,3.68
191001,3.96
191002,4.74
191003,2.18
191004,1.90
191005,1.60
191006,0.89
191007,0.15
191008,0.04
191009,1.21
191010,2.27
191011,8.71
191012,3.30
191101,5.11
191102,2.48
191103,0.96
191104,1.79
191105,2.76
191106,1.62
191107,0.15
191108,0.11
191109,2.51
191110,1.45
191111,3.40
191112,3.41
191201,6.96
191202,4.16
191203,2.61
191204,3.55
191205,2.98
191206,2.48
191207,0.68
191208,1.63
191209,1.41
191210,2.40
191211,4.24
191212,4.46
191301,5.13
191302,1.01
191303,3.15
191304,2.67
191305,1.88
191306,3.81
191307,1.32
191308,0.61
191309,1.28
191310,2.53
191311,4.58
191312,3.38
191401,8.02
191402,2.77
191403,1.88
191404,2.99
191405,1.65
191406,2.11
191407,0.34
191408,0.03
191409,2.68
191410,3.59
191411,2.16
191412,2.01
191501,3.45
191502,4.03
191503,2.37
191504,2.05
191505,3.94
191506,0.68
191507,1.40
191508,0.09
191509,0.51
191510,1.11
191511,6.79
191512,5.17
191601,5.98
191602,5.30
191603,5.64
191604,2.31
191605,2.69
191606,2.00
191607,1.66
191608,0.50
191609,0.60
191610,0.94
191611,3.94
191612,4.13
191701,2.90
191702,3.74
191703,3.76
191704,3.75
191705,2.52
191706,0.69
191707,0.05
191708,0.09
191709,1.61
191710,0.04
191711,4.55
191712,6.92
191801,4.79
191802,4.77
191803,2.74
191804,0.98
191805,1.13
191806,0.36
191807,0.70
191808,0.94
191809,1.50
191810,2.85
191811,3.22
191812,2.44
191901,5.28
191902,6.43
191903,3.75
191904,2.77
191905,1.11
191906,0.48
191907,0.09
191908,0.17
191909,1.96
191910,1.94
191911,4.66
191912,4.76
192001,2.20
192002,0.41
192003,3.68
192004,3.44
192005,0.77
192006,1.79
192007,0.60
192008,1.24
192009,2.87
192010,3.31
192011,4.80
192012,6.57
192101,5.64
192102,5.07
192103,2.88
192104,2.11
192105,2.60
192106,1.23
192107,0.06
192108,0.26
192109,1.43
192110,2.02
192111,7.21
192112,2.70
192201,2.87
192202,3.88
192203,4.54
192204,2.19
192205,1.31
192206,0.99
192207,0.12
192208,1.15
192209,0.84
192210,2.83
192211,2.48
192212,6.78
192301,6.16
192302,1.53
192303,1.65
192304,2.57
192305,2.05
192306,2.35
192307,1.39
192308,0.49
192309,1.05
192310,3.22
192311,2.29
192312,4.22
192401,2.16
192402,3.21
192403,1.69
192404,0.68
192405,0.29
192406,0.74
192407,0.12
192408,0.65
192409,1.27
192410,5.05
192411,5.37
192412,4.26
192501,4.93
192502,4.46
192503,1.65
192504,3.29
192505,2.57
192506,1.29
192507,0.30
192508,0.87
192509,1.94
192510,0.89
192511,3.19
192512,3.51
192601,2.97
192602,5.85
192603,0.84
192604,1.74
192605,2.07
192606,0.37
192607,0.26
192608,1.54
192609,0.93
192610,2.67
192611,8.07
192612,4.00
192701,5.37
192702,6.05
192703,2.94
192704,2.01
192705,2.29
192706,1.68
192707,0.17
192708,0.34
192709,3.21
192710,2.30
192711,6.79
192712,2.76
192801,4.05
192802,1.54
192803,5.89
192804,3.06
192805,0.48
192806,1.05
192807,0.32
192808,0.09
192809,0.82
192810,1.63
192811,3.30
192812,3.93
192901,3.80
192902,1.01
192903,2.34
192904,3.24
192905,0.90
192906,2.27
192907,0.02
192908,0.11
192909,0.24
192910,0.96
192911,0.31
192912,7.89
193001,3.42
193002,3.95
193003,1.64
193004,2.24
193005,2.30
193006,0.73
193007,0.04
193008,0.28
193009,1.56
193010,1.42
193011,2.75
193012,1.84
193101,3.12
193102,2.05
193103,4.76
193104,1.78
193105,0.76
193106,2.53
193107,0.01
193108,0.02
193109,1.13
193110,3.05
193111,4.15
193112,5.77
193201,4.52
193202,2.10
193203,5.06
193204,3.17
193205,2.59
193206,0.62
193207,0.35
193208,0.26
193209,0.09
193210,2.12
193211,4.88
193212,4.44
193301,5.46
193302,3.23
193303,3.50
193304,1.29
193305,3.14
193306,1.45
193307,0.16
193308,0.40
193309,1.79
193310,2.33
193311,1.11
193312,7.11
193401,4.26
193402,1.66
193403,2.78
193404,1.78
193405,1.35
193406,1.71
193407,0.13
193408,0.26
193409,0.69
193410,3.69
193411,6.35
193412,5.02
193501,3.51
193502,2.27
193503,3.24
193504,3.51
193505,0.69
193506,0.74
193507,0.58
193508,0.15
193509,0.51
193510,2.33
193511,1.78
193512,3.66
193601,8.28
193602,4.12
193603,2.08
193604,1.93
193605,2.36
193606,1.98
193607,0.54
193608,0.18
193609,0.89
193610,0.15
193611,0.22
193612,4.08
193701,4.24
193702,4.84
193703,3.38
193704,4.81
193705,1.38
193706,3.60
193707,0.39
193708,0.49
193709,0.96
193710,2.74
193711,7.21
193712,6.38
193801,3.98
193802,5.98
193803,6.52
193804,2.20
193805,0.96
193806,1.05
193807,0.57
193808,0.16
193809,1.01
193810,2.45
193811,3.75
193812,2.82
193901,3.36
193902,4.07
193903,2.75
193904,0.54
193905,1.23
193906,1.16
193907,0.54
193908,0.38
193909,0.71
193910,2.30
193911,0.51
193912,6.51
194001,3.78
194002,7.88
