Date,Value
189501,7.53
189502,2.54
189503,2.95
189504,3.00
189505,3.29
189506,0.62
189507,0.53
189508,0.17
189509,2.49
189510,0.20
189511,3.35
189512,9.09
189601,8.55
189602,4.65
189603,2.86
189604,4.22
189605,3.46
189606,1.31
189607,0.22
189608,1.05
189609,1.35
189610,2.81
189611,11.03
189612,7.66
189701,5.53
189702,5.83
189703,5.11
189704,1.77
189705,1.80
189706,2.88
189707,1.63
189708,0.53
189709,1.89
189710,2.64
189711,11.32
189712,9.65
189801,3.20
189802,6.25
189803,2.24
189804,1.86
189805,2.00
189806,2.61
189807,0.64
189808,0.54
189809,2.56
189810,2.72
189811,5.85
189812,4.61
189901,8.34
189902,7.45
189903,2.95
189904,4.11
189905,2.85
189906,1.48
189907,0.45
189908,2.71
189909,1.64
189910,4.63
189911,9.59
189912,5.88
190001,5.09
190002,4.51
190003,4.93
190004,2.48
190005,3.26
190006,2.62
190007,0.66
190008,1.33
190009,2.07
190010,6.02
190011,4.80
190012,7.64
190101,6.74
190102,6.11
190103,3.09
190104,3.88
190105,2.34
190106,2.05
190107,0.62
190108,0.18
190109,2.97
190110,1.99
190111,7.85
190112,4.25
190201,4.24
190202,9.02
190203,4.51
190204,4.09
190205,2.94
190206,1.06
190207,1.96
190208,0.59
190209,1.87
190210,2.09
190211,9.13
190212,9.01
190301,7.14
190302,2.04
190303,4.35
190304,2.38
190305,1.95
190306,2.39
190307,1.08
190308,1.30
190309,3.27
190310,2.92
190311,9.83
190312,4.00
190401,5.60
190402,8.36
190403,8.00
190404,2.94
190405,0.79
190406,1.71
190407,1.06
190408,0.45
190409,0.64
190410,2.61
190411,6.79
190412,6.49
190501,5.18
190502,2.69
190503,4.71
190504,1.33
190505,3.41
190506,3.66
190507,0.57
190508,0.71
190509,3.21
190510,5.34
190511,3.38
190512,5.47
190601,5.35
190602,4.57
190603,2.59
190604,0.98
190605,3.83
190606,2.91
190607,0.24
190608,0.42
190609,3.20
190610,4.48
190611,9.71
190612,7.42
190701,5.44
190702,5.24
190703,3.35
190704,3.11
190705,1.66
190706,1.68
190707,1.00
190708,1.68
190709,2.52
190710,0.99
190711,6.12
190712,7.45
190801,4.55
190802,4.40
190803,5.59
190804,2.93
190805,2.80
190806,1.05
190807,1.21
190808,1.18
190809,0.36
190810,4.18
190811,4.24
190812,4.82
190901,6.85
190902,5.96
190903,2.51
190904,1.30
190905,2.13
190906,1.03
190907,1.78
190908,0.37
190909,1.78
190910,3.34
190911,12.87
190912,4.52
191001,6.28
191002,5.71
191003,3.96
191004,2.52
191005,1.87
191006,1.35
191007,0.16
191008,0.49
191009,1.60
191010,4.77
191011,9.22
191012,5.24
191101,5.38
191102,2.63
191103,1.66
191104,1.44
191105,4.07
191106,1.24
191107,0.34
191108,0.82
191109,3.70
191110,1.10
191111,6.93
191112,4.61
191201,7.37
191202,4.44
191203,1.89
191204,2.72
191205,2.57
191206,2.11
191207,1.18
191208,3.25
191209,1.21
191210,3.83
191211,6.41
191212,6.65
191301,7.16
191302,2.04
191303,3.00
191304,1.75
191305,2.42
191306,3.36
191307,0.80
191308,0.70
191309,2.53
191310,3.96
191311,6.80
191312,2.76
191401,10.43
191402,3.54
191403,2.73
191404,3.05
191405,1.40
191406,2.14
191407,0.38
191408,0.12
191409,3.44
191410,4.34
191411,6.11
191412,2.14
191501,4.04
191502,3.55
191503,3.01
191504,3.06
191505,3.97
191506,1.02
191507,1.69
191508,0.10
191509,0.96
191510,4.50
191511,7.95
191512,8.36
191601,4.41
191602,7.28
191603,8.66
191604,2.80
191605,2.32
191606,2.36
191607,2.28
191608,0.41
191609,1.02
191610,1.76
191611,5.15
191612,4.91
191701,4.49
191702,3.16
191703,5.13
191704,5.13
191705,1.69
191706,2.28
191707,0.23
191708,0.13
191709,1.66
191710,0.88
191711,3.64
191712,14.63
191801,6.29
191802,5.59
191803,4.35
191804,1.03
191805,1.89
191806,0.54
191807,1.45
191808,1.90
191809,0.43
191810,5.36
191811,4.91
191812,6.41
191901,8.46
191902,5.90
191903,4.46
191904,3.23
191905,2.25
191906,0.74
191907,0.29
191908,0.45
191909,2.13
191910,2.14
191911,5.71
191912,4.60
192001,5.74
192002,0.72
192003,4.04
192004,3.71
192005,1.56
192006,1.86
192007,1.20
192008,1.75
192009,4.84
192010,5.35
192011,5.21
192012,7.89
192101,8.61
192102,5.82
192103,4.49
192104,3.34
192105,1.79
192106,1.98
192107,0.22
192108,0.87
192109,2.88
192110,4.56
192111,9.10
192112,5.48
192201,2.91
192202,2.97
192203,4.67
