Date,Index
189901,1009.94
189902,1009.32
189903,1009.78
189904,1014.77
189905,1014.55
189906,1016.84
189907,1017.79
189908,1018
189909,1013.85
189910,1014.54
189911,1002.74
189912,1007.37
190001,1006.55
190002,1006.33
190003,1005.12
190004,1013.07
190005,1012.47
190006,1012.52
190007,1015.89
190008,1016.46
190009,1014.93
190010,1013.85
190011,1012.12
190012,1004.3
190101,1008.91
190102,1012.12
190103,1012.53
190104,1021.25
190105,1016.54
190106,1014.46
190107,1016.52
190108,1016.67
190109,1013.49
190110,1011.77
190111,1010.29
190112,1009.09
190201,1006.04
190202,1005.07
190203,1016.9
190204,1015.07
190205,1015.47
190206,1013.89
190207,1016.82
190208,1015.77
190209,1015.33
190210,1013.1
190211,1012.14
190212,1015.58
190301,1010.16
190302,1011.61
190303,1018.05
190304,1019.06
190305,1015.04
190306,1012.91
190307,1018.3
190308,1016.39
190309,1015.78
190310,1014.1
190311,1010.62
190312,1009.16
190401,1011.89
190402,1016.92
190403,1016.95
190404,1015.71
190405,1014.72
190406,1017.42
190407,1016.72
190408,1018.97
190409,1016.21
190410,1014.45
190411,1009.51
190412,1009.58
190501,1008.95
190502,1005.8
190503,1008.58
190504,1011.08
190505,1016.09
190506,1016.65
190507,1017.87
190508,1015.35
190509,1015.71
190510,1015.1
190511,1009.13
190512,1007.62
190601,1013.69
190602,1008.5
190603,1012.52
190604,1013.04
190605,1016.04
190606,1013.99
190607,1017.32
190608,1013.11
190609,1014.6
190610,1010.59
190611,1011.79
190612,1014.44
190701,1014.62
190702,1010.34
190703,1019.52
190704,1015.73
190705,1014.25
190706,1015.05
190707,1017.1
190708,1017.85
190709,1016.85
190710,1013.96
190711,1012.34
190712,1007.07
190801,1008.57
190802,1011.72
190803,1019.41
190804,1015.93
190805,1015.19
190806,1016.37
190807,1016.26
190808,1017.35
190809,1015.61
190810,1011.76
190811,1006.5
190812,1007.41
190901,1014.26
190902,1010
190903,1014.81
190904,1018.53
190905,1015.15
190906,1015.72
190907,1017.3
190908,1016.26
190909,1014.87
190910,1011.63
190911,1014.64
190912,1012.98
191001,1015.62
191002,1007.92
191003,1008.26
191004,1014.18
191005,1013.07
191006,1016.19
191007,1017.95
191008,1018.61
191009,1015.23
191010,1012.85
191011,1011.02
191012,1008.62
191101,1018.42
191102,1010.93
191103,1014.92
191104,1016.89
191105,1014.8
191106,1014.02
191107,1018.19
191108,1019.83
191109,1016.15
191110,1010.31
191111,1011.31
191112,1009.8
191201,1004.72
191202,1005.28
191203,1016.07
191204,1012.79
191205,1013.67
191206,1015.26
191207,1017.28
191208,1015.08
191209,1013.29
191210,1013.82
191211,1008.46
191212,1008.65
191301,1010.44
191302,1009.02
191303,1010.49
191304,1015.22
191305,1013.81
191306,1013.16
191307,1019
191308,1016.95
191309,1013.59
191310,1013.38
191311,1012.04
191312,1003.56
191401,1008.9
191402,1004.07
191403,1016.78
191404,1013.64
191405,1016.9
191406,1014.86
191407,1016.51
191408,1016.62
191409,1016.84
191410,1009.93
191411,1011.64
191412,1011.18
191501,1010.08
191502,1011.39
191503,1007.98
